"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant60",4,3,0,1,0,0,2,4,12,2,0,7,0,0,7,0,4,0,23,9,0,20,2,0,13,21,3,11,0,4,0,3,1,1,0,10,1,2,1,1,0,5,5,0,3,5,4,1,2,1,1,6,17,0,0
"Ant148",8,5,0,1,0,2,0,1,1,0,7,0,3,0,0,2,5,1,45,6,0,22,3,1,0,11,0,18,0,3,0,0,1,0,0,3,6,0,5,2,0,0,0,4,1,10,0,0,6,0,0,6,10,0,10
"Ant158",15,0,0,7,9,0,6,1,7,1,0,3,0,0,0,5,13,14,6,15,1,6,7,0,2,1,5,2,14,7,0,0,7,1,0,4,15,3,3,6,0,7,0,4,13,0,3,7,6,0,1,2,1,14,13
"Ant202",0,0,10,0,2,18,0,0,0,0,0,0,0,0,0,27,14,6,0,0,9,0,1,1,0,0,0,0,0,0,8,5,5,4,19,0,2,4,0,21,9,0,0,0,0,0,0,0,0,0,33,0,0,10,0
"Ant209",8,16,0,1,6,0,0,0,3,3,7,0,0,0,0,0,4,0,2,16,0,9,3,0,3,3,6,2,0,3,0,0,0,0,0,0,8,0,0,0,0,6,1,6,8,19,0,5,0,1,0,5,8,2,1
"Ant268",3,0,23,26,1,12,0,0,2,0,0,2,5,27,0,0,10,3,1,4,6,0,1,4,1,0,0,0,10,2,5,52,4,24,9,0,6,42,0,18,8,7,0,8,4,0,12,0,0,0,44,0,0,21,0
"Ant311",21,0,0,15,23,0,32,11,6,12,4,5,13,14,4,10,0,6,11,12,2,8,5,9,14,8,5,31,64,3,5,15,19,5,0,2,39,23,25,23,6,26,10,18,4,5,5,5,12,10,20,8,12,28,3
"Ant518",13,0,0,3,5,0,7,2,1,9,0,1,14,6,0,3,6,0,5,2,3,1,2,3,0,0,0,0,3,1,1,0,3,6,0,0,7,8,1,2,0,0,3,1,7,0,5,0,8,1,10,1,0,5,3
"Ant0",23,3,0,6,2,0,12,30,32,16,23,45,6,0,2,1,11,5,0,17,0,28,18,3,11,47,25,1,0,2,0,4,6,1,0,12,16,2,8,6,0,1,6,7,8,16,0,10,4,5,0,10,25,2,22
"Ant32",7,1,0,16,1,1,2,1,18,5,9,6,15,0,16,4,12,2,17,0,2,16,7,0,33,5,3,6,12,8,0,0,0,0,0,18,3,3,7,6,0,21,0,14,2,21,8,1,3,8,1,27,2,3,4
"Ant43",1,0,14,1,2,14,0,0,1,0,0,0,1,9,0,6,2,3,0,2,0,0,0,9,0,1,0,1,17,0,7,5,2,23,24,0,0,1,0,5,8,0,0,0,0,0,0,0,0,0,9,0,0,8,0
"Ant44",15,4,0,10,1,0,7,13,12,3,20,22,6,0,9,0,8,1,28,16,0,0,5,3,3,14,22,6,0,13,0,0,3,0,0,9,5,0,7,1,0,5,6,10,10,22,1,11,8,15,0,13,19,3,8
"Ant50",18,2,0,2,1,0,8,5,18,7,2,3,7,1,3,1,5,2,18,7,0,5,0,3,16,7,0,0,0,7,0,0,2,0,0,16,5,0,13,6,0,8,3,26,6,0,0,0,1,10,1,7,2,2,2
"Ant55",1,0,16,2,2,17,0,0,0,0,0,1,0,1,0,4,9,3,3,0,9,3,3,0,0,0,0,3,21,1,6,15,1,12,16,0,2,4,4,4,24,0,0,2,0,0,0,0,1,0,16,0,0,19,0
"Ant63",4,1,0,0,0,0,0,0,5,2,13,0,2,0,3,1,14,0,11,33,0,3,16,0,0,0,1,1,3,0,0,10,1,0,0,0,0,0,0,2,0,14,5,4,4,1,6,0,0,9,2,13,0,1,1
"Ant97",12,0,0,0,7,0,5,1,6,6,21,11,1,0,3,0,8,0,47,5,1,14,7,0,0,0,4,6,0,1,2,2,0,0,0,0,3,0,0,0,0,2,0,1,9,8,0,0,1,1,0,4,1,0,1
"Ant98",7,7,0,5,1,0,6,1,23,10,3,0,5,0,6,0,5,0,25,3,0,22,0,0,1,4,0,2,0,2,0,0,9,0,0,7,1,1,8,2,0,13,2,13,6,12,0,6,3,15,0,6,14,0,12
"Ant137",3,4,0,10,0,0,0,0,2,2,11,18,2,0,2,0,31,0,1,6,1,6,0,3,1,6,2,0,5,0,0,4,0,2,0,0,2,0,0,1,0,1,1,6,4,0,3,0,0,0,14,21,1,1,0
"Ant140",16,1,0,1,8,1,3,0,3,0,0,0,14,0,0,10,64,3,0,12,17,0,0,21,3,0,0,5,0,1,0,5,17,22,1,0,12,6,2,57,1,2,0,17,4,0,13,1,2,0,10,12,2,16,0
"Ant169",13,3,0,0,4,1,7,3,7,12,4,3,7,0,3,2,3,1,2,8,0,13,7,1,0,1,2,0,1,0,0,0,1,0,0,5,1,2,2,1,0,10,1,11,4,3,1,1,5,3,0,11,1,1,3
"Ant176",0,0,5,0,0,14,1,0,0,0,0,0,0,8,0,5,5,1,0,0,7,0,0,6,0,2,0,0,0,0,0,3,0,29,15,0,0,12,0,5,27,1,0,0,0,1,0,0,0,0,3,0,0,4,0
"Ant178",18,1,17,0,2,16,0,0,2,3,3,0,0,5,0,52,15,0,4,0,5,0,0,15,10,2,0,4,5,0,3,0,13,87,14,0,11,10,0,14,40,0,9,1,9,0,3,0,6,0,52,6,0,10,1
"Ant195",25,1,0,2,14,2,11,1,4,13,1,1,7,5,0,4,19,3,6,0,2,3,2,1,1,0,9,0,17,1,0,13,0,14,0,1,21,0,3,10,4,1,11,5,9,8,0,3,1,1,10,1,18,12,4
"Ant215",3,1,16,0,3,32,0,0,4,0,1,0,1,4,0,24,5,6,1,0,23,0,0,12,0,0,0,2,22,0,29,87,14,0,11,0,6,11,0,13,3,0,0,1,3,0,1,0,0,0,18,0,0,19,0
"Ant217",0,0,22,0,0,30,0,0,0,0,0,0,0,19,0,9,0,0,0,0,24,0,0,16,0,0,0,0,1,0,15,14,0,11,0,0,0,6,0,3,36,0,0,0,0,0,0,0,0,0,8,0,0,12,0
"Ant219",8,6,0,1,0,0,2,23,3,9,10,3,4,0,0,0,2,0,12,18,0,9,16,0,0,0,7,0,0,5,0,0,1,0,0,0,5,2,0,0,0,5,4,2,7,3,0,0,6,1,0,11,11,1,15
"Ant232",12,0,0,7,5,2,5,8,8,12,1,6,15,2,8,6,39,7,16,3,0,5,5,2,0,3,1,2,12,1,0,11,21,6,0,5,0,4,2,3,0,6,7,10,10,5,5,1,8,5,20,9,4,44,5
"Ant243",1,0,8,1,0,0,1,1,0,3,2,0,3,4,0,42,23,8,2,3,1,0,0,4,0,0,1,0,6,2,12,10,0,11,6,2,4,0,0,6,12,6,1,0,2,0,0,4,2,0,11,1,0,28,4
"Ant257",1,2,0,5,0,2,4,0,3,3,1,5,3,0,0,0,25,1,8,7,0,7,13,4,0,0,8,0,2,2,0,0,3,0,0,0,2,0,0,3,0,8,0,14,2,5,2,3,9,6,0,4,4,1,7
"Ant289",3,0,8,9,11,1,11,0,2,0,1,2,6,21,0,18,23,2,6,6,5,1,6,4,2,0,2,1,57,1,5,14,10,13,3,0,3,6,3,0,9,2,1,11,5,0,4,3,7,1,14,1,2,15,3
"Ant294",0,0,30,0,1,15,0,0,0,0,0,0,0,9,0,8,6,0,0,0,8,0,0,24,0,0,0,0,1,0,27,40,4,3,36,0,0,12,0,9,0,0,2,0,3,0,2,0,0,0,23,0,0,8,0
"Ant298",5,14,0,9,1,0,5,7,11,2,5,0,7,0,6,7,26,0,1,21,0,5,8,0,14,2,13,1,2,10,1,0,1,0,0,5,6,6,8,2,0,0,0,2,7,7,3,10,4,16,1,6,22,0,15
"Ant324",3,1,0,1,4,0,0,0,3,5,5,0,0,0,1,0,10,3,6,0,0,6,3,0,5,0,2,1,0,1,0,9,11,0,0,4,7,1,0,1,2,0,0,8,7,0,2,1,18,14,4,3,4,4,16
"Ant332",29,0,0,18,4,0,3,1,8,0,0,4,4,0,6,8,18,1,7,14,0,10,26,2,4,1,13,6,17,11,0,1,5,1,0,2,10,0,14,11,0,2,8,0,9,1,33,0,2,14,2,20,13,3,8
"Ant342",5,4,0,13,6,0,11,12,6,8,3,1,13,0,8,4,4,7,8,2,0,10,6,0,4,9,6,4,4,4,0,9,9,3,0,7,10,2,2,5,3,7,7,9,0,2,0,8,13,4,0,1,8,4,10
"Ant356",2,5,0,0,0,0,0,6,12,0,5,10,0,0,19,0,5,0,16,21,0,22,0,0,1,8,12,0,0,3,1,0,8,0,0,3,5,0,5,0,0,7,0,1,2,0,1,6,0,7,0,0,5,0,6
"Ant395",2,0,0,2,1,2,2,0,5,2,4,0,3,0,0,12,5,5,0,8,0,1,0,0,6,0,0,3,13,1,0,3,0,1,0,0,5,0,2,4,2,3,2,33,0,1,0,0,0,3,2,1,3,5,3
"Ant400",6,2,0,2,0,3,0,0,18,4,1,0,7,0,5,0,5,0,10,1,0,11,0,0,0,0,6,0,1,1,0,0,3,0,0,0,1,4,3,3,0,10,1,0,8,6,0,0,0,2,0,1,6,3,0
"Ant437",5,1,0,12,7,1,5,16,7,5,2,6,6,0,0,0,12,8,4,3,0,8,1,1,0,1,3,0,2,5,0,6,1,0,0,6,8,2,9,7,0,4,18,2,13,0,0,0,0,0,0,1,2,7,12
"Ant492",10,3,0,4,1,0,4,0,6,11,1,0,0,0,1,0,10,1,5,8,0,15,10,0,9,1,15,0,0,3,0,0,1,0,0,1,5,0,6,1,0,16,14,14,4,7,3,2,0,0,0,8,6,2,14
"Ant507",7,0,9,8,1,4,3,0,1,1,1,0,1,33,0,44,20,10,0,1,9,0,1,16,2,0,0,14,10,0,3,52,10,18,8,0,20,11,0,14,23,1,4,2,0,0,2,0,0,0,0,0,1,23,0
"Ant552",7,6,0,18,5,0,9,2,4,0,6,6,2,0,5,0,8,1,10,27,0,13,7,0,13,4,6,21,12,11,0,6,1,0,0,11,9,1,4,1,0,6,3,20,1,0,1,1,1,8,0,0,1,1,2
"Ant560",9,2,0,4,8,0,0,2,11,2,17,10,1,0,8,0,12,0,25,2,0,19,2,0,0,1,14,1,2,1,0,0,18,0,0,11,4,0,4,2,0,22,4,13,8,5,3,6,2,6,1,1,0,1,2
"Ant564",3,0,0,5,3,2,6,0,1,1,0,0,14,10,2,21,28,5,2,3,8,3,2,19,1,0,0,1,16,1,4,10,12,19,12,1,44,28,1,15,8,0,4,3,4,0,5,3,7,2,23,1,1,0,3
"Ant593",8,3,0,4,3,0,11,5,0,28,0,10,13,0,1,0,3,3,22,4,0,8,2,0,1,1,12,0,0,3,0,1,4,0,0,15,5,4,7,3,0,15,16,8,10,6,3,0,12,14,0,2,2,3,0
