"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant518",9,0,0,5,39,0,4,2,1,10,0,1,13,8,4,41,27,0,3,0,3,3,0,0,7,0,0,1,16,3,0,0,14,3,1,0,15,9,11,9,10,0,6,0,8,1,6,0,13,3,5,0,7,2,4
"Ant0",12,11,0,12,4,1,14,5,11,37,34,23,6,0,32,2,7,3,0,12,0,24,6,0,39,23,25,5,8,6,0,0,11,0,0,26,20,0,18,1,0,36,12,22,3,22,6,6,3,19,0,9,10,2,24
"Ant32",6,1,0,13,1,0,7,3,27,1,25,5,7,1,9,1,7,0,12,0,1,10,28,0,2,7,8,6,4,2,0,0,1,0,0,11,2,0,3,0,0,23,8,51,4,5,0,12,0,23,0,21,11,1,2
"Ant43",0,1,28,2,5,9,0,4,0,0,0,1,23,18,1,11,10,3,0,1,0,0,0,33,2,0,0,1,8,0,13,31,0,50,32,0,7,26,0,14,39,0,2,0,0,1,1,0,0,1,35,0,0,22,3
"Ant44",8,6,0,5,0,0,4,32,4,9,14,18,6,0,32,0,3,3,24,10,0,0,27,0,6,15,6,1,5,10,0,0,4,0,0,4,6,0,11,0,0,25,1,6,10,25,1,19,4,7,0,18,14,1,6
"Ant50",3,5,0,6,8,0,8,34,0,4,7,0,0,0,20,2,1,0,6,28,0,27,0,0,5,1,14,7,0,0,0,0,0,0,0,12,2,0,5,0,0,5,1,13,2,10,1,3,2,6,0,0,2,1,7
"Ant55",0,0,25,2,0,25,0,0,0,0,0,0,8,19,0,10,5,0,0,0,33,0,0,0,0,0,0,0,0,0,10,24,0,76,26,0,0,61,0,20,9,0,0,0,0,0,0,0,0,0,32,0,0,17,0
"Ant63",7,0,0,7,7,0,1,6,1,7,0,13,3,0,1,5,13,7,39,2,2,6,5,0,0,4,3,0,15,5,0,0,8,0,0,2,3,0,1,3,2,3,11,0,0,3,1,1,2,18,0,0,2,3,1
"Ant97",3,0,0,2,1,0,5,0,5,8,9,9,0,0,5,1,2,0,23,7,0,15,1,0,4,0,1,0,31,1,0,0,1,0,0,23,3,0,2,0,0,10,1,3,1,5,1,4,0,10,0,1,3,3,3
"Ant98",1,24,0,3,0,0,5,10,24,0,5,8,0,0,36,0,1,0,25,8,0,6,14,0,3,1,0,6,7,4,0,0,2,0,0,1,1,0,6,0,0,17,0,20,2,6,1,1,1,1,0,2,12,0,4
"Ant137",5,1,0,2,0,0,7,8,3,4,14,0,0,0,3,0,8,1,5,6,1,1,7,0,0,0,6,0,13,9,0,0,0,0,0,0,2,0,4,2,1,5,3,1,1,0,0,9,4,8,0,0,0,1,27
"Ant140",3,1,0,13,5,1,2,2,1,14,1,3,0,0,13,5,15,16,8,4,8,5,0,0,15,31,7,13,0,16,0,0,18,0,0,5,23,1,1,0,2,0,14,0,2,2,4,0,6,17,10,0,2,14,2
"Ant169",18,0,0,5,7,0,6,5,22,5,1,2,3,0,12,2,13,3,6,2,0,10,0,0,5,1,4,9,16,0,0,0,3,0,0,7,11,0,6,2,0,24,1,7,7,3,14,4,13,4,3,1,6,2,8
"Ant176",0,0,15,0,4,1,0,0,0,0,0,0,8,2,0,6,3,0,0,0,13,0,0,10,0,0,0,0,0,0,0,10,0,31,28,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0
"Ant178",4,0,15,0,0,16,0,0,0,0,0,0,14,27,0,14,17,0,0,0,31,0,0,24,0,0,0,0,0,0,10,0,0,157,64,0,3,43,0,31,14,0,0,0,0,0,0,0,9,0,58,0,0,8,0
"Ant195",12,0,0,14,7,2,5,1,14,13,1,3,5,1,10,0,11,14,11,1,0,4,0,0,8,1,2,0,18,3,0,0,0,0,0,2,16,1,0,13,3,7,2,0,3,0,20,0,12,1,1,9,1,18,5
"Ant215",0,0,21,0,1,52,0,0,0,1,0,0,20,96,0,47,16,3,0,0,50,0,0,76,0,0,0,0,0,0,31,157,0,0,66,0,0,99,1,33,44,0,0,0,0,0,0,0,1,0,75,0,0,38,0
"Ant217",0,0,11,0,0,22,0,0,0,0,0,0,3,19,0,13,7,1,0,0,32,0,0,26,0,0,0,0,0,0,28,64,0,66,0,0,1,114,0,11,66,0,0,0,0,0,0,0,0,0,89,0,0,12,0
"Ant219",15,5,0,6,8,0,3,1,1,4,3,3,2,0,22,0,5,0,26,11,0,4,12,0,2,23,1,0,5,7,0,0,2,0,0,0,5,0,2,0,2,8,0,4,1,4,3,4,11,14,1,7,2,2,2
"Ant232",24,0,0,5,8,5,5,2,22,17,4,20,6,5,10,15,20,15,20,2,7,6,2,0,3,3,1,2,23,11,0,3,16,0,1,5,0,0,2,1,0,18,8,2,17,8,7,3,14,7,2,7,2,4,9
"Ant243",0,0,30,2,2,7,0,0,0,0,0,0,14,28,0,6,3,9,0,0,26,0,0,61,0,0,0,0,1,0,11,43,1,99,114,0,0,0,0,20,49,0,0,0,0,0,0,0,0,0,57,0,0,18,0
"Ant257",12,0,0,0,6,1,6,4,16,10,1,6,8,1,2,0,13,11,18,3,0,11,5,0,1,2,6,4,1,6,0,0,0,1,0,2,2,0,0,1,0,9,2,2,1,0,2,12,4,8,0,11,10,1,15
"Ant289",3,0,22,15,4,12,1,0,1,0,0,1,1,9,1,33,18,9,1,0,14,0,0,20,3,0,0,2,0,2,11,31,13,33,11,0,1,20,1,0,16,0,2,0,0,2,0,0,14,0,13,0,3,20,3
"Ant294",1,0,30,1,1,17,0,0,0,1,0,0,11,15,2,3,3,10,0,0,39,0,0,9,2,0,0,1,2,0,0,14,3,44,66,2,0,49,0,16,0,0,1,1,1,0,4,0,1,0,66,0,0,6,1
"Ant298",28,0,0,4,3,0,17,0,28,16,8,15,10,0,44,0,16,0,36,23,0,25,5,0,3,10,17,5,0,24,0,0,7,0,0,8,18,0,9,0,0,0,2,15,19,16,8,19,8,22,0,18,9,8,15
"Ant324",0,0,0,16,3,0,3,0,3,3,1,2,0,0,4,5,19,6,12,8,2,1,1,0,11,1,0,3,14,1,0,0,2,0,0,0,8,0,2,2,1,2,0,0,1,1,3,0,20,0,1,0,4,8,12
"Ant332",0,2,0,0,3,0,4,1,20,9,28,3,1,0,12,1,12,0,22,51,0,6,13,0,0,3,20,1,0,7,0,0,0,0,0,4,2,0,2,0,1,15,0,0,4,9,2,10,1,5,0,7,9,0,0
"Ant342",23,0,0,4,10,10,4,0,11,3,4,3,16,0,15,0,23,8,3,4,0,10,2,0,0,1,2,1,2,7,0,0,3,0,0,1,17,0,1,0,1,19,1,4,0,5,11,5,1,9,0,5,21,5,13
"Ant356",3,4,0,4,0,0,0,19,7,3,7,2,0,0,4,4,1,1,22,5,1,25,10,0,3,5,6,0,2,3,0,0,0,0,0,4,8,0,0,2,0,16,1,9,5,0,1,14,4,9,0,6,0,1,0
"Ant395",14,0,0,5,10,0,3,1,6,3,0,1,6,3,2,0,11,6,6,0,1,1,1,0,1,1,1,0,4,14,0,0,20,0,0,3,7,0,2,0,4,8,3,2,11,1,0,0,4,11,0,3,10,5,18
"Ant400",17,1,0,0,6,0,16,4,27,17,7,5,3,0,41,0,0,0,6,12,0,19,3,0,1,4,1,9,0,4,0,0,0,0,0,4,3,0,12,0,0,19,0,10,5,14,0,0,2,5,0,3,4,5,8
"Ant437",20,0,0,6,17,1,3,3,1,3,0,3,1,0,2,4,11,13,3,0,0,4,2,0,2,0,1,4,6,13,0,9,12,1,0,11,14,0,4,14,1,8,20,1,1,4,4,2,0,1,1,0,5,7,11
"Ant492",6,2,0,6,2,0,14,3,17,7,9,10,1,0,13,0,4,3,19,23,1,7,6,0,18,10,1,8,17,4,0,0,1,0,0,14,7,0,8,0,0,22,0,5,9,9,11,5,1,0,0,12,10,5,6
"Ant507",0,0,27,0,3,19,16,0,0,0,4,0,10,39,0,16,5,5,0,0,35,0,0,32,0,0,0,0,10,3,11,58,1,75,89,1,2,57,0,13,66,0,1,0,0,0,0,0,1,0,0,0,2,65,0
"Ant552",2,3,0,1,3,1,14,0,22,10,3,12,9,0,8,0,8,0,9,21,0,18,0,0,0,1,2,0,0,1,0,0,9,0,0,7,7,0,11,0,0,18,0,7,5,6,3,3,0,12,0,0,3,1,4
"Ant560",27,2,0,2,12,4,16,1,9,9,3,6,3,0,13,0,23,7,10,11,0,14,2,0,2,3,12,0,2,6,0,0,1,0,0,2,2,0,10,3,0,9,4,9,21,0,10,4,5,10,2,3,0,0,18
"Ant564",2,0,22,23,21,4,6,1,1,11,1,1,7,13,0,21,14,2,2,1,22,1,1,17,3,3,0,1,14,2,8,8,18,38,12,2,4,18,1,20,6,8,8,0,5,1,5,5,7,5,65,1,0,0,11
"Ant593",17,1,0,10,14,0,13,3,22,16,4,1,21,0,3,0,11,4,24,2,3,6,7,0,1,3,4,27,2,8,0,0,5,0,0,2,9,0,15,3,1,15,12,0,13,0,18,8,11,6,0,4,18,11,0
