"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant311",29,0,13,8,8,12,13,17,18,15,8,10,10,2,5,9,0,17,27,5,4,5,8,20,5,1,7,0,29,31,9,4,25,29,2,2,23,3,14,19,5,7,10,9,28,10,13,6,9,17,8,2,20,6,43
"Ant518",2,2,2,3,15,1,0,2,9,19,0,3,8,0,2,9,17,0,8,3,6,0,2,20,5,1,0,5,5,9,1,3,12,24,1,2,6,7,2,17,0,0,6,2,10,0,11,0,0,1,10,4,0,0,16
"Ant0",17,11,0,25,5,0,22,8,15,22,30,27,3,0,15,0,27,8,0,3,0,15,1,3,18,3,21,3,17,11,0,0,12,2,0,23,8,0,19,5,0,43,12,32,7,43,6,8,11,24,3,32,13,3,10
"Ant32",1,9,0,12,2,0,1,4,1,7,14,1,0,0,6,0,5,3,3,0,0,0,7,1,1,13,30,50,5,4,0,0,0,0,0,0,14,0,0,0,0,32,1,0,0,7,0,52,0,0,0,0,0,0,0
"Ant43",0,0,32,0,1,36,0,0,0,0,0,0,0,18,0,13,4,6,0,0,0,0,0,6,0,0,0,0,0,0,10,19,0,68,91,0,0,31,0,11,38,0,0,1,0,0,0,0,0,0,45,0,0,19,0
"Ant44",2,1,0,2,6,2,14,7,22,28,7,4,1,0,7,0,5,0,15,0,0,0,12,1,4,12,7,0,5,10,0,4,4,2,0,21,48,1,9,7,0,24,4,14,14,9,0,15,11,23,1,1,6,0,9
"Ant50",0,13,0,6,0,0,6,2,9,4,10,3,1,0,16,0,8,2,1,7,0,12,0,1,10,0,4,8,2,4,0,0,7,2,0,7,27,0,3,2,0,16,10,9,9,2,1,19,1,14,1,4,11,0,2
"Ant55",4,0,17,3,20,11,4,0,2,3,0,0,16,15,0,19,20,20,3,1,6,1,1,0,0,0,0,1,0,7,6,36,2,39,32,0,2,25,13,7,15,0,0,0,4,0,10,1,2,2,10,0,0,8,6
"Ant63",2,1,0,6,1,1,10,1,15,27,13,9,0,0,13,0,5,5,18,1,0,4,10,0,0,4,2,1,2,3,0,0,5,1,0,6,3,0,7,1,0,3,2,14,4,5,0,6,7,6,0,4,10,0,3
"Ant97",0,3,0,0,0,0,14,1,0,14,32,3,0,0,16,0,1,1,3,13,0,12,0,0,4,0,0,7,0,0,0,0,3,0,0,0,6,1,0,1,0,9,0,4,2,1,0,6,0,3,0,0,0,0,4
"Ant98",5,5,0,5,3,0,5,2,3,14,21,5,0,0,2,1,7,0,21,30,0,7,4,0,2,0,0,2,1,3,0,0,0,0,0,11,4,0,1,4,1,9,0,4,4,9,1,12,0,9,0,1,4,0,6
"Ant137",2,3,0,6,2,0,4,0,0,5,13,0,0,0,0,0,0,5,3,50,0,0,8,1,1,7,2,0,0,4,0,0,0,2,0,0,5,0,1,1,0,15,0,1,2,1,1,23,1,0,0,1,3,0,1
"Ant140",22,2,0,1,4,0,6,0,4,4,0,5,1,0,1,0,29,5,17,5,0,5,2,0,2,0,1,0,0,1,0,0,55,11,0,0,3,0,4,0,0,6,8,0,2,0,0,0,21,5,0,11,2,0,26
"Ant169",3,3,0,1,2,2,0,2,13,4,2,2,4,0,7,8,31,9,11,4,0,10,4,7,3,0,3,4,1,0,2,0,6,3,0,4,3,1,0,8,4,5,6,10,6,0,4,11,4,3,10,0,2,0,2
"Ant176",1,0,16,0,4,31,0,0,1,4,0,0,0,2,0,19,9,1,0,0,10,0,0,6,0,0,0,0,0,2,0,14,0,64,20,0,0,4,0,2,10,0,1,0,0,0,1,0,1,0,15,0,0,2,0
"Ant178",10,0,0,1,10,9,0,0,7,0,0,0,1,13,1,40,4,3,0,0,19,4,0,36,0,0,0,0,0,0,14,0,1,46,34,1,5,15,2,0,57,0,0,0,0,0,3,0,1,0,9,5,1,2,0
"Ant195",8,1,0,6,10,3,4,6,15,19,4,5,6,0,9,4,25,12,12,0,0,4,7,2,5,3,0,0,55,6,0,1,0,23,0,3,3,1,4,5,0,8,6,1,1,0,0,1,12,11,4,2,8,8,13
"Ant215",20,1,35,7,12,62,0,0,0,1,0,1,49,53,0,62,29,24,2,0,68,2,2,39,1,0,0,2,11,3,64,46,23,0,174,1,3,93,3,56,70,5,1,2,2,0,2,1,1,0,66,2,2,96,7
"Ant217",4,0,21,0,0,26,0,0,0,0,0,0,3,46,0,41,2,1,0,0,91,0,0,32,0,0,0,0,0,0,20,34,0,174,0,0,0,98,0,19,44,0,0,0,0,0,0,0,0,0,114,0,0,23,0
"Ant219",2,1,0,9,1,0,6,0,11,1,1,1,0,0,4,0,2,2,23,0,0,21,7,0,6,0,11,0,0,4,0,1,3,1,0,0,3,1,0,0,0,20,4,4,2,9,0,3,1,1,1,14,1,0,0
"Ant232",9,7,0,0,3,1,16,8,6,32,0,7,1,0,6,1,23,6,8,14,0,48,27,2,3,6,4,5,3,3,0,5,3,3,0,3,0,0,4,0,1,20,11,5,4,2,4,6,5,11,0,4,0,0,5
"Ant243",5,0,3,0,3,16,0,0,1,0,0,0,2,18,0,38,3,7,0,0,31,1,0,25,0,1,0,0,0,1,4,15,1,93,98,1,0,0,0,1,22,0,1,1,0,0,0,1,0,0,27,1,0,15,2
"Ant257",14,0,0,11,3,1,9,1,9,2,2,1,0,0,3,0,14,2,19,0,0,9,3,13,7,0,1,1,4,0,0,2,4,3,0,0,4,0,0,0,0,2,3,23,2,7,0,0,7,2,0,3,3,2,6
"Ant289",4,0,8,1,1,8,0,0,3,0,4,1,6,15,0,5,19,17,5,0,11,7,2,7,1,1,4,1,0,8,2,0,5,56,19,0,0,1,0,0,13,0,2,0,4,0,1,1,1,1,31,0,0,15,0
"Ant294",4,0,14,0,2,17,0,0,0,0,0,0,17,37,0,46,5,0,0,0,38,0,0,15,0,0,1,0,0,4,10,57,0,70,44,0,1,22,0,13,0,0,0,0,2,0,0,0,0,0,11,0,0,45,0
"Ant298",0,12,0,7,10,1,15,7,7,15,42,17,0,0,39,0,7,0,43,32,0,24,16,0,3,9,9,15,6,5,0,0,8,5,0,20,20,0,2,0,0,0,10,3,4,19,13,0,7,14,0,6,6,0,9
"Ant324",7,1,0,0,1,2,3,6,14,5,1,0,5,0,1,0,10,6,12,1,0,4,10,0,2,0,0,0,8,6,1,0,6,1,0,4,11,1,3,2,0,10,0,8,3,0,1,7,0,2,0,0,4,0,15
"Ant332",2,2,0,7,1,0,12,1,10,7,7,13,1,0,10,0,9,2,32,0,1,14,9,0,14,4,4,1,0,10,0,0,1,2,0,4,5,1,23,0,0,3,8,0,4,15,0,3,0,16,0,7,5,0,8
"Ant342",8,1,0,1,3,0,5,1,15,0,0,4,2,0,4,1,28,10,7,0,0,14,9,4,4,2,4,2,2,6,0,0,1,2,0,2,4,0,2,4,2,4,3,4,0,4,1,2,4,18,0,3,6,0,10
"Ant356",3,5,0,6,2,0,11,0,11,0,2,5,0,0,1,0,10,0,43,7,0,9,2,0,5,1,9,1,0,0,0,0,0,0,0,9,2,0,7,0,0,19,0,15,4,0,0,5,2,12,0,1,3,0,10
"Ant395",6,0,0,5,9,0,7,7,4,2,1,0,15,0,6,0,13,11,6,0,0,0,1,10,0,0,1,1,0,4,1,3,0,2,0,0,4,0,0,1,0,13,1,0,1,0,0,11,1,0,1,4,0,2,6
"Ant400",11,0,0,32,6,0,5,0,4,4,6,0,14,0,8,1,6,0,8,52,0,15,19,1,6,6,12,23,0,11,0,0,1,1,0,3,6,1,0,1,0,0,7,3,2,5,11,0,3,3,6,14,0,0,1
"Ant437",8,0,0,1,1,1,4,0,12,2,0,1,8,0,1,2,9,0,11,0,0,11,1,2,7,0,0,1,21,4,1,1,12,1,0,1,5,0,7,1,0,7,0,0,4,2,1,3,0,1,0,2,3,2,4
"Ant492",3,9,0,0,2,0,10,9,6,0,2,8,1,0,2,0,17,1,24,0,0,23,14,2,6,3,9,0,5,3,0,0,11,0,0,1,11,0,2,1,0,14,2,16,18,12,0,3,1,0,1,3,3,0,9
"Ant507",7,0,20,0,7,36,0,2,2,0,0,0,6,50,0,40,8,10,3,0,45,1,1,10,0,0,0,0,0,10,15,9,4,66,114,1,0,27,0,31,11,0,0,0,0,0,1,6,0,1,0,0,0,76,3
"Ant552",1,2,0,0,1,0,4,2,4,0,1,15,0,0,6,1,2,4,32,0,0,1,4,0,4,0,1,1,11,0,0,5,2,2,0,14,4,1,3,0,0,6,0,7,3,1,4,14,2,3,0,0,0,0,3
"Ant560",0,3,0,4,2,1,13,0,3,13,3,0,2,0,5,1,20,0,13,0,0,6,11,0,10,0,4,3,2,2,0,1,8,2,0,1,0,0,3,0,0,6,4,5,6,3,0,0,3,3,0,0,0,0,1
"Ant564",6,0,16,1,2,4,0,0,3,0,0,0,0,9,1,80,6,0,3,0,19,0,0,8,0,0,0,0,0,0,2,2,8,96,23,0,0,15,2,15,45,0,0,0,0,0,2,0,2,0,76,0,0,0,9
"Ant593",14,1,0,10,7,0,10,6,12,1,2,2,2,0,5,1,43,16,10,0,0,9,2,6,3,4,6,1,26,2,0,0,13,7,0,0,5,2,6,0,0,9,15,8,10,10,6,1,4,9,3,3,1,9,0
