"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant257",5,0,23,1,0,0,2,0,9,5,1,1,18,4,10,0,16,0,0,4,1,8,0,0,21,0,6,2,1,4,2,0,0,4,2,4,1,0,0,4,11,1,0,1,0,0,0,3,0,3,2,3,5,6,8,0,1,16,1,0,6,0,3,12,7,5,13
"Ant289",2,3,51,7,21,7,9,2,1,10,6,3,3,7,17,0,2,0,16,3,1,7,1,2,4,0,12,3,16,0,2,8,5,9,26,4,9,6,0,25,4,0,4,2,19,4,3,0,0,5,1,7,1,13,2,4,3,1,8,10,11,3,5,4,13,8,10
"Ant294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant298",27,9,18,12,3,2,5,14,3,14,7,15,5,2,40,0,16,3,0,9,7,15,9,0,45,3,7,2,3,3,25,0,3,12,15,4,4,0,0,4,4,0,0,6,3,0,3,5,0,0,7,2,7,3,1,2,6,11,1,1,15,0,2,9,26,0,1
"Ant318",15,2,25,5,2,6,0,0,4,11,0,8,7,0,20,0,6,4,0,17,1,1,27,0,13,0,10,2,4,3,2,1,0,4,1,6,2,6,0,2,0,0,0,4,1,0,2,1,0,7,0,1,3,0,6,14,10,8,1,2,4,0,0,24,1,0,0
"Ant324",10,1,14,3,1,0,9,1,4,14,1,4,2,4,6,0,4,5,3,13,7,10,0,0,1,3,7,0,13,6,0,0,4,0,3,4,10,6,0,4,9,0,0,4,7,0,3,7,0,2,1,0,1,2,3,37,13,6,16,7,2,1,2,2,1,4,9
"Ant332",2,15,24,14,0,0,3,4,5,1,0,7,2,1,1,0,5,9,1,5,0,4,20,0,8,12,3,6,2,4,21,0,1,2,3,4,3,0,0,0,3,0,0,6,5,0,5,1,0,7,3,1,0,5,3,1,1,2,10,0,0,0,2,7,6,0,2
"Ant342",6,11,30,5,1,1,5,6,12,6,3,6,10,6,2,0,7,20,5,4,9,18,5,1,4,13,2,6,2,1,8,1,6,4,1,4,3,3,0,2,9,0,0,1,4,2,6,13,0,3,0,2,5,0,8,0,4,8,0,2,17,3,5,13,2,1,8
"Ant356",8,4,27,2,2,0,2,4,10,19,4,4,4,5,7,0,7,3,1,2,1,8,1,1,10,7,7,8,4,11,9,0,2,7,0,2,6,0,0,0,6,0,0,7,3,0,8,2,0,1,6,3,3,8,0,3,8,1,1,1,11,0,2,16,4,3,5
"Ant394",7,2,49,5,1,27,11,4,10,5,3,3,0,6,19,0,1,2,7,18,1,1,9,3,16,2,25,0,27,0,8,5,10,18,29,6,18,23,12,8,5,2,1,0,16,5,0,4,0,2,14,37,1,0,3,0,16,5,14,21,8,20,5,3,2,8,28
