"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant63",2,1,0,9,2,2,4,0,18,0,3,13,10,0,5,2,3,11,8,0,0,5,7,0,0,0,3,6,6,2,0,0,4,0,0,6,6,0,5,0,0,4,1,9,10,1,3,0,3,13,0,1,5,3,4
"Ant97",0,5,0,0,0,0,5,5,1,0,10,24,0,0,1,0,0,0,17,20,0,13,0,1,0,0,0,0,52,5,0,0,2,0,0,0,2,0,1,0,0,4,0,4,0,7,0,2,0,1,0,8,2,0,0
"Ant98",8,3,0,3,0,0,10,1,7,0,9,7,2,0,2,3,2,4,5,7,0,3,10,0,3,0,0,2,10,0,0,0,5,2,0,3,0,0,11,0,0,13,5,11,1,1,3,0,0,8,0,1,3,0,4
"Ant137",4,2,0,5,0,1,7,0,4,2,6,0,0,0,17,0,4,0,28,1,0,13,7,0,6,0,2,0,4,4,0,0,5,0,0,4,0,0,3,0,0,1,0,13,1,20,0,4,1,15,0,1,4,1,5
"Ant140",4,2,0,7,1,16,19,7,10,8,7,16,22,0,8,0,8,9,20,0,0,10,0,2,6,52,10,4,0,6,3,0,23,2,0,7,0,0,10,0,0,0,19,20,4,4,0,12,1,7,1,6,3,4,16
"Ant169",4,0,0,9,2,1,7,11,7,10,1,5,14,0,7,3,3,7,1,0,3,6,2,8,2,5,0,4,6,0,0,0,3,5,0,5,17,0,0,4,3,4,3,4,2,0,17,14,0,3,4,0,0,1,2
"Ant176",6,0,1,1,8,9,3,2,1,0,1,2,34,11,0,9,5,6,2,0,7,1,0,8,0,0,0,0,3,0,0,4,9,21,22,3,0,6,1,2,6,3,4,2,9,0,0,0,2,4,7,0,0,1,8
"Ant178",2,0,3,0,0,30,0,0,0,0,0,0,0,3,0,15,9,5,0,0,9,0,0,14,0,0,0,0,0,0,4,0,0,19,31,0,0,13,0,9,42,0,0,0,0,0,0,0,0,0,56,0,0,6,0
"Ant195",16,0,0,5,4,26,4,4,7,1,2,11,6,0,1,1,8,7,2,2,0,6,10,3,4,2,5,5,23,3,9,0,0,1,0,5,2,0,1,5,0,2,3,8,0,0,10,0,20,3,3,6,0,7,7
"Ant215",9,0,37,5,4,72,0,0,2,9,3,1,40,57,0,43,33,18,1,3,29,2,1,43,0,0,2,0,2,5,21,19,1,0,73,3,13,42,1,50,40,3,1,2,1,1,2,2,6,0,57,0,1,36,2
"Ant217",1,0,12,0,0,8,0,0,0,0,0,0,1,62,0,40,2,16,0,0,38,0,0,19,0,0,0,0,0,0,22,31,0,73,0,0,0,58,0,15,38,0,0,0,0,0,0,0,0,0,48,0,0,16,0
"Ant219",1,1,0,19,10,0,21,0,10,7,1,1,4,0,5,0,0,3,9,0,1,23,9,0,6,0,3,4,7,5,3,0,5,3,0,0,6,0,4,0,0,16,5,2,5,14,1,8,1,6,0,8,3,0,17
"Ant232",10,0,0,5,42,24,18,1,5,12,2,4,1,0,2,1,7,20,18,8,2,2,2,8,6,2,0,0,0,17,0,0,2,13,0,6,0,0,6,12,0,16,2,10,1,0,3,12,15,0,8,14,0,12,8
"Ant243",3,0,10,0,0,22,0,0,0,0,0,0,2,20,0,24,1,1,0,0,12,0,0,4,0,0,0,0,0,0,6,13,0,42,58,0,0,0,0,24,28,0,0,0,0,0,0,0,0,0,21,0,0,9,0
"Ant257",1,0,0,6,0,4,6,0,2,6,2,8,5,0,3,0,0,0,14,5,0,1,0,2,5,1,11,3,10,0,1,0,1,1,0,4,6,0,0,0,0,12,4,9,2,0,0,1,1,4,3,3,2,0,5
"Ant289",8,0,9,2,13,7,4,0,2,5,0,0,7,46,0,39,13,2,0,2,11,1,0,5,0,0,0,0,0,4,2,9,5,50,15,0,12,24,0,0,11,9,0,0,0,0,0,1,0,0,14,1,0,12,2
"Ant294",0,0,8,0,0,19,0,0,0,0,0,0,10,53,0,15,13,2,0,0,27,0,0,9,0,0,0,0,0,3,6,42,0,40,38,0,0,28,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,30,0
"Ant298",1,14,0,5,2,0,11,1,10,9,3,0,0,0,1,0,2,0,10,17,0,16,0,2,4,4,13,1,0,4,3,0,2,3,0,16,16,0,12,9,0,0,3,5,1,14,7,9,1,8,0,3,5,0,7
"Ant324",8,0,0,5,0,2,7,7,4,7,1,2,4,0,1,0,4,2,21,7,0,3,0,0,1,0,5,0,19,3,4,0,3,1,0,5,2,0,4,0,0,3,0,18,10,0,3,3,6,8,0,0,1,1,11
"Ant332",9,2,0,15,7,0,6,1,6,12,5,4,16,0,6,0,15,1,27,3,0,16,6,2,9,4,11,13,20,4,2,0,8,2,0,2,10,0,9,0,0,5,18,0,3,4,2,3,7,7,0,1,1,5,11
"Ant342",9,0,0,19,5,0,10,0,11,4,9,12,15,0,7,2,1,0,10,5,1,17,0,0,10,0,1,1,4,2,9,0,0,1,0,5,1,0,2,0,0,1,10,3,0,3,4,4,7,8,0,2,1,0,9
"Ant356",0,0,0,15,1,0,8,1,8,19,20,4,0,0,9,5,0,1,28,10,0,6,4,0,1,7,1,20,4,0,0,0,0,1,0,14,0,0,0,0,0,14,0,4,3,0,0,12,0,6,0,12,4,0,15
"Ant395",4,0,0,2,2,7,5,0,11,0,2,5,4,0,1,0,10,12,7,2,5,0,2,7,3,0,3,0,0,17,0,0,10,2,0,1,3,0,0,0,0,7,3,2,4,0,0,6,4,6,0,1,5,4,1
"Ant400",3,1,0,23,2,0,10,3,6,13,4,2,0,0,8,1,2,0,8,19,0,22,6,9,0,2,0,4,12,14,0,0,0,2,0,8,12,0,1,1,0,9,3,3,4,12,6,0,3,0,2,4,1,0,4
"Ant437",14,0,0,6,7,2,6,8,6,2,2,4,9,0,0,0,7,2,5,2,2,0,0,2,3,0,0,1,1,0,2,0,20,6,0,1,15,0,1,0,0,1,6,7,7,0,4,3,0,8,1,0,8,4,23
"Ant492",4,0,0,1,0,0,5,2,6,1,3,4,5,0,2,0,5,4,37,0,2,6,16,0,13,1,8,15,7,3,4,0,3,0,0,6,0,0,4,0,0,8,8,7,8,6,6,0,8,0,0,0,0,6,8
"Ant507",7,0,28,0,14,17,4,0,0,2,0,4,0,63,0,43,19,10,4,2,16,0,0,34,0,0,0,0,1,4,7,56,3,57,48,0,8,21,3,14,11,0,0,0,0,0,0,2,1,0,0,1,0,35,0
"Ant552",3,0,0,5,1,0,3,1,1,13,0,1,3,0,4,0,0,1,18,1,0,11,0,3,1,8,1,1,6,0,0,0,6,0,0,8,14,0,3,1,0,3,0,1,2,12,1,4,0,0,1,0,4,0,4
"Ant560",3,19,0,2,0,1,6,6,9,2,0,1,1,0,1,3,1,0,12,11,1,2,1,1,5,2,3,4,3,0,0,0,0,1,0,3,0,0,2,0,0,5,1,1,1,4,5,1,8,0,0,4,0,0,4
"Ant564",16,0,13,6,7,6,1,0,5,0,0,0,16,7,0,35,4,4,2,0,3,0,0,17,3,0,0,1,4,1,1,6,7,36,16,0,12,9,0,12,30,0,1,5,0,0,4,0,4,6,35,0,0,0,0
"Ant593",5,7,0,14,0,0,7,1,13,10,3,6,18,0,5,0,13,0,37,0,0,5,13,0,4,0,4,5,16,2,8,0,7,2,0,17,8,0,5,2,0,7,11,11,9,15,1,4,23,8,0,4,4,0,0
