"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant55",6,0,0,7,2,7,0,1,6,0,2,3,3,1,0,0,0,1,6,0,2,1,3,0,0,7,10,7,6,3,1,7,2,2,10,0,2,2,0,2,3,3,8,5,2,0,4,14,8,1,1,9,1,3,3,0,1,0,0,2,1,2,1,3,4,0,12,13,5,4,0,0,5,2,0,15,1,3,0,0,0,10,0,4,0,2,10,15,1,2,14,0,2,0,1,4,14,3,2,8,2,20,7,8,2,2,1,2,14,1
"Ant63",11,0,0,6,0,1,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,1,0,1,1,4,0,11,15,2,1,5,3,0,11,0,1,12,2,0,0,0,0,0,5,3,1,4,2,0,0,4,8,0,0,0,6,6,9,3,4,0,10,5,8,0,1,5,1,0,16,2,0,0,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,4,5,4,10,0,0,1,17,0,13,0,0,1,3,3,0,10,16
"Ant91",0,22,0,0,18,0,16,5,1,1,4,12,1,2,7,9,14,2,1,43,0,12,30,0,3,2,2,2,0,0,4,1,0,17,0,9,9,0,3,0,0,1,10,56,0,9,1,0,2,0,14,0,2,0,29,14,0,3,0,1,0,19,0,3,0,17,0,1,3,13,0,0,7,3,0,1,8,2,1,1,9,1,45,0,7,0,2,0,7,0,0,0,0,0,1,0,0,9,3,1,23,1,5,2,8,0,0,22,1,0
"Ant97",5,4,0,0,6,0,0,7,0,0,24,3,9,19,0,0,0,2,18,3,14,12,6,3,2,10,6,3,0,4,6,11,0,7,2,3,11,1,3,0,1,0,10,20,7,10,2,5,10,4,1,5,0,0,6,1,0,1,3,0,0,0,0,7,0,0,20,0,9,0,1,0,6,12,1,5,7,12,7,11,0,12,0,5,0,10,4,8,4,5,4,3,0,0,11,1,15,6,16,5,2,2,20,8,2,3,4,10,17,3
"Ant98",4,62,1,2,9,0,0,5,8,12,10,10,1,3,3,5,2,4,2,8,11,4,12,1,2,7,5,4,1,3,16,5,2,10,0,14,7,2,8,0,10,10,0,30,7,41,2,3,5,1,3,4,1,0,22,18,4,0,1,1,0,3,0,3,8,0,7,8,1,12,2,0,12,12,1,1,18,9,11,6,7,2,7,6,0,2,12,5,17,0,3,0,1,0,0,1,0,14,7,2,17,1,12,7,19,0,0,55,1,1
"Ant100",2,30,0,1,46,1,63,17,4,11,21,19,2,16,29,22,40,16,1,26,14,11,107,3,31,14,16,2,0,1,20,7,3,24,1,23,3,0,5,0,56,20,30,0,12,30,1,6,6,3,3,2,0,0,38,18,0,0,0,0,0,8,1,8,0,34,24,2,0,26,0,0,24,22,0,2,26,22,8,11,50,4,103,19,20,7,19,6,37,0,2,0,2,1,6,0,8,21,7,1,15,3,46,17,17,0,1,24,14,0
"Ant109",2,5,0,0,0,3,0,2,5,0,1,2,7,5,0,3,2,4,2,1,3,2,6,10,1,9,4,7,0,12,0,1,6,1,2,0,3,0,2,5,0,7,7,12,0,9,0,4,4,2,1,8,2,2,3,0,3,0,4,3,2,0,0,3,0,0,0,2,3,1,0,0,2,1,6,0,5,2,5,1,0,1,0,2,0,3,9,2,1,1,7,0,0,3,0,2,1,2,4,2,2,2,5,2,2,1,5,1,1,8
"Ant113",5,63,0,1,18,0,0,26,5,8,14,30,1,11,0,7,0,0,0,2,6,18,3,0,16,7,22,2,0,2,16,1,2,10,0,16,9,2,0,3,9,10,41,30,9,0,1,5,6,2,6,1,1,2,29,9,0,1,0,0,0,14,1,3,3,0,9,3,0,18,2,0,14,13,1,3,22,19,9,18,14,2,8,6,0,3,12,6,22,0,1,0,0,0,1,0,11,19,11,1,32,1,9,9,29,1,0,71,3,0
"Ant115",8,2,0,3,0,1,0,1,16,4,0,2,2,7,0,1,0,2,5,0,16,0,1,0,0,10,4,6,0,2,8,10,4,0,7,1,5,0,4,1,1,2,2,1,0,1,0,6,10,0,0,0,0,0,2,1,3,4,1,0,0,0,2,2,2,0,1,7,0,0,0,0,2,0,1,5,2,2,0,2,0,5,0,2,0,0,0,10,1,0,6,0,0,1,0,0,0,0,3,4,0,7,17,3,4,0,0,1,9,0
"Ant117",3,4,1,6,5,1,0,1,17,6,0,2,4,10,0,0,0,3,19,0,6,3,2,10,1,6,13,19,0,8,3,17,7,1,3,2,4,3,14,4,0,5,3,6,4,5,6,0,8,9,4,15,5,3,3,0,5,5,15,2,12,0,13,5,8,0,12,7,6,2,2,4,0,0,1,8,0,0,0,1,0,7,0,3,0,11,7,11,1,7,7,1,6,2,2,3,0,4,2,9,0,18,0,5,5,3,12,5,19,7
"Ant124",9,12,0,4,1,0,0,15,7,1,13,6,2,2,1,15,3,7,2,8,17,15,5,5,1,1,7,3,2,14,4,7,5,5,2,6,8,6,8,2,2,10,5,6,4,6,10,8,0,1,2,11,1,4,13,0,1,0,7,4,3,1,3,4,9,2,6,11,1,3,0,0,6,1,0,12,5,12,6,2,1,13,0,12,0,31,11,19,7,0,3,0,1,0,2,3,0,10,1,9,1,4,6,8,2,6,0,4,6,0
"Ant127",5,1,2,2,0,3,0,0,4,0,0,2,1,2,0,0,0,6,6,4,10,0,0,0,0,11,2,4,2,10,4,7,7,0,1,0,0,9,1,0,0,4,1,3,2,2,0,9,1,0,0,8,1,1,0,0,1,8,0,4,4,0,0,0,15,0,0,1,3,0,0,12,0,0,1,5,0,0,0,0,0,0,0,0,0,12,1,2,5,10,0,4,3,9,2,0,1,0,0,3,0,8,4,2,0,19,5,5,3,0
"Ant131",11,22,0,0,17,0,1,10,0,11,11,21,7,1,0,6,4,2,0,12,2,1,1,0,12,9,3,6,0,1,12,12,0,14,0,1,8,2,1,0,14,1,3,3,1,6,0,4,2,0,0,0,0,1,17,23,4,0,3,0,0,8,0,3,0,2,5,6,0,10,1,0,12,5,0,0,19,3,5,4,0,1,6,10,11,0,4,2,7,1,0,0,0,0,1,0,0,9,4,2,14,3,5,13,8,0,1,4,2,0
"Ant137",5,3,3,4,0,9,0,0,0,0,0,6,5,3,0,0,0,1,9,3,7,1,0,12,0,3,5,7,0,19,3,8,0,1,3,0,3,9,9,4,0,5,4,2,8,1,0,15,11,8,0,0,3,0,0,0,5,0,9,8,4,0,1,1,13,0,0,6,4,0,0,4,3,0,0,6,0,4,0,1,0,5,0,0,0,0,1,3,1,0,2,4,1,1,3,1,0,1,0,2,2,12,1,4,0,10,6,5,10,3
"Ant139",0,2,1,2,0,1,0,0,0,3,0,0,1,0,0,1,0,3,9,3,0,1,0,1,1,0,0,6,1,1,1,3,2,0,3,0,0,2,1,8,2,0,1,0,2,1,0,5,1,1,0,3,0,5,0,0,1,22,6,12,11,0,9,0,0,0,0,1,3,0,1,13,0,0,0,1,0,1,0,0,0,9,0,0,0,2,2,0,0,1,3,4,1,4,5,5,1,0,2,2,1,3,2,0,0,2,6,0,7,7
"Ant140",0,0,9,2,2,0,0,0,0,7,6,1,2,9,0,1,1,16,7,7,0,1,0,2,3,3,3,0,1,5,1,0,6,1,3,0,0,4,3,0,0,0,0,0,2,2,0,3,4,1,1,0,5,0,3,4,0,11,0,3,0,7,0,3,1,0,0,0,6,0,0,2,7,1,9,3,8,3,14,3,0,4,0,6,0,7,1,2,1,1,0,5,0,10,14,0,2,1,6,3,1,0,0,0,5,0,2,0,4,1
