"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant64",0,3,7,0,6,0,1,0,0,0,0,7,8,4,4,2,1,3,1,1,2,7,5,9,4,0,4,0,24,5,0,3,9,3,6,0,1,0,3,0,9,8,0,14,12,0,3,1,0,0,5,1,1,0,2,1,8
"Ant158",1,10,14,2,3,0,6,0,3,0,7,0,7,10,3,1,8,6,1,0,8,0,6,3,7,1,14,0,12,3,0,10,2,7,7,2,6,0,5,0,2,3,4,6,0,0,0,0,0,1,9,2,1,0,0,1,4
"Ant196",13,3,30,25,2,13,3,4,3,21,8,7,0,17,5,17,12,14,0,1,3,11,12,10,40,32,8,22,3,6,12,9,2,62,8,8,35,12,4,1,3,3,4,5,3,15,2,0,0,10,3,0,32,0,0,0,13
"Ant202",42,9,4,6,2,5,0,0,4,14,4,10,17,0,1,7,8,6,0,0,3,14,9,0,6,34,4,2,0,2,21,0,0,6,0,7,22,13,0,5,1,0,2,1,0,2,24,0,0,5,2,0,7,0,0,0,1
"Ant209",1,4,3,3,9,2,1,1,0,0,4,3,5,1,0,5,1,0,1,1,6,0,8,2,1,0,5,2,7,6,2,15,4,3,4,1,3,1,1,0,0,0,0,0,4,0,1,0,0,1,4,0,3,0,0,4,4
"Ant268",0,10,8,4,2,4,13,2,0,0,2,1,17,7,5,0,8,5,2,16,6,3,8,7,5,5,8,10,5,1,7,22,24,31,5,0,0,0,14,0,2,0,4,3,3,0,6,0,0,5,6,2,5,0,0,6,8
"Ant308",4,0,6,12,1,7,0,0,0,0,1,8,12,8,1,8,0,16,0,0,1,0,2,8,11,0,0,0,2,5,6,14,2,7,1,0,5,3,0,0,2,1,2,1,6,0,1,0,0,1,0,1,16,0,0,0,5
"Ant311",3,4,10,9,3,1,2,4,0,0,3,6,14,6,0,5,16,0,4,1,1,2,4,1,11,0,0,1,8,3,7,2,3,10,0,0,5,0,0,0,0,2,0,1,1,1,5,4,0,1,2,3,12,0,0,0,7
"Ant620",0,0,0,1,4,3,0,142,0,0,1,1,0,0,1,2,0,4,0,2,2,0,7,0,0,0,9,21,0,8,0,1,6,1,0,0,1,0,1,0,6,10,1,3,10,0,8,1,0,1,3,3,0,0,3,0,0
"Ant0",0,0,0,0,6,3,12,0,0,0,1,0,1,0,1,16,0,1,2,0,0,0,1,7,2,0,2,4,2,0,2,1,12,2,4,0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,2,3
