"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant91",10,1,9,2,3,4,0,8,8,14,3,10,18,0,7,4,3,2,4,4,0,1,9,6,5,8,5,6,0,27,0,0,0,5,5,0,1,2,11,0,2,9
"Ant97",19,18,23,3,13,6,2,5,2,3,6,1,3,3,9,15,3,18,1,1,1,0,6,0,10,2,18,11,0,4,0,4,0,7,9,0,0,3,1,9,13,8
"Ant109",0,0,0,0,10,8,5,5,0,4,5,0,0,7,0,0,0,5,5,0,9,6,0,0,0,0,6,1,0,0,0,4,0,17,2,0,0,7,0,5,26,14
"Ant113",24,2,8,3,3,2,1,1,13,5,15,12,2,0,0,6,16,9,5,13,6,0,0,0,12,6,8,2,0,44,0,1,0,4,4,15,0,1,19,2,1,2
"Ant124",10,4,4,3,0,44,2,12,3,9,4,3,3,1,3,6,3,10,4,8,5,10,0,12,0,5,22,0,0,7,0,8,0,27,4,0,0,2,7,4,2,8
"Ant131",4,7,2,0,3,6,4,2,2,2,2,4,0,9,2,5,0,15,1,4,8,2,0,6,5,0,2,0,0,6,0,1,0,3,9,0,0,4,4,2,0,5
"Ant137",16,6,3,0,7,16,3,3,17,8,2,8,0,2,1,1,15,7,4,1,5,18,6,8,22,2,0,5,0,5,0,1,0,7,7,0,0,7,6,4,4,11
"Ant140",1,3,2,1,1,1,4,22,0,0,2,0,1,4,1,0,1,2,0,0,6,11,1,2,0,0,5,0,0,3,0,0,0,26,10,0,0,0,1,0,0,9
"Ant149",7,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,6,0,0,21,0,0,1,0,0,0
"Ant159",11,5,27,12,0,0,3,15,9,3,9,13,13,1,2,3,28,6,0,5,27,4,0,44,7,6,5,3,0,0,0,0,0,2,6,1,1,0,47,4,0,6
"Ant169",10,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,0,0,24,0,0,1,0,0,0
"Ant190",1,1,0,0,6,8,0,6,1,3,0,10,6,0,1,0,0,0,2,0,0,4,4,1,8,1,1,0,0,0,0,0,0,0,9,6,0,3,2,7,4,1
"Ant195",8,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,56,0,0,3,0,0,0
"Ant232",10,2,7,0,4,5,1,4,7,3,6,0,4,0,6,0,2,14,1,3,5,7,17,4,27,3,7,26,0,2,0,0,0,0,12,0,1,0,28,5,0,118
"Ant263",9,2,4,2,7,1,3,1,4,2,1,5,0,3,1,16,2,18,2,3,5,9,2,4,4,9,7,10,0,6,0,9,0,12,0,0,0,1,4,9,2,11
"Ant332",29,0,0,7,1,0,0,0,23,0,0,0,10,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,21,1,24,6,56,0,0,0,0,0,6,2,0,1
"Ant380",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Ant458",1,1,4,0,1,4,0,0,1,2,0,4,0,2,2,0,0,10,3,0,2,3,7,1,2,4,7,0,0,0,0,3,0,0,1,0,0,0,0,1,4,22
"Ant492",11,0,17,6,0,2,2,3,16,7,7,2,12,0,0,2,5,5,4,18,11,1,0,19,7,4,6,1,1,47,1,2,3,28,4,6,0,0,0,0,0,14
"Ant507",6,0,4,0,0,5,6,2,0,2,0,3,7,2,0,6,0,15,7,0,0,9,5,2,4,2,4,0,0,4,0,7,0,5,9,2,0,1,0,0,35,3
"Ant530",0,5,2,0,19,1,27,42,0,5,6,0,0,22,4,1,0,2,40,0,2,13,26,1,2,0,4,0,0,0,0,4,0,0,2,0,0,4,0,35,0,8
"Ant593",3,11,16,0,12,14,1,2,1,4,17,5,5,2,1,2,0,12,51,0,9,8,14,2,8,5,11,9,0,6,0,1,0,118,11,1,0,22,14,3,8,0
