"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant268",6,3,3,0,0,1,1,4,4,0,0,14,8,0,1,4,13,2,3,3,6,0,0,6,6,0,8,0,6,16,0,0,0,2,0,7,0,0,5,2,0,5
"Ant308",2,2,9,0,0,2,1,5,2,4,14,0,8,4,0,0,1,19,5,2,5,0,0,6,5,2,3,1,1,4,0,4,0,1,1,10,0,3,3,0,2,0
"Ant311",4,2,10,0,0,0,7,1,0,22,8,8,0,0,0,7,9,1,5,0,16,0,0,4,1,7,5,0,3,7,0,0,0,2,0,22,2,6,14,2,3,11
"Ant620",0,3,0,0,7,22,8,0,0,0,0,4,0,0,1,5,0,2,3,1,0,12,0,0,1,0,1,5,0,0,0,4,0,0,6,0,0,2,0,0,9,0
"Ant0",0,0,2,0,0,2,7,1,0,0,1,0,0,1,0,1,0,2,3,1,0,8,0,1,2,1,5,0,0,7,0,1,0,0,9,1,0,0,1,0,5,2
"Ant13",1,2,0,0,5,3,1,0,0,2,4,0,7,5,1,0,1,0,12,1,6,5,0,3,4,1,4,0,0,8,0,6,0,3,1,0,0,1,6,3,0,0
"Ant23",23,2,7,32,2,1,7,2,20,0,13,1,9,0,0,1,0,1,11,26,2,20,0,28,8,0,15,0,8,18,14,0,17,5,6,14,0,7,10,7,1,2
"Ant27",2,28,7,0,0,20,2,3,0,6,2,19,1,2,2,0,1,0,4,2,14,12,1,17,14,4,3,4,3,3,0,0,0,9,10,3,0,4,4,10,2,8
"Ant29",1,1,0,1,3,5,22,1,0,2,3,5,5,3,3,12,11,4,0,2,3,8,0,5,4,1,22,10,1,15,0,11,0,1,3,13,0,0,1,12,8,35
"Ant55",25,2,8,3,0,1,0,3,3,2,3,2,0,1,1,1,26,2,2,0,10,1,0,21,6,0,5,0,26,48,0,1,8,0,0,8,0,2,35,8,0,8
"Ant91",1,6,11,0,1,2,3,6,6,3,6,5,16,0,0,6,2,14,3,10,0,4,0,15,20,1,16,0,7,23,0,6,0,2,0,1,0,0,17,1,0,7
"Ant97",11,1,0,0,1,12,2,0,0,2,0,0,0,12,8,5,20,12,8,1,4,0,0,2,2,0,8,9,0,11,0,3,0,1,38,3,0,0,6,0,9,0
"Ant109",0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
"Ant113",10,2,12,12,5,0,3,0,20,5,6,6,4,0,1,3,28,17,5,21,15,2,0,0,7,0,23,1,3,17,1,0,0,3,0,21,0,0,17,2,0,2
"Ant124",4,2,5,0,0,3,1,3,3,4,6,5,1,1,2,4,8,14,4,6,20,2,1,7,0,1,7,6,3,4,0,5,0,6,0,9,0,3,18,2,2,8
"Ant131",0,11,9,0,1,28,0,10,0,1,0,2,7,0,1,1,0,4,1,0,1,0,31,0,1,0,1,5,0,0,0,2,0,8,0,2,0,10,0,1,1,13
"Ant137",5,5,6,1,6,2,13,0,0,2,8,3,5,1,5,4,15,3,22,5,16,8,0,23,7,1,0,2,8,10,0,0,0,2,0,1,2,1,13,1,7,11
"Ant140",0,0,0,0,0,0,7,5,0,0,0,1,0,5,0,0,0,4,10,0,0,9,0,1,6,5,2,0,0,1,0,12,0,0,14,0,0,0,0,0,0,2
"Ant149",12,1,74,10,0,1,0,0,18,1,6,1,3,0,0,0,8,3,1,26,7,0,0,3,3,0,8,0,0,8,25,0,7,12,0,10,0,2,15,2,0,5
"Ant159",17,0,13,0,4,2,3,5,1,1,16,4,7,0,7,8,18,3,15,48,23,11,0,17,4,0,10,1,8,0,0,1,0,3,1,12,0,0,17,3,1,3
"Ant169",40,0,0,23,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,12,0,0,0,0,0,0,0,0,0
"Ant190",1,1,5,0,0,0,0,0,0,0,0,4,0,4,1,6,0,0,11,1,6,3,0,0,5,2,0,12,0,1,0,0,0,0,0,0,0,0,1,3,0,0
"Ant195",22,0,0,33,0,0,0,0,34,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0
"Ant232",5,9,8,0,0,1,1,1,2,12,2,1,2,0,0,3,5,9,1,0,2,1,0,3,6,8,2,0,12,3,0,0,0,0,0,5,0,1,13,2,2,74
"Ant263",1,0,3,0,2,0,3,0,0,0,0,1,0,6,9,1,6,10,3,0,0,38,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,4,0,0,27,2
"Ant332",22,2,8,0,0,0,1,2,1,4,7,10,22,0,1,0,14,3,13,8,1,3,0,21,9,2,1,0,10,12,0,0,0,5,0,0,2,2,20,4,2,21
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Ant458",1,0,4,0,0,1,1,0,0,1,0,3,6,2,0,1,7,4,0,2,0,0,0,0,3,10,1,0,2,0,0,0,0,1,4,2,0,0,8,0,3,4
"Ant492",2,1,28,0,0,3,13,0,2,0,5,3,14,0,1,6,10,4,1,35,17,6,0,17,18,0,13,0,15,17,0,1,0,13,0,20,0,8,0,5,1,4
"Ant507",4,10,0,0,0,2,1,0,0,1,2,0,2,0,0,3,7,10,12,8,1,0,0,2,2,1,1,0,2,3,0,3,0,2,0,4,0,0,5,0,0,10
"Ant530",0,8,3,0,4,30,9,4,0,3,0,2,3,9,5,0,1,2,8,0,0,9,5,0,2,1,7,0,0,1,0,0,0,2,27,2,0,3,1,0,0,4
"Ant593",0,4,14,0,4,8,7,3,0,1,5,0,11,0,2,0,2,8,35,8,7,0,0,2,8,13,11,2,5,3,0,0,0,74,2,21,0,4,4,10,4,0
