"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant140",4,0,0,5,11,1,6,0,0,0,0,0,0,0,0,23,2,5,7,0,0,0,2,0,0,0,4,1,1,3,1,0,4,0,0,1,0,1,0,0,12,0,0,0,0,0,0,1,0,0,0,11,0,0,4,2,0
"Ant149",44,1,0,57,0,1,3,5,19,26,0,0,32,13,3,3,0,3,0,1,6,30,1,3,9,11,0,0,0,0,11,1,0,5,1,0,3,9,1,75,0,0,38,2,1,10,33,0,1,2,5,0,8,18,0,0,0
"Ant159",18,4,16,19,2,11,4,1,0,5,13,3,34,9,8,0,18,16,0,1,6,7,5,23,24,5,5,7,3,2,15,9,5,12,0,3,0,3,2,6,7,2,9,5,8,1,2,1,0,3,1,4,29,0,1,16,8
"Ant169",17,0,0,33,0,9,0,0,13,10,0,0,19,9,1,2,2,0,0,0,5,8,0,0,11,0,1,0,0,1,3,2,0,1,1,9,3,0,1,8,0,0,9,0,0,17,25,0,0,0,0,0,2,1,0,0,0
"Ant190",2,2,1,1,5,2,1,1,2,0,15,0,0,2,3,1,2,1,1,0,3,0,2,2,9,0,3,1,2,5,1,0,1,3,0,1,2,1,0,0,0,6,0,3,5,0,3,0,0,0,0,0,3,0,0,9,1
"Ant195",52,0,0,64,0,0,0,0,39,1,0,0,16,9,0,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,75,6,8,0,0,0,0,42,0,0,12,25,0,0,0,0,0,6,51,0,0,0
"Ant232",0,0,0,3,2,2,45,7,0,0,0,25,2,0,1,0,1,2,7,0,0,0,13,7,0,10,2,0,1,14,0,0,4,1,12,0,7,0,0,0,0,13,0,2,3,2,1,2,0,0,3,8,1,0,5,6,29
"Ant242",0,1,2,2,12,2,2,14,0,0,11,9,0,0,2,1,3,9,9,0,1,7,1,6,4,1,0,0,6,6,0,4,7,5,0,0,2,0,6,0,13,0,0,11,12,0,0,1,0,2,26,12,3,0,13,25,11
"Ant257",37,0,0,55,0,3,0,0,10,3,0,0,15,5,1,0,0,3,0,0,3,23,0,3,2,4,0,0,0,0,8,0,1,0,0,38,9,9,0,42,0,0,0,0,0,7,8,0,0,0,2,0,6,13,0,0,0
"Ant263",0,7,0,3,1,5,7,5,2,4,4,3,4,0,7,23,0,0,6,0,0,0,2,3,0,0,10,12,8,2,4,0,4,5,0,2,5,0,3,0,2,11,0,0,2,0,3,1,0,3,49,0,0,0,0,10,3
"Ant289",2,3,11,6,0,1,2,7,0,2,17,1,10,2,0,0,14,2,10,0,0,0,5,0,7,5,9,0,7,6,8,6,14,14,0,1,8,0,5,0,3,12,0,2,0,8,2,3,0,3,0,1,8,0,0,2,2
"Ant332",34,0,13,22,0,0,2,0,7,6,1,0,28,4,0,1,3,1,1,0,0,11,1,1,12,13,6,4,0,0,7,0,0,0,0,10,1,17,0,12,2,0,7,0,8,0,22,0,0,0,1,0,5,12,0,0,4
"Ant353",19,1,1,51,0,14,3,9,10,4,3,1,18,22,2,3,0,2,0,0,5,35,2,4,1,25,12,5,5,0,15,3,1,16,0,33,2,25,3,25,1,0,8,3,2,22,0,0,0,2,5,0,25,14,0,6,5
"Ant356",0,1,0,1,28,2,1,2,0,0,0,6,2,0,0,2,3,3,12,0,1,1,2,20,1,0,3,14,8,6,1,1,1,2,1,0,1,0,0,0,2,1,0,1,3,0,0,0,0,1,6,1,0,0,0,2,0
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant387",2,1,0,2,3,7,3,4,1,1,0,1,5,8,1,0,9,9,0,0,3,3,5,1,3,1,17,0,1,13,1,2,0,7,0,2,3,0,0,0,0,2,0,3,3,0,2,1,0,0,12,0,4,0,0,7,2
"Ant395",3,8,0,2,1,0,12,4,0,1,12,11,0,1,9,0,4,0,21,0,0,0,0,7,0,0,0,4,7,5,0,9,7,5,0,5,1,0,0,0,3,26,2,49,0,1,5,6,0,12,0,0,0,0,5,12,1
"Ant458",2,6,3,1,3,0,9,6,0,0,3,2,2,2,6,0,1,0,0,0,2,0,4,1,3,2,4,4,0,3,1,1,3,1,11,0,4,0,0,0,8,12,0,0,1,0,0,1,0,0,0,0,0,0,2,12,2
"Ant492",16,4,10,12,0,16,1,0,10,15,3,0,26,35,7,2,17,11,1,0,5,17,6,2,41,4,13,1,3,0,8,3,2,4,0,8,29,2,3,6,1,3,6,0,8,5,25,0,0,4,0,0,0,0,0,1,4
"Ant501",12,0,0,29,0,0,0,0,2,0,0,0,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,51,0,0,13,0,0,12,14,0,0,0,0,0,0,0,0,0,0
"Ant507",0,1,0,0,19,0,7,0,0,0,0,33,0,0,2,14,0,2,0,0,1,0,22,0,0,0,0,3,1,6,0,0,9,0,4,0,1,0,0,0,5,13,0,0,0,0,0,0,0,0,5,2,0,0,0,2,1
"Ant530",0,2,3,3,4,1,0,7,0,0,15,1,11,0,8,5,0,3,5,0,0,0,15,9,4,1,0,4,3,8,0,1,1,5,2,0,16,0,9,0,6,25,0,10,2,0,6,2,0,7,12,12,1,0,2,0,8
"Ant593",4,3,0,2,2,5,2,8,0,2,4,4,7,3,8,2,8,5,8,3,2,2,5,6,2,1,1,11,2,3,1,7,0,5,0,0,8,0,1,0,29,11,0,3,2,4,5,0,0,2,1,2,4,0,1,8,0
