"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant137",2,5,5,3,9,4,9,0,2,0,3,5,26,2,8,4,3,11,8,3,2,7,9,4,2,1,6,12,19,6,4,9,9,0,6,1,15,0,5,0,8,8,4,4,6,0,0,0,0,5,18,6,5,0,2,7,4
"Ant140",1,4,0,0,9,0,0,2,0,0,6,0,1,0,1,5,0,0,0,1,4,0,3,3,1,0,13,1,14,0,1,0,3,6,0,3,5,0,4,0,0,7,0,19,2,0,0,0,0,2,3,1,0,0,6,8,6
"Ant149",53,3,14,44,9,5,2,7,40,38,3,1,8,19,0,3,5,10,3,1,9,23,3,8,17,19,7,14,3,6,16,5,12,1,3,0,8,45,5,86,6,1,28,8,0,48,18,1,0,7,1,7,10,33,3,5,7
"Ant159",14,6,27,9,3,6,15,0,2,12,2,8,17,9,4,11,4,3,0,0,0,3,38,18,10,10,12,4,8,3,21,1,3,15,5,8,0,1,0,3,4,0,4,10,9,3,5,1,0,3,1,1,15,0,0,5,9
"Ant169",30,0,0,31,0,0,1,0,35,16,0,0,16,5,0,0,0,0,0,0,3,10,0,0,5,9,0,0,0,0,7,1,1,0,0,45,1,0,0,33,0,0,36,0,0,23,23,0,0,0,0,0,0,15,0,0,0
"Ant190",0,2,0,0,9,0,1,0,0,0,7,1,4,1,1,7,14,0,6,3,5,5,23,18,3,0,6,11,5,0,1,2,5,5,4,5,0,0,0,0,4,23,0,2,1,0,0,0,0,2,3,1,2,0,4,8,2
"Ant195",63,0,0,98,0,0,0,0,87,11,0,0,11,13,0,0,0,0,0,0,0,17,0,0,0,8,0,0,0,0,48,0,0,0,0,86,3,33,0,0,0,0,17,0,0,67,30,0,0,0,0,0,1,23,0,0,0
"Ant232",1,11,1,2,3,1,2,1,0,0,4,2,7,6,3,0,10,7,9,2,4,1,8,5,8,0,4,14,3,4,1,1,9,8,0,6,4,0,4,0,0,1,0,6,16,0,0,0,0,1,0,6,0,0,6,5,17
"Ant242",0,10,1,0,6,0,13,13,0,0,10,6,0,1,4,4,3,2,4,0,1,4,7,1,0,0,4,19,27,19,0,0,6,8,7,1,0,0,23,0,1,0,0,5,3,0,0,5,0,0,16,10,1,0,4,16,24
"Ant257",19,0,1,18,0,13,0,2,25,28,0,0,9,7,1,0,3,1,1,0,9,26,1,0,5,9,3,1,0,0,10,1,0,4,0,28,4,36,0,17,0,0,0,0,0,36,26,0,0,6,1,2,1,3,0,0,2
"Ant263",0,13,2,0,7,4,17,6,0,0,4,1,1,3,4,1,2,6,4,2,1,3,20,4,0,4,12,0,4,1,0,1,6,4,19,8,10,0,2,0,6,5,0,0,7,0,0,1,0,0,3,22,4,0,2,5,12
"Ant289",1,3,28,0,11,5,6,0,2,1,0,5,23,9,14,6,1,12,2,1,4,0,36,13,6,0,13,0,21,10,0,2,8,6,2,0,9,0,1,0,16,3,0,7,0,0,0,2,0,1,16,6,8,0,2,21,25
"Ant332",53,0,0,72,0,0,0,0,36,16,0,0,10,29,0,0,0,0,0,0,0,24,0,0,0,10,0,0,0,0,17,0,0,0,0,48,3,23,0,67,0,0,36,0,0,0,32,0,1,0,0,0,6,50,0,0,0
"Ant353",44,0,0,39,0,4,0,2,23,22,1,0,8,29,1,1,0,7,2,0,14,38,3,0,1,20,0,0,0,0,13,0,0,0,0,18,5,23,0,30,0,0,26,0,0,32,0,0,1,12,0,0,18,3,0,5,0
"Ant356",0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,3,2,6,5,4,0,0,6,0,0,1,1,0,0,0,0,5,0,1,2,0,0,0,0,0,8,3,0,0,0,14,1
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Ant387",8,0,3,4,0,7,4,0,0,1,0,0,3,2,1,1,0,2,1,1,0,9,0,2,2,0,5,3,22,0,2,2,1,5,2,7,3,0,2,0,1,0,6,0,1,0,12,0,0,0,3,6,5,0,0,2,2
"Ant395",1,7,1,2,11,0,11,32,1,0,5,9,2,2,3,0,0,8,1,0,0,5,7,3,0,6,5,13,8,24,0,16,20,18,3,1,1,0,3,0,0,16,1,3,16,0,0,8,0,3,0,10,10,0,1,17,4
"Ant458",1,12,4,0,5,2,0,6,1,0,4,12,8,0,2,2,2,0,7,1,3,4,10,13,0,0,0,4,22,13,0,5,12,6,1,7,1,0,1,0,6,10,2,22,6,0,0,3,0,6,10,0,1,0,2,12,5
"Ant492",14,4,8,4,2,12,2,1,4,15,1,8,36,22,8,6,7,4,0,0,8,15,7,2,20,8,8,21,2,0,8,24,5,5,0,10,15,0,2,1,0,1,1,4,8,6,18,0,0,5,10,1,0,0,2,5,11
"Ant501",9,0,0,4,0,0,0,0,12,8,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,15,0,23,0,0,3,0,0,50,3,0,0,0,0,0,0,0,0,0,0
"Ant507",0,4,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,2,3,0,1,0,10,12,0,0,2,12,6,1,1,2,5,2,6,3,0,0,4,0,6,4,0,2,2,0,0,0,0,0,1,2,2,0,0,3,4
"Ant530",0,4,6,0,14,2,0,13,2,2,12,1,9,5,4,6,16,5,7,6,5,8,10,33,1,1,16,19,12,15,2,21,12,7,8,5,5,0,8,0,5,16,0,5,21,0,5,14,0,2,17,12,5,0,3,0,5
"Ant593",2,15,2,1,7,2,4,1,0,1,13,0,23,5,21,7,4,10,4,4,10,1,21,23,7,4,8,3,9,7,0,8,4,4,6,7,9,0,2,0,17,24,2,12,25,0,0,1,0,2,4,5,11,0,4,5,0
