"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant311",10,7,3,1,6,3,7,5,9,4,23,10,0,1,3,3,13,3,4,4,12,0,0,7,6,0,15,1,16,18,0,4,0,1,1,37,0,6,12,1,5,2
"Ant620",1,0,0,0,6,0,0,4,0,5,0,0,1,0,0,0,0,0,0,0,9,11,19,2,1,7,0,0,0,1,0,7,0,5,2,1,0,2,0,0,0,7
"Ant0",0,0,0,0,1,8,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,31,0,0,4,3,6,0,0,0,0,0,0,0,13,0,0,0,0,0,1
"Ant13",1,3,2,0,0,1,3,3,8,3,1,4,3,0,0,0,1,7,3,4,18,1,0,3,0,15,3,1,17,15,0,1,0,0,3,8,0,2,5,4,6,4
"Ant23",20,3,29,7,0,2,2,1,12,3,3,23,13,0,0,1,0,2,0,21,11,1,0,22,8,0,8,0,33,30,3,1,14,0,0,17,0,1,18,5,3,3
"Ant27",4,0,5,1,9,7,6,6,12,5,2,4,3,0,0,7,2,0,11,4,17,2,3,6,18,6,8,2,9,2,0,5,0,3,7,0,0,5,4,2,16,8
"Ant29",7,13,3,0,40,9,3,12,2,10,5,3,4,0,0,3,0,11,0,1,17,0,5,11,5,2,0,0,16,5,0,0,0,60,5,6,0,46,13,0,1,2
"Ant55",33,0,33,7,0,1,2,0,10,2,15,3,4,0,0,4,21,4,1,0,3,0,0,48,3,0,0,0,45,28,0,2,0,0,2,2,0,0,20,0,0,4
"Ant91",6,0,13,0,9,5,1,5,2,0,3,6,12,9,0,18,11,17,17,3,0,1,1,1,9,10,10,2,23,6,0,0,0,5,9,5,0,11,7,3,5,18
"Ant97",1,7,3,1,32,4,1,19,1,14,0,16,0,11,0,1,1,2,0,0,1,0,5,0,1,6,5,2,1,0,0,11,0,8,2,0,0,26,2,0,30,28
"Ant109",0,1,0,0,7,0,2,4,0,0,1,0,0,19,31,0,0,3,5,0,1,5,0,0,0,0,1,6,0,0,0,0,0,1,12,0,0,0,0,0,0,2
"Ant113",24,0,18,1,1,4,2,10,12,4,7,13,7,2,0,3,22,6,11,48,1,0,0,0,18,0,12,0,40,42,0,1,0,0,6,27,0,5,18,0,3,4
"Ant124",10,0,7,0,6,10,5,5,3,1,6,1,6,1,0,0,8,18,5,3,9,1,0,18,0,7,12,0,21,26,0,1,0,16,7,1,0,2,9,1,1,1
"Ant131",1,1,0,0,4,4,5,2,1,0,0,1,0,7,4,15,0,6,2,0,10,6,0,0,7,0,2,1,6,0,0,27,0,2,0,1,0,9,6,3,6,8
"Ant137",11,1,7,0,2,21,5,7,1,0,8,10,15,0,3,3,8,8,0,0,10,5,1,12,12,2,0,0,13,4,0,7,0,3,2,29,0,2,12,0,26,2
"Ant140",0,0,0,0,9,4,2,11,0,0,0,1,1,0,6,1,0,2,0,0,2,2,6,0,0,1,0,0,2,2,0,0,0,0,1,5,0,0,0,1,1,4
"Ant149",37,3,83,46,4,6,2,0,10,13,38,18,16,0,0,17,33,9,16,45,23,1,0,40,21,6,13,2,0,45,20,9,24,12,0,72,0,3,22,1,0,13
"Ant159",34,1,15,4,1,1,1,3,25,2,14,18,18,1,0,15,30,2,5,28,6,0,0,42,26,0,4,2,45,0,0,1,0,5,3,5,0,2,44,4,0,3
"Ant169",8,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0
"Ant190",3,0,10,1,26,13,7,23,0,3,9,5,4,7,0,1,1,5,0,2,0,11,0,1,1,27,7,0,9,1,0,0,0,2,3,5,0,0,1,0,1,11
"Ant195",24,0,0,29,0,0,0,0,31,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,24,0,20,0,0,0,0,0,0,0,3,0,0,0
"Ant232",5,0,10,1,17,4,4,6,6,1,3,4,1,5,0,0,0,3,60,0,5,8,1,0,16,2,3,0,12,5,0,2,0,0,2,4,0,5,14,6,4,42
"Ant263",2,7,1,0,12,4,11,11,0,0,0,2,1,2,0,3,0,7,5,2,9,2,12,6,7,0,2,1,0,3,0,3,0,2,0,1,0,1,3,10,11,4
"Ant332",14,1,6,4,0,14,0,0,4,8,4,6,37,1,13,8,17,0,6,2,5,0,0,27,1,1,29,5,72,5,0,5,0,4,1,0,0,0,8,0,7,1
"Ant380",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant458",1,4,0,1,0,2,1,2,0,8,1,0,6,2,0,2,1,5,46,0,11,26,0,5,2,9,2,0,3,2,0,0,0,5,1,0,0,0,2,2,2,4
"Ant492",22,3,19,2,0,5,0,1,11,3,10,10,12,0,0,5,18,4,13,20,7,2,0,18,9,6,12,0,22,44,0,1,3,14,3,8,0,2,0,1,2,5
"Ant507",3,2,0,2,0,1,0,3,0,0,0,6,1,0,0,4,5,2,0,0,3,0,0,0,1,3,0,1,1,4,0,0,0,6,10,0,0,2,1,0,0,4
"Ant530",1,3,1,0,11,4,1,4,0,3,0,2,5,0,0,6,3,16,1,0,5,30,0,3,1,6,26,1,0,0,0,1,0,4,11,7,0,2,2,0,0,2
"Ant593",2,0,15,0,0,4,1,1,3,0,4,13,2,7,1,4,3,8,2,4,18,28,2,4,1,8,2,4,13,3,0,11,0,42,4,1,0,4,5,4,2,0
