"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant268",1,1,8,5,0,1,0,2,1,0,0,2,0,1,0,0,4,7,0,9,4,1,0,18,9,0,3,0,12,7,0,0,0,1,0,5,0,3,8,0,4,1
"Ant308",1,8,9,0,0,2,0,0,12,0,2,0,10,0,0,6,0,8,1,0,7,6,0,6,2,0,14,3,27,5,0,0,0,1,0,7,4,2,5,0,5,1
"Ant311",0,0,4,0,6,0,3,2,1,0,0,10,0,4,0,0,2,2,18,2,13,2,4,23,5,11,20,0,10,11,2,0,0,2,2,12,0,1,13,0,8,17
"Ant620",0,2,2,0,7,0,9,4,0,0,1,0,4,0,0,2,1,5,58,0,0,0,5,2,2,9,5,1,3,0,1,1,0,1,18,8,0,5,2,0,2,3
"Ant0",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ant13",0,6,8,0,1,3,0,2,2,0,0,6,0,2,0,0,1,3,2,5,4,0,2,4,0,3,2,0,5,2,0,15,0,0,0,6,0,9,2,0,2,3
"Ant23",35,0,14,24,0,0,0,1,33,0,4,0,2,1,0,1,0,4,3,13,2,0,0,28,3,0,5,0,30,18,10,0,10,2,0,17,0,0,16,0,0,1
"Ant27",0,11,6,0,1,16,2,13,10,14,7,8,2,5,8,3,4,0,14,0,0,15,3,6,10,5,4,0,11,1,0,2,0,18,1,5,0,0,4,19,3,14
"Ant29",3,40,18,2,0,0,0,4,0,1,0,1,18,58,0,2,3,14,0,4,5,1,8,1,16,2,3,0,5,13,1,4,0,0,0,9,0,0,3,0,8,3
"Ant55",11,1,5,11,0,0,0,0,10,20,9,0,2,0,0,5,13,0,4,0,2,6,0,28,0,2,1,1,51,8,2,0,5,2,0,22,0,7,12,0,3,7
"Ant91",1,0,8,3,1,0,0,0,8,0,4,7,13,0,0,4,2,0,5,2,0,4,2,7,14,1,2,0,12,11,3,3,0,1,0,4,0,5,31,0,18,13
"Ant97",0,13,0,0,4,30,0,0,0,0,1,6,2,0,0,0,0,15,1,6,4,0,0,8,0,7,15,32,4,1,0,34,0,2,5,4,0,4,2,0,13,0
"Ant109",0,2,2,0,0,0,2,0,1,5,0,0,4,5,0,2,0,3,8,0,2,0,0,0,0,1,0,0,4,0,0,1,0,2,0,3,0,1,1,2,12,1
"Ant113",8,1,15,10,0,1,1,0,25,2,18,6,23,2,0,4,28,6,1,28,7,8,0,0,11,0,11,0,41,20,8,1,24,12,0,54,0,4,17,1,6,11
"Ant124",3,0,24,2,0,1,0,0,1,0,9,2,5,2,0,0,3,10,16,0,14,0,0,11,0,3,19,0,15,10,2,0,0,8,0,12,0,1,8,0,1,11
"Ant131",2,9,2,0,0,5,1,1,0,1,0,0,11,9,24,3,0,5,2,2,1,7,1,0,3,0,2,0,2,3,1,2,0,8,1,2,0,0,1,2,10,1
"Ant137",2,7,7,0,13,8,7,1,2,2,3,14,20,5,0,2,5,4,3,1,2,15,0,11,19,2,0,7,1,8,0,0,0,22,1,33,0,2,11,0,10,3
"Ant140",0,5,0,0,0,12,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,32,0,0,0,0,7,0,0,0,0,3,0,0,65,7,0,1,7,0,0,0
"Ant149",16,5,62,3,0,1,4,0,44,3,12,27,10,3,0,5,30,11,5,51,12,4,4,41,15,2,1,0,0,36,6,1,0,15,0,33,0,1,35,0,2,11
"Ant159",10,2,4,40,0,1,1,3,19,7,7,5,11,0,0,2,18,1,13,8,11,1,0,20,10,3,8,0,36,0,2,0,7,5,1,30,1,2,11,0,1,12
"Ant169",62,1,1,12,0,0,0,0,23,0,0,0,2,1,0,0,10,0,1,2,3,0,0,8,2,1,0,0,6,2,0,0,7,0,1,12,0,0,6,0,0,0
"Ant190",0,12,4,0,0,0,0,1,0,0,0,0,0,1,0,15,0,2,4,0,3,34,1,1,0,2,0,3,1,0,0,0,0,0,0,2,0,0,2,0,6,4
"Ant195",21,0,0,70,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,5,0,0,0,24,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
"Ant232",0,17,4,6,5,6,1,0,14,9,1,1,2,1,0,0,2,18,0,2,1,2,2,12,8,8,22,0,15,5,0,0,0,0,0,9,0,0,12,0,0,5
"Ant263",2,1,0,0,18,4,5,0,0,0,0,0,2,18,0,0,0,1,0,0,0,5,0,0,0,1,1,65,0,1,1,0,0,0,0,1,0,0,0,0,5,4
"Ant332",2,1,5,3,0,1,2,0,14,7,5,7,12,8,0,6,17,5,9,22,4,4,3,54,12,2,33,7,33,30,12,2,0,9,1,0,0,3,45,0,1,5
"Ant380",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ant458",0,0,8,0,4,0,1,1,3,3,3,2,1,5,0,9,0,0,0,7,5,4,1,4,1,0,2,1,1,2,0,0,0,0,0,3,0,0,1,0,3,8
"Ant492",10,6,20,4,0,1,0,0,18,3,8,5,13,2,0,2,16,4,3,12,31,2,1,17,8,1,11,7,35,11,6,2,0,12,0,45,0,1,0,0,1,4
"Ant507",0,0,0,0,1,0,1,59,0,0,0,0,0,0,1,0,0,19,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant530",2,17,1,0,8,4,16,1,0,5,4,5,8,2,0,2,0,3,8,3,18,13,12,6,1,10,10,0,2,1,0,6,0,0,5,1,0,3,1,0,0,13
"Ant593",1,1,7,0,2,0,5,4,1,1,1,1,17,3,0,3,1,14,3,7,13,0,1,11,11,1,3,0,11,12,0,4,0,5,4,5,0,8,4,0,13,0
