"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant27",2,7,2,2,6,11,3,5,11,4,6,12,0,5,0,3,2,0,2,4,13,9,11,1,8,6,7,0,0,15,0,1,0,19,33,5,0,6,4,0,2,3
"Ant29",0,3,6,1,7,1,1,8,0,0,2,0,0,3,0,0,0,2,0,0,0,11,2,1,19,14,5,0,0,0,0,1,0,5,1,25,0,2,1,0,3,8
"Ant55",43,1,0,3,0,8,0,0,12,8,0,7,5,0,5,9,24,4,0,0,2,0,0,50,1,0,2,0,1,10,0,0,4,2,0,8,0,0,38,0,1,8
"Ant91",13,1,4,7,14,5,13,4,13,3,10,15,12,14,0,5,5,13,0,2,0,8,7,4,13,1,9,0,1,27,0,0,0,14,5,11,1,6,11,2,8,5
"Ant97",14,9,5,16,21,17,16,3,7,1,10,0,2,1,13,0,3,9,11,0,8,0,4,10,5,6,6,6,0,12,0,0,0,15,0,13,0,12,11,1,30,1
"Ant109",3,1,4,0,16,1,24,4,0,0,0,2,3,14,3,0,0,11,2,0,7,4,0,0,1,1,3,4,0,0,0,2,0,8,0,0,0,4,2,2,8,7
"Ant113",40,1,18,11,6,2,2,0,26,9,12,14,13,0,3,8,19,1,1,50,4,10,0,0,15,2,8,3,1,28,0,1,0,3,0,35,0,0,27,0,0,5
"Ant124",3,3,10,3,2,3,1,0,4,3,15,2,3,10,5,1,8,8,19,1,13,5,1,15,0,5,0,8,0,16,0,0,0,34,6,15,1,1,11,2,2,5
"Ant131",12,0,2,0,4,29,0,11,0,3,2,8,13,21,22,1,3,6,14,0,1,6,1,2,5,0,5,3,0,1,0,0,0,4,2,24,0,0,4,12,1,5
"Ant137",6,0,12,1,0,1,2,8,10,4,0,4,13,1,0,2,1,7,5,2,9,6,3,8,0,5,0,5,0,5,0,0,0,3,2,7,0,3,1,4,2,1
"Ant140",4,1,10,0,7,7,5,4,0,0,0,1,5,26,3,2,0,0,0,0,0,6,4,3,8,3,5,0,4,0,0,26,0,8,0,6,0,0,1,1,0,3
"Ant149",16,2,10,11,1,0,0,0,16,20,7,27,1,0,0,9,4,0,0,1,1,0,0,1,0,0,0,4,0,2,8,0,14,0,0,0,0,0,2,9,1,0
"Ant159",34,7,8,3,5,1,4,2,23,1,4,2,12,4,1,4,5,15,0,10,27,12,0,28,16,1,5,0,2,0,0,0,0,13,2,27,0,1,15,2,3,6
"Ant169",4,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,1,0,0,0
"Ant190",0,0,1,0,1,3,0,0,1,0,0,0,0,6,0,0,0,1,1,0,0,0,2,1,0,0,0,26,0,0,0,0,0,11,15,2,0,2,0,0,4,6
"Ant195",18,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0
"Ant232",2,8,7,3,18,15,1,1,19,4,3,0,2,9,1,0,5,19,5,2,14,15,8,3,34,4,3,8,0,13,0,11,0,0,5,17,0,7,9,1,3,44
"Ant263",2,9,2,0,5,5,0,0,0,1,0,3,1,0,0,3,0,33,1,0,5,0,0,0,6,2,2,0,0,2,0,15,0,5,0,0,0,1,1,0,7,1
"Ant332",44,1,5,5,2,24,10,11,17,9,7,6,19,12,3,8,2,5,25,8,11,13,0,35,15,24,7,6,0,27,0,2,0,17,0,0,0,9,19,37,1,14
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ant458",0,1,2,3,8,1,7,2,5,0,0,1,1,0,0,5,1,6,2,0,6,12,4,0,1,0,3,0,0,1,0,2,0,7,1,9,0,0,0,1,9,3
"Ant492",31,8,10,8,1,25,0,1,16,2,14,7,4,1,1,5,11,4,1,38,11,11,2,27,11,4,1,1,2,15,1,0,0,9,1,19,1,0,0,1,0,12
"Ant507",0,0,0,1,4,8,0,5,1,0,0,0,0,8,3,0,1,0,0,0,2,1,2,0,2,12,4,1,9,2,0,0,0,1,0,37,0,1,1,0,4,9
"Ant530",0,9,1,2,12,2,7,5,0,0,3,1,13,1,20,0,0,2,3,1,8,30,8,0,2,1,2,0,1,3,0,4,0,3,7,1,0,9,0,4,0,5
"Ant593",3,17,22,0,2,7,4,9,7,6,1,0,8,4,6,6,1,3,8,8,5,1,7,5,5,5,1,3,0,6,0,6,0,44,1,14,0,3,12,9,5,0
