"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant42",5,3,6,12,0,5,1,2,1,10,1,2,23,6,8,3,4,6,3,0,6,18,8,1,0,14,3,1,0,1,31,5,1,5,3,1,14,7,0,0,4,0,8,0,9,0,14,0,4,0,0,0,19,0,1,0,2
"Ant55",46,0,0,19,0,4,1,0,10,3,1,0,12,8,1,1,0,20,0,0,1,33,0,0,14,0,0,2,0,0,19,3,0,0,0,3,2,13,0,12,2,0,17,0,1,13,14,0,2,2,0,0,11,0,0,1,7
"Ant91",3,4,4,10,0,4,8,7,0,0,21,5,11,2,9,9,5,4,19,1,14,15,11,3,3,0,0,26,1,3,4,25,18,11,14,0,19,3,9,0,49,0,0,6,8,0,0,1,0,14,3,0,10,0,1,3,1
"Ant97",16,8,5,3,11,1,12,4,7,0,10,6,14,3,9,27,0,3,15,2,2,1,33,13,1,2,26,0,1,12,9,5,2,9,4,3,10,0,3,0,30,49,0,6,1,0,0,36,2,0,11,5,8,0,1,35,3
"Ant98",8,7,1,4,17,0,7,5,2,0,2,3,11,0,2,0,0,4,6,4,1,3,21,11,0,0,1,1,0,9,3,4,2,4,21,0,12,1,4,0,14,0,0,3,1,0,4,2,0,0,37,0,3,0,15,1,5
"Ant109",4,3,2,0,10,2,11,17,0,0,22,9,3,0,1,0,0,1,5,0,8,2,5,22,1,0,3,12,9,0,2,8,0,0,8,0,2,0,0,0,4,14,0,3,6,0,0,2,0,1,0,22,0,0,5,0,13
"Ant113",16,0,11,16,1,5,3,0,8,7,0,0,45,28,5,1,10,8,0,0,1,15,6,1,31,19,4,9,3,2,0,12,0,1,1,12,8,3,1,1,3,0,6,0,6,0,22,5,0,4,0,1,20,0,0,0,6
"Ant124",2,3,1,4,9,4,7,1,1,5,4,0,21,13,5,12,10,8,1,8,9,4,10,3,5,3,25,5,4,8,12,0,6,5,6,0,12,2,4,0,23,0,2,18,8,0,5,1,0,9,10,6,8,0,1,7,7
"Ant131",2,8,1,1,2,1,0,2,2,0,3,0,1,0,4,1,3,0,3,0,6,1,0,1,1,0,18,2,2,0,0,6,0,2,2,0,5,0,17,0,4,0,0,1,1,0,0,6,0,2,7,0,1,0,0,0,0
"Ant137",1,4,3,2,2,0,3,3,1,0,19,7,4,2,0,6,1,2,1,2,3,2,4,5,5,0,11,9,4,0,1,5,2,0,7,1,7,0,1,0,22,4,0,17,1,0,0,3,0,0,2,1,6,0,3,9,0
"Ant140",2,0,0,0,9,0,2,1,3,0,11,1,0,2,3,0,0,0,5,7,2,2,21,0,3,0,14,4,21,8,1,6,2,7,0,1,7,0,0,0,8,0,0,8,3,0,0,3,0,0,4,16,1,0,13,3,9
"Ant149",11,1,0,33,0,2,3,0,21,40,0,0,8,9,3,0,0,0,0,0,2,17,1,0,1,3,0,3,0,0,12,0,0,1,1,0,8,9,0,10,2,0,11,0,2,41,10,0,0,0,0,0,7,5,0,1,0
"Ant159",19,1,5,9,1,6,10,4,1,9,5,0,31,5,3,13,5,17,6,4,1,9,5,15,14,2,19,10,12,2,8,12,5,7,7,8,0,2,1,0,16,0,13,2,4,0,4,0,0,21,17,0,21,0,4,4,4
"Ant169",26,0,13,14,0,4,0,0,28,47,0,0,9,10,1,3,2,1,0,0,0,16,0,1,7,13,3,0,1,0,3,2,0,0,0,9,2,0,0,12,4,0,7,1,0,28,29,0,0,0,0,0,4,4,0,0,0
"Ant190",3,0,0,1,1,0,4,6,0,0,10,0,1,0,2,2,0,1,13,3,0,2,24,5,0,0,9,3,4,0,1,4,17,1,0,0,1,0,0,0,9,11,0,0,4,0,0,0,0,0,20,9,0,0,0,12,7
"Ant195",73,0,0,73,0,0,0,0,39,37,0,0,4,5,0,0,0,0,0,0,0,19,0,0,0,12,0,0,0,0,1,0,0,0,0,10,0,12,0,0,0,0,49,0,0,44,41,0,0,0,0,0,0,15,0,0,0
"Ant232",16,6,4,3,2,4,6,11,1,0,9,0,9,0,2,17,2,0,5,18,1,4,13,6,4,2,49,30,14,4,3,23,4,22,8,2,16,4,9,0,0,7,1,2,1,0,3,1,1,1,7,10,8,0,3,13,10
"Ant242",0,3,4,0,0,1,11,4,0,0,21,3,1,0,3,0,0,0,2,1,3,0,18,24,0,0,0,49,0,14,0,0,0,4,0,0,0,0,11,0,7,0,0,7,4,0,0,4,0,0,0,9,0,0,8,11,4
"Ant257",33,0,0,40,0,1,1,0,23,23,0,0,7,14,0,3,1,5,0,1,1,16,2,0,8,17,0,0,0,0,6,2,0,0,0,11,13,7,0,49,1,0,0,1,0,29,66,0,0,6,3,0,4,3,0,0,0
"Ant263",1,6,1,1,4,0,0,11,0,0,8,9,6,0,1,2,0,1,0,1,0,0,17,5,0,0,6,6,3,3,0,18,1,17,8,0,2,1,0,0,2,7,1,0,2,0,0,0,0,1,4,10,11,0,34,5,2
"Ant289",3,3,13,7,1,4,2,1,1,0,9,0,14,1,3,4,15,3,5,0,2,2,11,15,9,1,8,1,1,6,6,8,1,1,3,2,4,0,4,0,1,4,0,2,0,0,0,1,0,1,1,3,9,0,1,3,3
"Ant332",56,0,0,38,0,0,0,0,25,3,0,0,3,1,0,0,0,0,0,0,0,35,0,0,0,13,0,0,0,0,0,0,0,0,0,41,0,28,0,44,0,0,29,0,0,0,38,0,0,0,0,0,0,25,0,0,0
"Ant353",67,4,5,39,3,2,3,0,23,33,0,0,16,16,3,3,3,1,0,3,0,21,0,3,14,14,0,0,4,0,22,5,0,0,0,10,4,29,0,41,3,0,66,0,0,38,0,0,0,1,1,0,9,10,1,0,0
"Ant356",2,0,0,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,6,1,0,0,7,0,0,0,1,36,2,2,5,1,6,3,3,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,6,5
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant387",3,4,2,1,1,2,0,0,0,2,0,0,7,3,0,6,2,11,0,3,1,3,1,0,0,2,14,0,0,1,4,9,2,0,0,0,21,0,0,0,1,0,6,1,1,0,1,0,0,0,0,0,3,0,2,0,0
"Ant395",1,20,0,0,22,1,7,1,4,0,10,0,0,0,0,8,0,1,4,10,0,3,62,9,0,0,3,11,37,0,0,10,7,2,4,0,17,0,20,0,7,0,3,4,1,0,1,0,0,0,0,1,0,0,13,0,0
"Ant458",0,1,2,0,9,1,7,3,1,0,7,0,2,0,0,1,7,2,4,1,4,0,21,5,0,0,0,5,0,22,1,6,0,1,16,0,0,0,9,0,10,9,0,10,3,0,0,1,0,0,1,0,5,0,7,10,2
"Ant492",8,1,15,8,0,17,6,2,2,16,3,0,31,24,9,1,11,19,7,0,5,10,3,11,19,11,10,8,3,0,20,8,1,6,1,7,21,4,0,0,8,0,4,11,9,0,9,0,0,3,0,5,0,0,1,0,6
"Ant501",9,0,0,7,0,0,0,0,3,11,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,15,0,0,3,0,0,25,10,0,0,0,0,0,0,0,0,0,0
"Ant507",1,2,1,0,0,0,0,17,0,0,2,0,0,1,0,1,0,1,3,6,0,1,8,6,1,0,1,1,15,5,0,1,0,3,13,0,4,0,0,0,3,8,0,34,1,0,1,0,0,2,13,7,1,0,0,0,2
"Ant530",2,1,0,1,9,0,0,6,2,0,17,10,4,0,3,8,1,1,3,9,1,3,28,2,0,1,3,35,1,0,0,7,0,9,3,1,4,0,12,0,13,11,0,5,3,0,0,6,0,0,0,10,0,0,0,0,1
"Ant593",1,1,8,0,23,0,1,15,3,7,4,0,2,4,0,8,0,0,7,1,6,0,14,28,2,7,1,3,5,13,6,7,0,0,9,0,4,0,7,0,10,4,0,2,3,0,0,5,0,0,0,2,6,0,2,1,0
