"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant308",27,3,5,0,2,9,1,14,14,3,26,0,3,11,3,7,3,2,14,14,10,8,0,5,13,4,2,1,6,18,2,1,0,3,3,0,0,3,28,1,1,7
"Ant311",4,0,9,0,4,5,0,0,7,3,14,3,0,0,1,2,0,2,3,1,0,0,8,0,2,1,0,0,0,8,0,5,0,6,0,0,0,4,0,0,0,0
"Ant620",4,8,0,0,12,27,0,3,0,4,20,11,0,0,6,10,7,7,63,0,3,6,6,5,2,3,3,0,1,0,1,1,0,17,4,0,0,0,25,0,22,16
"Ant0",0,1,1,0,7,0,5,0,0,3,0,3,1,6,2,0,0,2,2,0,1,1,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1
"Ant13",5,3,6,0,0,11,0,0,3,5,0,7,2,10,0,0,1,21,1,15,2,3,0,2,2,1,0,0,0,5,4,0,0,1,0,0,0,2,16,0,0,5
"Ant23",17,0,2,17,0,0,0,1,21,0,5,3,0,7,0,1,0,0,4,19,1,5,0,15,7,0,0,0,9,3,2,0,6,1,3,3,0,1,9,0,0,1
"Ant27",7,1,11,0,4,4,0,17,5,3,2,2,2,7,2,21,0,0,5,2,6,6,6,3,10,5,17,2,2,11,0,2,0,5,1,0,0,5,4,4,2,14
"Ant29",2,0,20,0,4,0,2,12,18,7,0,14,3,63,2,1,4,5,0,1,6,3,4,0,3,2,25,11,3,4,1,2,0,14,15,0,0,6,3,2,12,0
"Ant55",63,0,9,7,0,2,0,0,30,3,1,14,1,0,0,15,19,2,1,0,5,4,0,30,5,5,1,0,5,7,3,0,0,5,0,3,2,1,55,0,4,4
"Ant91",8,7,9,0,1,13,1,5,19,2,11,10,0,3,1,2,1,6,6,5,0,36,5,7,12,2,14,3,9,31,3,4,0,4,9,0,0,11,14,1,12,10
"Ant97",11,2,0,1,8,14,0,10,3,3,2,8,0,6,1,3,5,6,3,4,36,0,31,0,8,5,5,0,11,10,0,15,0,13,1,0,3,1,9,2,20,1
"Ant109",3,9,3,0,9,0,10,0,0,0,5,0,8,6,0,0,0,6,4,0,5,31,0,0,0,1,4,0,0,0,0,10,0,3,3,0,0,1,0,11,25,20
"Ant113",32,2,5,17,5,1,0,0,26,3,7,5,0,5,1,2,15,3,0,30,7,0,0,0,8,3,0,0,5,5,3,0,6,0,1,4,0,0,11,0,0,3
"Ant124",9,2,4,0,0,7,0,5,17,2,17,13,2,2,2,2,7,10,3,5,12,8,0,8,0,3,18,1,0,19,1,1,0,4,6,0,0,6,13,1,4,16
"Ant131",2,0,8,0,1,0,4,1,3,0,4,4,1,3,1,1,0,5,2,5,2,5,1,3,3,0,12,24,1,6,0,5,0,3,8,0,0,19,3,11,1,3
"Ant137",6,0,24,0,1,1,2,15,20,6,5,2,0,3,0,0,0,17,25,1,14,5,4,0,18,12,0,8,2,7,2,2,0,0,12,0,0,5,7,2,4,21
"Ant140",1,5,13,0,1,2,8,5,0,1,2,1,0,0,0,0,0,2,11,0,3,0,0,0,1,24,8,0,0,1,0,0,0,7,3,0,0,6,0,19,0,2
"Ant149",8,0,2,6,0,0,0,1,26,0,3,6,0,1,0,0,9,2,3,5,9,11,0,5,0,1,2,0,0,25,8,0,29,0,3,1,0,0,9,0,0,1
"Ant159",43,2,5,1,0,3,0,4,26,3,7,18,8,0,0,5,3,11,4,7,31,10,0,5,19,6,7,1,25,0,0,2,0,7,3,0,1,0,24,0,1,6
"Ant169",15,0,0,19,1,1,0,1,13,0,1,2,0,1,0,4,2,0,1,3,3,0,0,3,1,0,2,0,8,0,0,0,22,0,0,35,0,0,8,0,0,0
"Ant190",0,5,1,0,15,6,0,2,0,3,2,1,5,1,0,0,0,2,2,0,4,15,10,0,1,5,2,0,0,2,0,0,0,5,1,0,0,3,0,3,55,6
"Ant195",25,0,0,73,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,29,0,22,0,0,0,0,41,0,0,6,0,0,0
"Ant232",4,6,5,0,11,20,1,12,17,0,7,3,6,17,3,1,1,5,14,5,4,13,3,0,4,3,0,7,0,7,0,5,0,0,9,0,0,4,4,1,3,15
"Ant263",4,6,3,0,3,2,0,4,6,0,1,3,0,4,0,0,3,1,15,0,9,1,3,1,6,8,12,3,3,3,0,1,0,9,0,0,0,4,2,0,15,3
"Ant332",24,0,0,70,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,1,0,35,0,41,0,0,0,0,0,0,0,0,0
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Ant458",1,0,5,0,2,4,5,2,2,0,7,3,4,0,1,2,1,5,6,1,11,1,1,0,6,19,5,6,0,0,0,3,0,4,4,0,0,0,2,2,1,14
"Ant492",9,2,9,22,1,6,0,0,25,5,15,28,0,25,0,16,9,4,3,55,14,9,0,11,13,3,7,0,9,24,8,0,6,4,2,0,1,2,0,8,0,5
"Ant507",0,0,1,0,0,0,4,17,1,0,0,1,0,0,0,0,0,4,2,0,1,2,11,0,1,11,2,19,0,0,0,3,0,1,0,0,0,2,8,0,0,2
"Ant530",0,11,10,0,8,9,0,24,9,9,2,1,0,22,2,0,0,2,12,4,12,20,25,0,4,1,4,0,0,1,0,55,0,3,15,0,0,1,0,0,0,9
"Ant593",5,4,11,0,1,4,4,12,8,1,31,7,0,16,1,5,1,14,0,4,10,1,20,3,16,3,21,2,1,6,0,6,0,15,3,0,0,14,5,2,9,0
