"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant153",2,24,11,1,3,0,2,5,5,0,0,6,11,1,5,4,0,3,11,7,4,7,6,14,0,0,4,1,3,18,8,12,4,8,9,5,5,0,20,0,7,13,0,9,6
"Ant173",0,0,0,3,0,8,0,1,0,0,1,1,0,6,0,0,3,4,1,0,0,3,0,0,0,0,1,2,0,6,0,0,2,1,6,0,2,0,0,0,2,3,0,0,8
"Ant176",4,17,0,8,11,0,3,0,3,0,1,13,11,17,6,5,7,12,10,9,8,4,9,7,4,1,0,6,2,6,4,5,3,30,13,4,4,4,1,10,13,14,4,1,9
"Ant186",0,1,0,18,0,10,0,0,0,2,10,0,3,10,0,1,8,14,2,0,3,17,11,3,1,2,6,0,0,1,9,0,1,13,5,2,1,5,3,3,1,2,1,1,2
"Ant217",9,2,1,0,2,0,15,4,18,0,1,0,0,0,3,0,3,0,9,8,14,1,0,6,3,0,2,0,0,4,2,7,9,3,2,1,2,0,7,0,6,0,7,5,3
"Ant242",11,6,15,2,15,0,7,21,6,0,0,2,17,0,5,2,3,5,48,21,5,1,11,13,18,6,6,1,4,0,7,27,12,10,2,14,2,1,7,9,0,3,3,2,6
"Ant255",0,0,0,12,2,10,3,1,1,0,5,0,5,7,1,0,3,16,3,1,0,7,5,9,8,0,4,9,2,7,0,1,0,5,5,6,3,5,8,3,2,0,0,1,7
"Ant263",8,16,4,0,4,0,5,21,11,0,0,2,6,2,5,3,0,2,21,6,2,4,10,10,12,0,5,0,7,27,1,0,8,9,6,5,7,2,5,0,8,4,4,0,8
"Ant289",7,3,1,1,4,0,7,13,11,0,0,3,41,0,9,0,0,2,32,12,13,0,10,1,4,2,3,1,9,12,0,8,0,2,2,0,7,0,16,0,4,4,2,0,11
"Ant298",8,10,6,9,8,1,2,5,14,0,2,6,11,1,8,9,11,5,27,8,14,12,10,25,8,1,30,13,3,10,5,9,2,0,9,4,12,2,10,7,4,13,5,7,16
"Ant332",1,4,2,5,6,7,0,4,5,0,6,1,9,11,1,4,8,0,6,3,5,30,22,16,9,6,13,5,2,2,5,6,2,9,0,8,4,10,0,4,1,14,1,0,3
"Ant353",1,3,0,1,2,1,2,15,1,0,0,2,6,6,0,0,4,6,7,2,2,1,35,6,5,0,4,2,1,14,6,5,0,4,8,0,1,2,6,5,0,12,0,1,2
"Ant356",6,9,4,1,1,0,4,12,15,0,0,7,7,1,2,2,9,5,15,6,7,5,2,8,5,2,4,1,2,2,3,7,7,12,4,1,0,0,4,0,8,10,6,10,4
"Ant387",1,1,0,3,0,2,0,0,0,0,4,0,2,0,0,0,6,13,1,0,1,8,2,4,0,0,4,5,0,1,5,2,0,2,10,2,0,0,2,4,0,1,0,0,3
"Ant475",6,13,7,2,5,3,5,9,17,0,0,13,32,2,15,2,7,4,28,8,15,7,9,10,20,0,1,3,7,7,8,5,16,10,0,6,4,2,0,3,1,18,0,20,11
"Ant482",0,0,1,6,7,4,1,1,0,0,6,0,9,1,1,1,19,15,3,5,2,24,14,7,0,0,10,3,0,9,3,0,0,7,4,5,0,4,3,0,0,5,0,0,0
"Ant501",3,7,4,1,6,0,4,3,0,0,0,4,6,0,4,0,0,0,24,1,0,2,11,1,7,2,13,1,6,0,2,8,4,4,1,0,8,0,1,0,0,3,0,1,0
"Ant507",6,12,6,3,2,2,13,17,11,0,1,1,24,1,4,3,10,8,14,1,0,14,9,9,13,3,14,2,0,3,0,4,4,13,14,12,10,1,18,5,3,0,1,4,9
"Ant530",10,10,0,0,0,0,7,2,5,0,1,8,8,0,5,3,1,3,13,6,2,15,4,5,0,0,4,1,7,3,0,4,2,5,1,0,6,0,0,0,0,1,0,9,4
"Ant564",1,3,6,0,0,0,10,0,5,0,1,8,5,0,10,0,5,0,26,6,3,6,0,1,9,0,1,1,5,2,1,0,0,7,0,1,10,0,20,0,1,4,9,0,10
"Ant593",4,5,2,4,1,3,15,12,12,0,2,11,10,2,6,7,2,9,6,1,5,5,11,12,6,8,9,2,3,6,7,8,11,16,3,2,4,3,11,0,0,9,4,10,0
