"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant44",27,12,58,5,2,2,22,29,6,2,0,23,19,0,14,8,16,4,0,3,1,21,8,2,13,0,14,2,31,14,4,12,26,16,19,2,27,14,19,0,1,11,4,24,12
"Ant97",0,24,0,2,14,1,0,7,2,4,1,0,15,3,0,24,5,7,3,0,4,0,5,16,6,0,11,4,0,0,6,2,0,41,16,1,20,2,6,1,5,6,0,1,13
"Ant115",6,4,0,3,0,0,8,0,10,2,0,6,4,2,0,2,2,0,1,4,0,7,3,4,1,0,0,0,14,0,0,5,7,5,7,0,3,0,15,1,0,1,6,2,4
"Ant117",4,47,5,12,13,3,3,17,19,1,5,3,42,6,10,23,18,7,21,0,7,0,9,42,5,5,27,1,0,11,3,10,2,10,7,9,7,7,7,16,6,23,1,24,12
"Ant140",1,3,1,9,1,1,6,12,0,3,0,1,13,1,5,5,8,15,8,5,3,9,0,7,11,0,9,6,1,5,4,5,8,7,3,5,2,3,0,12,3,7,0,3,16
"Ant149",1,5,12,3,4,6,6,13,8,3,2,1,25,2,4,10,30,18,2,16,4,42,7,0,9,0,2,2,4,6,7,7,7,16,12,3,17,11,6,5,17,13,0,1,11
"Ant153",4,3,6,1,11,16,1,11,1,1,5,8,14,4,0,0,19,11,13,6,1,5,11,9,0,0,6,0,1,0,1,4,2,8,1,1,16,1,9,7,2,5,4,2,6
"Ant173",0,0,0,5,0,17,0,1,1,0,6,0,0,10,0,0,2,1,0,0,0,5,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1
"Ant176",5,7,4,9,2,3,0,26,4,12,2,9,3,3,2,6,4,2,14,11,0,27,9,2,6,0,0,0,2,3,8,5,13,9,13,7,8,14,10,1,1,11,3,3,22
"Ant186",0,0,0,2,0,20,0,0,0,6,4,0,5,5,0,0,10,5,2,4,0,1,6,2,0,32,0,0,0,1,1,0,0,2,3,0,1,5,0,2,0,0,0,0,5
"Ant217",3,5,3,0,1,0,1,5,5,0,0,11,4,0,0,3,3,0,31,0,14,0,1,4,1,0,2,0,0,8,0,2,7,0,3,0,5,1,7,0,0,0,4,5,4
"Ant242",7,14,18,1,8,0,5,4,1,4,0,13,17,0,18,2,11,0,14,0,0,11,5,6,0,0,3,1,8,0,0,7,11,8,1,3,27,4,6,0,6,4,8,11,5
"Ant255",0,2,2,16,0,2,0,2,1,27,1,0,3,3,0,1,1,4,4,6,0,3,4,7,1,0,8,1,0,0,0,1,1,8,4,3,1,1,1,9,1,2,1,11,11
"Ant263",4,2,6,5,6,1,3,16,10,3,0,6,6,0,1,2,5,2,12,2,5,10,5,7,4,0,5,0,2,7,1,0,4,5,2,1,0,0,8,0,0,4,1,0,14
"Ant289",0,4,4,0,1,0,12,4,8,0,0,25,6,0,10,1,2,0,26,0,7,2,8,7,2,0,13,0,7,11,1,4,0,5,2,0,7,0,7,0,0,2,2,1,5
"Ant298",4,10,2,14,8,0,6,16,4,14,7,3,14,1,8,13,15,8,16,41,5,10,7,16,8,0,9,2,0,8,8,5,5,0,10,10,13,6,14,0,1,4,5,13,23
"Ant332",0,8,1,19,6,5,2,13,2,7,0,4,8,6,0,3,5,12,19,16,7,7,3,12,1,0,13,3,3,1,4,2,2,10,0,2,2,6,2,2,0,19,0,4,4
"Ant353",0,0,0,4,1,0,0,3,0,2,1,0,5,2,1,1,5,1,2,1,0,9,5,3,1,0,7,0,0,3,3,1,0,10,2,0,3,0,0,9,5,4,1,0,4
"Ant356",15,7,10,1,8,1,14,5,3,0,1,2,11,4,3,0,30,9,27,20,3,7,2,17,16,1,8,1,5,27,1,0,7,13,2,3,0,5,6,10,6,1,7,13,9
"Ant387",0,0,0,6,0,7,0,1,1,2,0,1,4,5,0,2,13,23,14,2,0,7,3,11,1,1,14,5,1,4,1,0,0,6,6,0,5,0,8,0,0,3,0,0,3
"Ant475",10,4,3,5,3,0,24,13,13,2,0,16,3,2,3,4,1,5,19,6,15,7,0,6,9,0,10,0,7,6,1,8,7,14,2,0,6,8,0,1,8,3,3,3,4
"Ant482",3,1,0,14,1,26,1,3,1,0,4,0,5,5,2,2,15,19,0,1,1,16,12,5,7,0,1,2,0,0,9,0,0,0,2,9,10,0,1,0,24,1,0,0,1
"Ant501",1,1,0,5,2,0,0,1,0,5,4,0,15,3,0,0,4,26,1,5,0,6,3,17,2,0,1,0,0,6,1,0,0,1,0,5,6,0,8,24,0,4,0,2,3
"Ant507",2,5,3,8,1,10,5,16,3,4,0,1,14,1,0,17,10,8,11,6,1,23,7,13,5,2,11,0,0,4,2,4,2,4,19,4,1,3,3,1,4,0,5,4,8
"Ant530",13,6,18,1,1,0,27,5,10,4,0,4,10,0,5,3,3,2,4,0,6,1,0,0,4,0,3,0,4,8,1,1,2,5,0,1,7,0,3,0,0,5,0,5,8
"Ant564",2,4,0,1,1,5,10,3,6,1,0,4,7,1,5,0,13,1,24,1,2,24,3,1,2,1,3,0,5,11,11,0,1,13,4,0,13,0,3,0,2,4,5,0,1
"Ant593",5,4,4,4,2,0,8,27,6,9,2,6,4,0,15,3,6,2,12,13,4,12,16,11,6,1,22,5,4,5,11,14,5,23,4,4,9,3,4,1,3,8,8,1,0
