"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant202",0,1,0,3,2,1,0,6,4,4,0,0,10,6,0,1,14,1,0,0,0,11,11,0,2,8,6,12,0,1,11,0,0,2,2,2,0,2,0,3,6,1,0,0,0
"Ant252",16,9,9,1,4,0,20,6,8,1,0,0,5,0,3,4,3,5,24,21,6,12,11,19,1,0,3,1,6,21,5,6,13,7,3,6,12,1,11,6,8,5,18,1,1
"Ant311",4,8,10,4,10,0,9,16,9,4,10,5,0,3,16,0,5,15,16,2,4,2,14,9,7,3,7,11,1,12,4,4,12,4,17,7,2,3,6,2,5,6,12,13,2
"Ant518",0,4,0,18,0,0,0,5,2,12,6,0,3,0,1,6,6,1,2,1,0,1,1,7,5,3,6,15,2,4,13,1,1,1,19,4,0,0,0,17,5,6,0,0,3
"Ant0",1,7,7,7,4,0,2,11,5,1,0,3,16,1,2,2,5,5,6,3,1,4,14,18,1,0,17,2,4,10,4,1,7,9,10,4,0,1,7,12,0,5,4,1,5
"Ant23",2,3,1,6,3,0,1,7,0,2,1,4,0,6,2,0,5,1,13,9,0,2,4,5,1,3,1,13,2,7,0,5,5,4,3,2,1,0,1,3,3,0,0,2,3
"Ant27",2,9,1,16,24,4,3,27,3,23,14,3,5,6,5,5,0,0,9,3,2,11,6,12,29,14,17,21,0,7,5,5,4,12,5,11,8,8,2,7,20,3,1,4,4
"Ant32",1,9,3,8,4,1,4,19,3,0,1,5,15,1,5,1,0,0,14,4,1,12,19,4,4,2,20,0,2,4,5,12,7,13,8,6,1,1,6,0,14,3,11,4,6
"Ant44",28,37,19,4,2,0,11,22,25,9,0,24,16,2,6,13,9,14,0,18,13,27,24,15,2,4,16,1,28,20,8,10,23,2,8,10,38,1,15,4,1,17,16,10,10
"Ant97",7,1,7,0,4,1,3,4,3,2,0,21,2,1,3,9,3,4,18,0,1,6,9,15,7,0,4,2,5,12,4,7,7,5,6,3,13,0,2,3,1,3,9,3,5
"Ant115",3,9,2,1,4,2,4,10,3,3,0,6,4,0,1,0,2,1,13,1,0,15,4,6,2,0,10,0,2,7,4,4,4,4,9,0,7,0,5,8,0,6,10,2,2
"Ant117",2,16,9,6,0,0,10,17,23,0,11,12,2,1,4,2,11,12,27,6,15,0,43,13,4,3,2,16,5,5,3,14,9,17,19,10,18,4,16,9,9,5,5,13,15
"Ant140",7,13,3,5,0,0,29,33,13,2,11,11,14,1,14,4,6,19,24,9,4,43,0,14,0,5,6,22,5,10,5,9,12,14,6,26,17,7,13,13,8,7,9,4,7
"Ant149",7,3,18,4,1,0,11,16,12,3,0,19,9,7,18,5,12,4,15,15,6,13,14,0,8,6,8,1,5,25,7,12,15,18,3,7,4,4,16,6,4,10,13,12,4
"Ant153",0,11,7,12,12,1,0,15,1,6,2,1,7,5,1,1,29,4,2,7,2,4,0,8,0,7,1,12,0,2,5,3,7,6,0,27,0,9,1,1,5,2,0,3,0
"Ant173",1,3,1,4,5,2,0,2,2,4,8,0,3,3,0,3,14,2,4,0,0,3,5,6,7,0,1,10,0,5,4,0,0,6,4,2,0,3,4,3,1,1,0,0,1
"Ant176",0,1,4,8,0,3,1,8,4,1,6,3,7,6,17,1,17,20,16,4,10,2,6,8,1,1,0,2,4,14,10,1,7,13,27,3,1,2,2,1,11,7,7,2,20
"Ant186",0,9,0,13,2,3,2,5,3,9,12,1,11,15,2,13,21,0,1,2,0,16,22,1,12,10,2,0,0,7,7,4,5,3,7,5,1,4,2,7,6,4,1,2,3
"Ant217",5,2,5,0,0,0,4,5,7,0,0,6,1,2,4,2,0,2,28,5,2,5,5,5,0,0,4,0,0,9,2,2,14,4,1,6,13,0,7,3,0,2,3,2,7
"Ant242",7,2,2,2,4,1,8,13,3,8,1,21,12,4,10,7,7,4,20,12,7,5,10,25,2,5,14,7,9,0,2,4,5,21,7,13,4,0,1,10,18,13,2,8,3
"Ant255",0,4,2,15,0,0,2,6,5,6,11,5,4,13,4,0,5,5,8,4,4,3,5,7,5,4,10,7,2,2,0,1,0,6,9,2,3,1,1,1,8,8,0,1,11
"Ant263",2,3,2,0,0,0,1,2,7,2,0,6,4,1,1,5,5,12,10,7,4,14,9,12,3,0,1,4,2,4,1,0,12,1,4,4,7,0,3,3,0,3,2,0,1
"Ant289",20,18,7,4,0,0,12,16,13,1,0,13,12,1,7,5,4,7,23,7,4,9,12,15,7,0,7,5,14,5,0,12,0,1,5,0,28,0,11,6,0,5,12,19,4
"Ant298",3,4,17,7,12,5,6,19,2,6,2,7,4,1,9,4,12,13,2,5,4,17,14,18,6,6,13,3,4,21,6,1,1,0,4,10,3,12,10,10,4,7,20,10,8
"Ant332",4,2,3,12,1,1,4,7,5,2,2,3,17,19,10,3,5,8,8,6,9,19,6,3,0,4,27,7,1,7,9,4,5,4,0,1,2,1,1,5,8,4,4,0,3
"Ant353",1,2,2,0,1,1,3,16,1,1,2,6,7,4,4,2,11,6,10,3,0,10,26,7,27,2,3,5,6,13,2,4,0,10,1,0,8,0,2,9,5,5,1,1,2
"Ant356",11,2,8,1,2,0,17,14,12,0,0,12,2,0,0,1,8,1,38,13,7,18,17,4,0,0,1,1,13,4,3,7,28,3,2,8,0,0,8,0,0,2,18,3,0
"Ant387",0,0,1,10,6,2,0,4,1,2,2,1,3,0,1,0,8,1,1,0,0,4,7,4,9,3,2,4,0,0,1,0,0,12,1,0,0,0,0,8,7,3,0,0,1
"Ant475",3,0,8,0,0,0,10,15,11,3,0,11,6,0,7,1,2,6,15,2,5,16,13,16,1,4,2,2,7,1,1,3,11,10,1,2,8,0,0,1,0,3,8,9,9
"Ant482",2,15,3,4,6,0,0,13,0,2,3,6,2,17,12,3,7,0,4,3,8,9,13,6,1,3,1,7,3,10,1,3,6,10,5,9,0,8,1,0,3,9,0,0,2
"Ant501",2,23,4,2,2,0,1,2,0,9,6,8,5,5,0,3,20,14,1,1,0,9,8,4,5,1,11,6,0,18,8,0,0,4,8,5,0,7,0,3,0,15,0,3,1
"Ant507",1,6,5,5,2,1,8,10,6,5,1,5,6,6,5,0,3,3,17,3,6,5,7,10,2,1,7,4,2,13,8,3,5,7,4,5,2,3,3,9,15,0,1,4,4
"Ant530",7,1,19,0,6,0,8,1,0,5,0,18,12,0,4,0,1,11,16,9,10,5,9,13,0,0,7,1,3,2,0,2,12,20,4,1,18,0,8,0,0,1,0,2,4
"Ant564",1,12,8,1,1,0,11,6,6,0,0,1,13,0,1,2,4,4,10,3,2,13,4,12,3,0,2,2,2,8,1,0,19,10,0,1,3,0,9,0,3,4,2,0,3
"Ant593",2,5,10,9,5,1,5,4,3,1,0,1,2,3,5,3,4,6,10,5,2,15,7,4,0,1,20,3,7,3,11,1,4,8,3,2,0,1,9,2,1,4,4,3,0
