"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant97",16,5,5,0,1,0,17,9,16,0,0,10,2,0,4,3,0,0,9,0,2,0,1,0,1,1,2,0,4,2,0,2,4,4,2,0,4,0,8,0,0,2,10,8,6
"Ant115",1,6,8,0,4,0,4,0,9,0,1,1,0,0,15,1,0,0,11,2,0,4,0,4,0,0,4,0,2,8,1,5,7,9,3,0,9,0,2,0,0,1,5,6,7
"Ant117",6,7,4,18,1,1,3,21,12,0,22,7,2,20,24,25,33,5,18,0,4,0,59,6,1,4,0,6,0,2,8,8,1,24,4,8,11,8,3,10,12,3,1,0,14
"Ant140",11,8,4,13,1,4,2,19,2,0,5,2,2,15,1,4,19,16,7,1,0,59,0,15,7,0,25,20,4,3,12,16,5,20,9,18,6,4,11,6,15,16,4,4,7
"Ant149",6,7,7,7,8,0,1,16,8,0,3,7,18,0,3,4,21,15,23,0,4,6,15,0,1,2,1,14,1,15,4,4,0,12,3,5,9,2,7,5,9,16,7,0,16
"Ant153",4,5,0,6,0,0,5,5,0,0,0,3,2,1,2,3,2,8,2,1,0,1,7,1,0,0,11,3,2,5,3,0,4,5,9,0,1,1,8,7,6,6,1,3,3
"Ant173",1,0,0,7,0,25,0,2,0,2,6,1,2,3,0,0,9,0,0,1,0,4,0,2,0,0,7,8,0,0,0,0,0,1,2,0,0,4,0,1,1,0,0,2,6
"Ant176",4,6,9,10,3,13,5,16,6,0,0,5,6,5,1,4,11,5,15,2,4,0,25,1,11,7,0,3,0,4,16,1,3,20,18,9,4,0,7,1,0,2,1,3,19
"Ant186",4,1,0,13,0,5,0,2,0,0,28,0,6,17,0,7,19,2,0,0,0,6,20,14,3,8,3,0,0,3,8,2,0,2,7,3,0,8,1,12,11,0,1,1,6
"Ant217",6,1,5,0,1,0,7,0,8,0,0,13,0,1,2,0,5,1,8,4,2,0,4,1,2,0,0,0,0,1,0,1,5,5,3,0,12,0,0,0,1,2,5,5,4
"Ant242",3,2,3,5,7,0,6,2,2,0,3,3,7,2,16,1,3,2,7,2,8,2,3,15,5,0,4,3,1,0,0,5,0,5,4,3,6,3,29,1,0,2,3,23,2
"Ant255",0,3,4,12,0,6,0,4,2,0,6,4,2,11,1,0,2,7,13,0,1,8,12,4,3,0,16,8,0,0,0,3,1,4,13,1,1,5,3,2,3,4,0,1,9
"Ant263",1,5,1,1,1,0,6,15,1,0,0,8,8,1,3,1,7,4,10,2,5,8,16,4,0,0,1,2,1,5,3,0,12,5,4,0,7,1,7,1,1,16,2,4,1
"Ant289",1,7,9,1,3,0,6,3,5,0,0,5,5,0,0,2,0,7,2,4,7,1,5,0,4,0,3,0,5,0,1,12,0,2,2,1,1,0,8,7,0,1,1,8,5
"Ant298",2,26,19,8,6,0,10,6,3,0,2,13,9,4,5,23,3,3,18,4,9,24,20,12,5,1,20,2,5,5,4,5,2,0,7,5,8,5,8,3,6,5,6,10,5
"Ant332",2,6,1,10,3,1,0,4,4,0,6,1,8,17,10,6,6,7,4,2,3,4,9,3,9,2,18,7,3,4,13,4,2,7,0,5,7,6,2,0,4,13,6,8,28
"Ant353",4,1,2,1,0,0,2,1,0,0,2,0,6,6,0,0,3,2,5,0,0,8,18,5,0,0,9,3,0,3,1,0,1,5,5,0,1,4,6,0,2,1,1,1,5
"Ant356",4,16,25,0,1,0,13,14,4,0,0,25,13,0,0,3,5,1,16,4,9,11,6,9,1,0,4,0,12,6,1,7,1,8,7,1,0,0,27,0,2,8,16,14,5
"Ant387",1,0,0,10,0,0,0,1,0,0,0,1,2,3,0,7,15,4,0,0,0,8,4,2,1,4,0,8,0,3,5,1,0,5,6,4,0,0,1,3,3,0,0,1,1
"Ant475",12,18,8,1,8,2,13,14,3,0,0,10,6,1,9,5,9,4,8,8,2,3,11,7,8,0,7,1,0,29,3,7,8,8,2,6,27,1,0,10,0,5,11,3,8
"Ant482",6,0,0,1,1,9,4,2,2,0,5,2,1,8,2,2,10,13,4,0,0,10,6,5,7,1,1,12,0,1,2,1,7,3,0,0,0,3,10,0,3,3,0,2,2
"Ant501",2,2,0,3,1,2,0,4,0,0,2,0,4,2,0,0,15,9,10,0,0,12,15,9,6,1,0,11,1,0,3,1,0,6,4,2,2,3,0,3,0,1,0,1,1
"Ant507",1,13,7,4,13,1,0,6,3,0,3,7,14,9,10,2,1,5,12,2,1,3,16,16,6,0,2,0,2,2,4,16,1,5,13,1,8,0,5,3,1,0,1,2,9
"Ant530",8,7,6,2,0,0,1,9,1,0,0,23,14,0,0,0,3,0,32,10,5,1,4,7,1,0,1,1,5,3,0,2,1,6,6,1,16,0,11,0,0,1,0,3,14
"Ant564",1,5,3,2,2,0,3,3,4,0,2,10,10,5,0,0,11,1,12,8,6,0,4,0,3,2,3,1,5,23,1,4,8,10,8,1,14,1,3,2,1,2,3,0,3
"Ant593",3,10,11,11,2,4,7,12,13,0,6,9,17,6,4,2,5,8,7,6,7,14,7,16,3,6,19,6,4,2,9,1,5,5,28,5,5,1,8,2,1,9,14,3,0
