"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant252",11,4,7,0,1,0,16,6,20,0,0,0,7,0,0,2,1,0,21,15,10,2,6,0,3,0,2,2,14,7,1,5,0,4,3,0,6,0,19,0,0,6,5,8,5
"Ant311",7,16,6,0,4,0,6,16,13,0,0,7,0,1,9,2,4,4,8,9,20,16,14,4,3,0,3,0,3,13,1,10,12,8,1,8,13,0,12,0,8,14,7,8,8
"Ant518",1,1,0,8,7,1,0,2,1,2,10,0,1,0,1,3,13,20,0,0,0,6,0,27,1,0,4,23,0,1,12,0,0,3,9,2,2,3,2,16,2,1,0,0,5
"Ant0",11,4,11,1,2,0,12,3,1,0,0,0,9,1,0,0,12,5,1,1,2,9,6,3,7,0,3,0,1,1,0,1,6,12,2,0,7,0,8,5,4,7,2,2,4
"Ant23",1,3,4,4,3,0,2,5,0,0,3,2,2,3,0,0,4,5,6,1,4,6,12,4,2,0,6,0,0,2,2,2,1,26,6,0,3,1,5,2,0,5,3,1,7
"Ant27",6,6,0,15,3,0,0,6,0,0,11,1,4,13,12,4,0,15,1,1,0,4,5,19,1,0,1,16,0,1,4,4,0,5,8,10,12,12,6,4,0,1,3,1,0
"Ant32",6,5,0,8,13,1,1,7,1,0,26,0,4,20,5,5,15,0,0,1,0,12,4,9,3,0,17,6,1,2,3,1,2,14,7,33,0,5,1,13,0,2,0,0,11
"Ant44",16,9,4,1,1,0,7,7,32,0,0,21,8,0,1,6,1,0,0,26,4,16,4,4,16,0,13,1,28,10,1,22,20,5,0,2,15,0,15,0,13,6,44,11,11
"Ant97",10,3,4,0,1,0,8,14,7,0,0,15,9,0,1,1,1,1,26,0,1,4,3,0,1,0,3,0,8,4,0,6,23,4,2,1,12,0,2,0,0,4,5,5,10
"Ant115",11,9,6,0,5,0,18,4,3,0,0,10,20,0,2,4,0,0,4,1,0,4,3,2,3,0,1,0,1,13,0,0,1,4,2,0,3,0,12,0,6,3,3,12,3
"Ant117",3,5,4,0,4,0,9,9,3,0,6,2,16,6,9,6,4,12,16,4,4,0,36,3,6,0,30,5,2,11,5,2,10,8,3,16,7,4,1,2,6,21,14,5,20
"Ant140",4,13,6,5,3,0,1,7,4,0,5,6,14,0,6,12,5,4,4,3,3,36,0,5,12,0,16,1,2,4,4,6,7,4,11,19,4,2,30,12,1,24,15,1,7
"Ant149",4,10,2,2,12,0,1,12,3,0,11,0,4,27,3,4,19,9,4,0,2,3,5,0,21,0,4,23,2,2,3,6,1,16,11,8,10,4,7,8,2,3,5,2,5
"Ant153",3,6,4,6,1,0,2,10,0,0,8,3,3,1,7,2,1,3,16,1,3,6,12,21,0,0,4,0,3,1,2,2,2,21,2,2,7,0,9,1,6,7,5,2,10
"Ant173",0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant176",0,6,2,5,6,0,0,5,4,0,11,2,3,4,3,6,1,17,13,3,1,30,16,4,4,0,0,2,1,1,6,3,3,9,0,3,4,3,5,3,1,7,1,0,14
"Ant186",1,0,0,18,2,9,0,4,0,3,6,2,0,23,0,0,16,6,1,0,0,5,1,23,0,2,2,0,0,3,5,0,0,4,4,0,1,7,0,12,2,1,2,1,1
"Ant217",2,8,14,0,0,0,11,4,2,0,0,14,3,0,1,0,0,1,28,8,1,2,2,2,3,0,1,0,0,0,0,6,5,6,1,0,9,0,3,0,1,3,5,2,1
"Ant242",7,8,4,0,13,0,8,5,10,0,0,7,13,1,1,2,1,2,10,4,13,11,4,2,1,0,1,3,0,0,1,3,0,19,0,2,5,0,10,3,21,0,14,22,0
"Ant255",0,5,1,23,1,0,1,2,3,0,4,1,1,12,0,2,4,3,1,0,0,5,4,3,2,0,6,5,0,1,0,1,1,9,7,1,0,2,2,4,3,11,0,0,2
"Ant263",4,2,9,0,1,0,7,1,3,0,3,5,10,0,1,2,4,1,22,6,0,2,6,6,2,0,3,0,6,3,1,0,4,3,1,1,1,1,5,3,4,8,1,4,7
"Ant289",0,0,5,0,0,0,5,9,10,0,0,0,12,0,6,1,0,2,20,23,1,10,7,1,2,0,3,0,5,0,1,4,0,3,1,2,18,0,0,0,0,4,1,6,7
"Ant298",22,36,14,10,8,0,3,4,2,0,5,4,8,3,12,26,5,14,5,4,4,8,4,16,21,0,9,4,6,19,9,3,3,0,8,7,5,5,11,8,2,45,4,5,3
"Ant332",0,2,1,11,9,0,0,2,0,0,7,3,1,9,2,6,8,7,0,2,2,3,11,11,2,0,0,4,1,0,7,1,1,8,0,5,1,4,4,3,1,6,2,0,2
"Ant353",0,4,2,8,1,0,0,3,1,0,3,0,8,2,0,0,10,33,2,1,0,16,19,8,2,0,3,0,0,2,1,1,2,7,5,0,0,3,0,1,0,2,1,1,4
"Ant356",23,3,28,4,2,0,6,8,10,0,1,6,13,2,7,3,12,0,15,12,3,7,4,10,7,0,4,1,9,5,0,1,18,5,1,0,0,0,3,0,3,2,14,5,1
"Ant387",1,0,0,6,0,0,0,1,0,0,1,0,0,3,0,1,12,5,0,0,0,4,2,4,0,0,3,7,0,0,2,1,0,5,4,3,0,0,1,3,3,0,0,0,1
"Ant475",4,21,9,2,6,0,7,10,6,0,2,19,12,2,8,5,6,1,15,2,12,1,30,7,9,0,5,0,3,10,2,5,0,11,4,0,3,1,0,6,11,14,5,5,19
"Ant482",1,0,0,2,14,0,0,4,0,0,6,0,0,16,5,2,4,13,0,0,0,2,12,8,1,0,3,12,0,3,4,3,0,8,3,1,0,3,6,0,0,4,0,1,10
"Ant501",2,0,1,0,5,0,5,3,0,0,0,0,8,2,4,0,0,0,13,0,6,6,1,2,6,0,1,2,1,21,3,4,0,2,1,0,3,3,11,0,0,1,0,4,0
"Ant507",3,9,2,0,4,0,4,5,2,0,3,6,14,1,7,5,1,2,6,4,3,21,24,3,7,0,7,1,3,0,11,8,4,45,6,2,2,0,14,4,1,0,4,1,9
"Ant530",7,5,15,0,1,0,15,4,7,0,0,5,7,0,2,3,3,0,44,5,3,14,15,5,5,0,1,2,5,14,0,1,1,4,2,1,14,0,5,0,0,4,0,4,4
"Ant564",5,3,1,0,5,0,13,4,2,0,0,8,8,0,2,1,1,0,11,5,12,5,1,2,2,0,0,1,2,22,0,4,6,5,0,1,5,0,5,1,4,1,4,0,1
"Ant593",1,21,2,2,1,0,7,14,3,0,1,5,8,5,4,7,0,11,11,10,3,20,7,5,10,0,14,1,1,0,2,7,7,3,2,4,1,1,19,10,0,9,4,1,0
