,"colony,date,ant_id,x,y,file_name,ant_type"
195,"N2,8/14/12,5,661.138298,331.776596,4684,1"
196,"N2,8/14/12,5,673.904255,325.393617,4678,1"
197,"N2,8/14/12,6,574.329787,350.925532,6794,1"
198,"N2,8/14/12,6,675.180851,377.734043,6692,1"
199,"N2,8/14/12,6,593.478723,339.43617,6763,1"
200,"N2,8/14/12,6,659.861702,334.329787,6640,1"
201,"N2,8/14/12,6,653.478723,324.117021,6635,1"
202,"N2,8/14/12,7,467.095745,313.904255,7374,1"
203,"N2,8/14/12,7,487.521277,335.606383,7365,1"
204,"N2,8/14/12,7,644.542553,320.287234,7076,1"
205,"N2,8/14/12,7,658.585106,317.734043,7071,1"
206,"N2,8/14/12,8,537.308511,347.095745,7517,1"
207,"N2,8/14/12,8,544.968085,335.606383,7511,1"
208,"N2,8/14/12,8,610.074468,412.202128,7460,1"
209,"N2,8/14/12,8,639.43617,367.521277,7382,1"
210,"N2,8/14/12,8,672.62766,329.223404,7274,1"
211,"N2,8/14/12,9,593.478723,316.457447,7881,1"
212,"N2,8/14/12,9,611.351064,326.670213,7871,1"
213,"N2,8/14/12,9,594.755319,370.074468,7848,1"
214,"N2,8/14/12,9,588.37234,377.734043,7838,1"
215,"N2,8/14/12,9,664.968085,329.223404,7797,1"
216,"N2,8/14/12,9,654.755319,319.010638,7792,1"
217,"N2,8/14/12,10,599.861702,285.819149,8743,1"
218,"N2,8/14/12,10,606.244681,319.010638,8674,1"
219,"N2,8/14/12,10,644.542553,336.882979,8574,1"
220,"N2,8/14/12,10,641.989362,311.351064,8529,1"
221,"N2,8/14/12,10,656.031915,322.840426,8514,1"
222,"N2,8/14/12,101,710.626582,303.537975,2337,2"
223,"N2,8/14/12,101,712.14557,300.5,2333,2"
224,"N2,8/14/12,101,713.664557,297.462025,2328,2"
225,"N2,8/14/12,101,739.487342,309.613924,2185,2"
226,"N2,8/14/12,101,698.474684,352.14557,2151,2"
227,"N2,8/14/12,101,728.85443,317.208861,2123,2"
228,"N2,8/14/12,101,724.297468,298.981013,2068,2"
