"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant190",12,8,2,1,0,2,7,3,0,8,0,1,0,1,3,10,2,9,3,3,3,3,0,0,1,7,0,9,9,2,4,4,7,4,0,0,1,4,6,0,4,1,4,0,0,3,0,9,8,0,1,4,0,6,0,1,1,0,4,3,9,17,1,0,6,0,0,5,11,0,10,3,0,1,0,7,9,1,1
"Ant198",2,13,4,1,12,8,4,12,4,1,15,0,16,0,4,8,0,15,3,8,16,24,0,4,2,2,0,1,14,0,0,0,2,6,15,0,0,7,3,19,0,4,1,42,0,0,9,0,5,18,0,10,0,5,0,0,2,28,0,1,7,22,0,0,12,0,0,19,6,23,4,3,7,0,1,41,10,0,0
"Ant207",3,25,7,0,5,96,0,13,45,2,4,1,44,2,0,21,3,7,2,1,18,18,0,3,0,1,0,1,5,0,3,1,5,2,29,0,1,6,5,2,0,10,3,11,0,3,8,5,0,20,0,8,0,9,0,1,0,1,0,3,15,32,0,0,3,0,0,8,20,17,7,18,6,0,0,21,13,1,0
"Ant215",22,18,3,1,4,81,4,11,27,1,0,1,23,1,2,27,2,5,1,12,5,9,2,25,1,1,0,20,12,6,3,0,24,12,10,0,0,19,7,0,0,21,8,0,1,6,0,18,20,0,0,20,0,13,4,5,4,10,0,1,3,22,0,7,27,0,1,20,21,68,9,9,0,2,0,7,5,2,0
"Ant217",0,0,0,28,0,0,7,0,1,3,0,6,0,0,13,1,0,0,15,0,0,0,6,0,1,0,4,0,0,4,1,0,2,10,0,5,14,0,0,0,0,0,2,0,10,0,1,0,0,0,0,1,17,0,8,2,2,0,2,8,3,1,6,4,1,17,0,1,1,0,3,0,1,12,5,0,0,0,2
"Ant218",7,18,7,1,4,34,4,6,13,0,15,0,20,1,0,27,0,7,2,5,6,9,1,2,3,0,0,7,4,1,2,3,6,1,10,0,0,11,18,1,0,6,2,0,0,7,4,10,8,20,1,0,0,4,1,3,1,5,0,10,8,15,0,0,8,0,0,12,28,20,4,5,1,0,0,17,6,10,0
"Ant219",0,0,0,12,0,0,3,1,0,1,0,18,0,1,13,0,0,0,4,4,0,0,2,6,1,1,18,0,1,29,0,1,0,1,0,15,3,0,0,0,2,0,1,0,27,2,0,0,0,0,17,0,0,0,28,0,0,0,8,6,0,1,3,0,0,11,3,1,0,0,4,0,0,11,15,0,1,4,18
"Ant238",2,11,4,0,10,36,2,3,13,2,4,0,9,1,0,21,2,8,0,3,7,11,0,0,5,6,0,12,4,0,1,0,9,0,5,0,1,3,5,0,0,1,1,2,0,0,6,5,9,13,0,4,0,0,1,2,1,5,0,3,7,14,0,1,1,0,0,3,9,5,4,2,12,0,0,9,3,3,0
"Ant242",0,6,0,7,0,0,26,0,1,1,0,30,0,11,8,0,0,0,4,1,0,0,0,3,2,0,21,0,0,27,3,30,0,1,0,19,16,0,0,0,4,0,3,0,6,3,0,0,0,4,8,1,28,1,0,5,1,1,14,1,3,0,20,4,0,8,2,1,0,0,1,0,0,18,11,1,2,0,6
"Ant243",0,5,22,3,1,1,12,4,1,1,1,8,2,2,5,4,1,8,2,1,0,1,4,4,4,1,1,1,0,4,14,8,2,5,2,5,0,2,4,0,1,2,3,0,0,4,1,0,1,5,2,3,0,2,5,0,3,8,7,10,6,4,0,20,5,8,8,4,8,2,1,2,1,3,3,1,4,1,1
