"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",6,13,9,0,8,5,3,2,1,0,0,19,12,0,0,0,0,14,1,7,3,2,12,10,1,1,1,9,2,3,1,0,3,1,3,11,0,17,9,3,14,16,0
"Ant13",0,0,4,11,0,3,2,2,5,19,0,2,3,0,0,0,5,1,4,12,0,5,2,3,2,4,5,0,0,7,6,4,4,3,10,0,2,1,0,5,0,0,0
"Ant23",1,0,1,3,0,8,0,9,0,2,12,4,7,0,0,5,0,0,15,6,0,10,0,1,2,9,3,0,0,4,4,4,2,10,2,0,3,0,0,0,2,0,5
"Ant27",12,16,11,0,5,3,7,2,8,0,0,16,28,0,14,1,0,0,1,0,12,6,6,14,1,1,1,24,11,10,2,1,15,1,0,10,0,23,11,13,13,14,0
"Ant43",0,0,0,5,0,0,1,3,4,21,8,0,2,0,1,4,15,1,0,10,0,18,0,0,9,6,21,0,0,0,3,2,3,4,12,0,5,1,10,0,0,1,10
"Ant97",1,2,14,5,0,3,5,8,26,1,5,6,9,0,7,12,6,0,10,0,3,37,5,5,12,3,12,13,8,43,19,21,9,13,18,0,2,1,13,1,0,3,8
"Ant109",7,1,22,0,0,2,0,1,8,5,0,17,21,0,3,0,0,12,0,3,0,9,13,9,1,2,0,16,13,10,8,3,11,1,1,6,0,15,29,5,6,11,0
"Ant115",0,4,3,6,0,15,18,14,10,11,28,2,14,0,2,5,10,6,18,37,9,0,2,1,2,14,7,9,7,12,12,21,4,10,7,0,9,2,12,3,6,4,4
"Ant117",2,15,7,0,0,2,3,4,6,3,0,16,6,0,12,2,0,6,0,5,13,2,0,10,1,5,1,7,7,13,3,0,6,0,4,12,1,10,13,7,6,14,0
"Ant124",14,9,10,0,20,9,6,4,9,2,8,32,8,0,10,3,1,14,0,5,9,1,10,0,0,4,5,3,12,11,14,1,11,1,0,12,0,20,5,9,11,17,0
"Ant137",0,0,0,11,0,1,0,1,0,2,2,0,0,0,1,2,2,1,9,12,1,2,1,0,0,3,1,0,1,5,22,7,4,1,4,1,0,0,14,2,0,1,30
"Ant159",4,0,5,2,0,4,2,7,7,9,7,2,7,0,1,4,9,1,6,3,2,14,5,4,3,0,3,2,2,9,16,5,9,2,6,0,2,4,10,0,2,0,6
"Ant178",0,0,0,0,0,1,5,3,8,11,9,2,1,0,1,5,3,1,21,12,0,7,1,5,1,3,0,1,0,13,9,2,8,4,2,0,15,1,0,3,2,0,3
"Ant186",15,33,38,5,0,27,8,1,9,5,7,13,7,0,9,0,0,24,0,13,16,9,7,3,0,2,1,0,3,15,1,0,12,1,2,2,0,9,13,11,24,17,0
"Ant190",0,2,12,1,0,16,1,2,2,0,1,14,1,0,2,0,0,11,0,8,13,7,7,12,1,2,0,3,0,6,0,1,4,1,2,0,0,1,1,4,5,5,0
"Ant215",5,0,30,1,0,10,32,20,26,4,9,10,15,0,3,7,4,10,0,43,10,12,13,11,5,9,13,15,6,0,37,19,17,9,11,0,2,11,15,7,2,6,2
"Ant219",2,0,17,4,0,0,5,5,11,4,4,1,4,0,1,6,4,2,3,19,8,12,3,14,22,16,9,1,0,37,0,57,9,6,14,0,6,7,2,1,5,1,7
"Ant242",0,1,2,0,0,2,4,11,13,9,14,0,1,0,0,4,4,1,2,21,3,21,0,1,7,5,2,0,1,19,57,0,2,4,9,0,6,1,0,0,1,0,11
"Ant243",8,11,13,2,7,3,14,6,56,6,6,18,13,0,3,4,2,15,3,9,11,4,6,11,4,9,8,12,4,17,9,2,0,1,19,14,4,17,5,17,10,14,3
"Ant289",0,1,27,0,0,2,7,5,3,8,12,2,1,0,1,3,10,1,4,13,1,10,0,1,1,2,4,1,1,9,6,4,1,0,3,0,0,0,4,0,4,2,0
"Ant324",1,2,17,4,0,2,2,6,10,7,10,3,6,0,3,10,2,0,12,18,1,7,4,0,4,6,2,2,2,11,14,9,19,3,0,0,0,0,1,2,6,0,8
"Ant342",26,31,9,0,16,4,3,0,0,1,0,27,3,0,11,0,0,10,0,0,6,0,12,12,1,0,0,2,0,0,0,0,14,0,0,0,0,30,0,10,5,21,0
"Ant347",0,1,0,17,0,1,1,14,2,8,3,4,3,0,0,2,3,0,5,2,0,9,1,0,0,2,15,0,0,2,6,6,4,0,0,0,0,1,0,0,1,0,1
"Ant380",24,17,7,2,68,4,5,0,1,2,0,33,12,0,17,1,0,23,1,1,15,2,10,20,0,4,1,9,1,11,7,1,17,0,0,30,1,0,6,8,21,18,0
"Ant390",1,3,6,0,0,2,9,0,10,3,4,8,9,0,9,0,0,11,10,13,29,12,13,5,14,10,0,13,1,15,2,0,5,4,1,0,0,6,0,3,4,14,0
"Ant475",5,5,9,0,20,7,4,5,1,8,0,17,21,0,3,5,0,13,0,1,5,3,7,9,2,0,3,11,4,7,1,0,17,0,2,10,0,8,3,0,3,6,0
"Ant482",11,28,1,0,0,1,2,0,1,0,0,10,18,0,14,0,2,13,0,0,6,6,6,11,0,2,2,24,5,2,5,1,10,4,6,5,1,21,4,3,0,9,0
"Ant560",3,21,23,0,2,13,16,8,1,0,0,10,25,0,16,0,0,14,1,3,11,4,14,17,1,0,0,17,5,6,1,0,14,2,0,21,0,18,14,6,9,0,0
"Ant564",0,0,1,7,0,3,1,4,7,9,0,2,0,0,0,0,5,0,10,8,0,4,0,0,30,6,3,0,0,2,7,11,3,0,8,0,1,0,0,0,0,0,0
