"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant60",1,5,14,4,1,4,4,1,8,13,0,3,7,4,26,1,24,0,1,5,4,1,25,0,31,2,16,12,0,4,13,5,1,8,16,7,6,9,31,3,10,6,1,0,0,5,24,9,4,0,9,10,0,8
"Ant76",11,11,2,0,14,23,0,18,1,3,3,0,1,1,54,5,0,0,10,0,0,8,0,18,2,3,1,2,17,0,0,0,2,1,34,0,4,0,3,11,2,8,15,0,31,1,1,6,18,6,6,0,33,0
"Ant158",0,1,10,8,0,0,4,0,5,10,7,1,0,4,8,8,16,0,0,3,15,0,5,0,12,2,27,0,9,2,13,31,2,1,17,0,2,9,12,0,2,23,1,6,0,7,5,0,0,3,1,1,0,5
"Ant191",1,7,2,14,2,1,6,2,0,13,4,1,4,0,4,0,1,0,2,10,0,0,12,0,6,1,24,1,5,8,6,0,1,2,14,26,1,0,1,2,1,4,6,2,1,8,1,5,4,3,0,0,0,5
"Ant196",17,24,29,5,27,53,10,21,20,22,26,54,8,4,0,20,16,0,19,31,25,7,3,13,32,25,17,9,12,1,5,7,23,25,59,6,12,11,12,12,5,31,39,0,33,24,18,11,38,21,46,9,22,4
"Ant252",4,10,10,1,16,12,4,14,5,2,1,5,8,0,20,0,3,0,7,4,1,5,0,2,3,7,4,3,6,0,0,3,4,5,20,7,0,1,8,7,1,7,25,0,15,1,1,20,10,4,5,0,2,1
"Ant308",0,0,13,4,8,0,9,0,9,10,24,0,16,1,16,3,0,0,0,7,14,0,17,0,16,5,19,1,3,0,4,4,3,5,22,9,1,4,7,2,4,15,0,0,1,17,7,2,2,1,3,3,0,2
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",11,11,0,0,10,13,1,28,1,3,1,10,0,2,19,7,0,0,0,0,0,8,0,2,2,9,0,5,10,0,0,0,7,3,39,0,4,0,9,4,0,0,16,0,11,0,0,4,12,20,3,0,8,0
"Ant13",0,0,1,15,0,2,10,0,10,6,5,0,3,10,31,4,7,0,0,0,0,3,19,0,12,5,9,4,0,2,2,5,0,0,5,19,1,4,3,0,3,7,3,1,1,4,2,3,1,4,1,7,0,8
"Ant23",5,0,3,3,0,4,4,2,10,8,4,0,15,0,25,1,14,0,0,0,0,0,4,0,12,9,11,0,1,5,0,4,1,0,7,16,2,3,2,0,3,4,3,4,0,5,1,3,1,0,4,1,0,0
"Ant27",5,15,0,0,2,7,4,26,1,4,1,8,0,0,7,5,0,0,8,3,0,0,0,2,2,6,2,7,7,0,0,2,12,0,22,1,5,0,2,1,0,2,13,1,5,0,1,5,2,7,5,0,12,0
"Ant43",0,2,3,8,1,2,1,0,4,4,25,0,5,12,3,0,17,0,0,19,4,0,0,0,16,4,11,0,2,15,17,14,3,8,9,18,0,3,9,0,5,13,1,2,1,5,8,0,2,2,4,14,0,1
"Ant50",8,1,0,0,0,4,0,14,0,0,0,18,0,0,13,2,0,0,2,0,0,2,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,11,0,0,15,0,20,0,0,12,0,0,0,0,6,0
"Ant97",0,5,20,17,1,2,14,2,13,20,31,2,12,6,32,3,16,0,2,12,12,2,16,0,0,9,17,4,1,0,14,22,6,7,19,11,1,8,12,2,8,8,7,11,2,29,23,5,3,3,5,16,0,7
"Ant109",3,17,8,3,9,3,11,5,5,2,2,3,2,1,25,7,5,0,9,5,9,6,4,0,9,0,7,8,6,5,1,6,11,0,24,1,0,1,7,4,4,15,20,6,6,4,6,16,5,2,4,3,0,1
"Ant115",1,1,18,9,0,0,7,4,11,15,16,1,27,24,17,4,19,0,0,9,11,2,11,0,17,7,0,6,10,6,10,21,0,6,11,7,3,17,6,0,25,7,4,48,0,41,13,2,0,2,0,4,0,12
"Ant117",9,9,6,1,5,14,6,14,3,2,12,2,0,1,9,3,1,0,5,4,0,7,0,1,4,8,6,0,1,1,0,2,7,3,39,0,0,1,7,11,0,1,24,2,10,4,2,9,3,4,6,0,2,0
"Ant124",6,10,1,0,4,10,0,1,11,1,0,17,9,5,12,6,3,0,10,0,1,7,2,10,1,6,10,1,0,3,0,2,3,1,11,0,9,0,6,6,0,1,10,0,36,6,0,15,2,9,0,0,12,0
