"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant38",2,1,1,0,4,9,0,3,2,0,0,0,17,0,0,15,1,9,0,10,12,11,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,6,0,0,1,1,15,1,1,0,9,14,3,0,0,0,11,0,2,0,5,0,4,1,4,0,2,6,0,8,10,0,1,3,5,0,0,0,40,6,12,0
"Ant60",0,0,0,44,2,0,2,1,1,2,0,0,0,7,19,0,0,1,18,3,1,0,13,2,0,1,5,1,1,105,7,6,2,6,0,13,19,0,0,2,3,1,22,0,4,2,4,1,0,4,2,0,9,1,16,1,1,0,23,6,5,0,25,1,0,12,0,0,1,0,0,0,0,6,3,0,2,1,10
"Ant76",2,8,3,0,3,57,4,8,8,0,17,0,0,0,0,29,12,20,1,11,10,14,1,3,4,1,1,10,0,1,4,2,3,0,13,0,6,6,8,2,0,6,4,19,0,1,0,20,19,6,0,16,2,2,0,1,2,12,0,1,2,8,1,1,7,0,5,11,1,33,6,14,3,0,0,12,16,1,0
"Ant158",0,2,0,7,1,0,7,2,0,7,0,7,0,0,12,1,1,0,23,0,0,0,22,15,0,2,19,0,0,18,20,9,6,18,2,18,14,7,0,0,18,0,9,0,4,0,6,0,0,1,4,2,8,0,4,5,7,0,4,33,9,0,7,16,0,52,2,3,0,0,5,1,0,9,10,0,2,1,4
"Ant191",5,1,2,4,0,0,9,3,5,8,0,19,0,12,0,3,0,1,10,0,1,1,6,3,0,1,17,0,8,18,2,10,6,11,0,21,17,2,0,0,7,0,4,6,10,4,2,1,0,3,10,6,5,1,15,2,1,3,22,4,8,0,9,5,2,6,7,5,0,0,0,0,1,12,10,0,1,4,10
"Ant196",14,12,15,0,14,58,0,14,78,0,15,0,29,1,3,0,12,42,1,10,19,2,3,0,2,8,1,3,5,1,4,0,18,3,22,0,0,20,16,18,0,17,8,24,1,10,11,38,38,41,4,27,0,19,0,3,4,8,0,2,2,49,1,2,22,0,9,9,10,56,24,10,4,0,0,36,8,19,0
"Ant209",1,4,4,0,4,11,0,3,5,0,1,0,12,1,0,12,0,8,0,5,5,3,0,0,1,0,0,16,2,0,0,0,1,2,1,0,0,2,4,3,0,2,6,1,0,2,1,8,6,6,0,5,0,5,0,0,2,8,0,0,0,12,0,0,7,0,4,13,6,3,7,7,0,1,0,12,6,1,0
"Ant252",7,4,7,0,12,2,4,4,8,1,9,1,20,0,1,42,8,0,0,1,9,1,0,4,8,2,0,8,9,1,2,0,7,5,4,0,1,3,11,5,0,7,3,3,0,6,2,15,9,10,1,7,0,5,0,7,0,5,0,4,1,34,0,2,8,0,2,0,13,13,18,5,6,0,0,3,7,9,0
"Ant308",0,1,5,3,0,3,4,0,2,18,0,18,1,23,10,1,0,0,0,2,0,0,4,6,0,0,13,0,3,13,10,6,2,17,0,12,16,1,0,0,7,0,1,0,5,0,11,2,2,6,8,1,9,0,10,4,3,3,6,5,7,5,13,13,1,4,15,6,0,4,0,1,1,5,4,3,3,5,5
"Ant311",2,2,4,0,3,40,6,7,9,4,10,3,11,0,0,10,5,1,2,0,15,23,1,4,1,1,1,2,0,0,6,5,2,2,6,0,0,2,1,0,1,6,3,4,4,6,1,11,4,11,1,7,1,2,0,0,0,17,0,0,0,8,1,5,6,3,2,7,3,20,3,4,3,1,1,47,2,3,0
"Ant518",3,8,1,1,5,67,0,7,3,1,12,1,10,0,1,19,5,9,0,15,0,14,2,1,7,2,0,1,3,1,3,0,12,1,3,1,1,9,6,4,0,1,1,3,0,3,3,18,11,5,0,14,1,7,0,0,1,11,1,1,3,13,0,0,14,0,11,7,4,26,10,6,0,0,0,20,6,2,1
"Ant0",2,9,2,0,0,15,0,0,0,1,11,0,14,0,1,2,3,1,0,23,14,0,0,0,0,0,0,0,1,0,5,0,2,0,14,0,0,3,4,1,0,9,0,0,0,4,0,22,23,11,1,7,0,8,0,0,0,6,0,0,0,28,0,0,5,2,1,9,5,2,0,1,0,1,1,43,1,0,0
"Ant13",0,2,1,4,0,1,9,2,3,3,0,13,1,22,6,3,0,0,4,1,2,0,0,0,2,0,8,0,0,9,9,4,2,5,3,17,4,2,0,0,11,1,4,0,2,5,1,0,0,2,3,1,21,0,2,0,2,0,3,1,1,1,0,3,3,22,1,1,0,0,1,2,0,9,0,0,0,0,5
"Ant23",2,1,0,2,0,0,17,1,5,10,0,2,3,15,3,0,0,4,6,4,1,0,0,0,0,11,6,0,0,6,1,4,5,2,0,3,3,3,1,0,2,0,3,2,0,9,3,2,2,4,4,7,2,1,0,4,5,0,4,0,7,5,1,6,1,13,7,1,0,0,4,0,1,1,1,0,1,1,3
"Ant27",2,2,3,0,4,0,4,5,3,0,0,0,4,0,0,2,1,8,0,1,7,0,2,0,0,1,1,8,6,0,2,1,5,1,0,1,2,6,4,0,0,0,3,2,1,1,1,3,2,7,0,3,0,7,1,5,4,3,0,0,0,11,1,4,3,1,5,5,4,1,5,1,1,1,0,2,8,1,1
"Ant32",1,7,1,0,2,4,0,1,0,2,0,1,1,2,1,8,0,2,0,1,2,0,0,11,1,0,0,2,8,2,2,0,2,2,0,0,0,3,2,2,1,0,0,2,0,13,3,6,3,3,0,0,0,2,0,2,7,0,0,9,4,6,0,0,7,0,3,6,5,12,17,2,2,1,0,0,1,2,1
"Ant43",1,2,0,4,2,0,21,0,4,14,0,5,1,19,17,1,0,0,13,1,0,0,8,6,1,0,0,0,0,16,4,25,1,8,0,19,11,0,0,0,15,0,5,0,17,1,2,1,0,9,7,1,26,1,4,2,3,0,38,23,9,0,36,24,0,21,1,2,0,0,0,0,0,9,5,0,2,0,11
"Ant44",3,5,5,0,4,28,1,6,9,0,0,1,10,0,0,3,16,8,0,2,1,0,0,0,8,2,0,0,7,0,4,0,6,0,5,1,0,1,9,4,0,4,4,6,0,4,0,4,12,12,0,2,0,9,0,3,2,4,1,0,1,19,0,0,1,0,0,5,2,5,15,8,5,3,0,7,13,8,0
"Ant50",1,7,2,0,2,11,1,4,0,1,0,1,0,0,8,5,2,9,3,0,3,1,0,0,6,8,0,7,0,0,10,0,6,3,9,0,0,5,6,5,0,8,3,21,0,9,0,10,16,10,1,3,0,4,0,5,9,3,0,1,2,20,0,6,7,0,3,8,7,9,11,1,4,1,0,3,0,1,1
"Ant97",1,1,7,65,0,0,8,0,1,14,0,105,1,18,18,1,0,1,13,0,1,0,9,6,0,2,16,0,0,0,1,14,2,4,0,15,25,2,1,0,15,0,13,0,2,1,2,0,3,4,5,0,36,0,39,6,3,0,18,13,1,0,27,15,0,20,4,0,2,0,0,0,0,16,5,0,2,19,27
"Ant109",0,6,0,4,5,1,2,1,8,1,0,7,4,20,2,4,0,2,10,6,3,5,9,1,2,2,4,4,10,1,0,0,2,23,5,4,2,1,6,4,0,11,5,5,1,9,4,3,0,8,0,6,6,1,0,3,1,0,0,13,12,3,1,4,4,6,9,1,4,1,4,4,5,11,5,2,2,1,7
"Ant115",0,1,5,7,0,0,4,0,2,7,1,6,2,9,10,0,0,0,6,5,0,0,4,4,1,0,25,0,0,14,0,0,2,0,0,15,2,2,1,0,20,0,0,1,20,0,0,0,0,2,16,1,5,0,5,1,4,0,14,16,10,0,12,5,0,9,8,0,1,0,0,5,0,13,12,0,2,2,4
"Ant117",7,6,7,6,11,17,5,8,8,6,2,2,3,6,6,18,1,7,2,2,12,2,2,5,5,2,1,6,6,2,2,2,0,1,5,2,4,8,6,2,0,4,0,7,0,3,9,12,9,21,4,9,1,6,0,2,2,2,1,0,16,22,0,6,9,4,9,2,13,12,5,5,3,5,2,4,12,21,1
"Ant124",5,7,23,1,0,0,4,1,4,2,1,6,0,18,11,3,2,5,17,2,1,0,5,2,1,2,8,0,3,4,23,0,1,0,0,5,7,1,1,3,7,2,10,5,6,10,3,7,1,12,5,5,6,0,2,9,9,2,1,4,9,2,1,2,2,6,6,5,4,0,7,6,0,4,1,0,5,16,2
"Ant127",1,10,4,0,7,11,0,12,3,1,3,0,13,2,0,22,1,4,0,6,3,14,3,0,0,0,0,5,9,0,5,0,5,0,0,0,0,5,4,5,0,12,0,1,1,0,1,21,7,8,1,14,1,12,0,1,0,7,0,0,5,21,0,1,3,0,5,8,17,5,6,2,0,0,2,15,8,2,1
"Ant131",0,3,5,9,0,0,18,0,2,6,0,13,0,18,21,0,0,0,12,0,1,0,17,3,1,0,19,1,0,15,4,15,2,5,0,0,8,1,0,1,11,0,5,1,9,1,2,1,1,12,9,0,23,0,7,3,1,0,3,10,3,0,8,4,1,7,1,1,1,1,3,1,0,12,2,0,1,4,12
"Ant137",1,0,2,1,0,0,2,0,0,8,0,19,6,14,17,0,0,1,16,0,1,0,4,3,2,0,11,0,0,25,2,2,4,7,0,8,0,0,0,0,32,0,4,0,1,0,0,2,1,2,2,0,16,0,13,6,0,0,13,6,3,0,8,5,0,10,6,0,0,0,0,0,0,9,14,0,0,1,3
"Ant142",5,10,4,1,18,2,9,11,1,1,0,0,6,7,2,20,2,3,1,2,9,3,2,3,6,3,0,1,5,2,1,2,8,1,5,1,0,0,5,18,0,22,18,9,0,5,3,8,7,10,0,6,1,0,0,2,12,17,0,0,5,20,0,7,5,0,5,6,3,5,23,5,2,1,0,4,9,4,1
"Ant149",4,5,7,0,3,8,0,11,7,0,6,0,8,0,0,16,4,11,0,1,6,4,0,1,4,2,0,9,6,1,6,1,6,1,4,0,0,5,0,7,0,4,3,12,1,1,0,8,10,8,0,14,0,3,0,4,0,2,0,2,1,26,0,1,8,0,2,6,7,3,15,5,7,2,0,0,9,7,0
"Ant156",0,3,1,0,2,1,0,7,8,0,0,2,2,0,0,18,3,5,0,0,4,1,0,0,0,2,0,4,5,0,4,0,2,3,5,1,0,18,7,0,0,6,4,4,0,11,2,2,3,3,1,2,0,1,0,0,0,0,0,0,3,19,0,2,2,0,1,0,3,0,19,0,5,2,0,3,4,4,0
"Ant159",0,1,0,0,0,0,1,0,0,21,0,3,0,18,7,0,0,0,7,1,0,0,11,2,0,1,15,0,0,15,0,20,0,7,0,11,32,0,0,0,0,0,1,0,7,2,0,0,0,0,8,1,14,0,8,0,1,0,10,1,9,0,28,7,0,2,0,0,1,0,0,0,0,20,2,2,1,0,25
"Ant169",1,6,3,0,12,9,0,13,5,0,1,1,6,0,0,17,2,7,0,6,1,9,1,0,0,0,0,4,8,0,11,0,4,2,12,0,0,22,4,6,0,0,1,7,0,0,6,9,11,7,0,3,0,3,0,1,2,3,0,1,2,9,0,0,11,0,4,2,13,3,10,3,7,0,0,13,4,1,0
"Ant173",2,10,7,4,7,0,0,5,6,2,1,22,4,9,4,8,6,3,1,3,1,0,4,3,3,0,5,4,3,13,5,0,0,10,0,5,4,18,3,4,1,1,0,4,1,9,9,0,7,11,0,1,8,2,0,11,3,5,0,5,4,8,3,2,2,5,6,1,8,0,18,3,4,8,0,2,13,16,0
"Ant176",4,8,8,0,11,6,2,37,10,1,15,0,19,0,6,24,1,3,0,4,3,0,0,2,2,2,0,6,21,0,5,1,7,5,1,1,0,9,12,4,0,7,4,0,0,3,0,11,13,5,0,7,0,11,0,4,0,6,0,5,2,12,0,3,12,0,6,10,8,15,6,15,1,1,1,7,19,2,1
"Ant178",1,0,0,10,1,0,8,2,3,3,1,4,0,4,10,1,0,0,5,4,0,0,2,0,1,0,17,0,0,2,1,20,0,6,1,9,1,0,1,0,7,0,1,0,0,6,3,0,0,4,3,2,23,0,4,4,0,0,6,12,12,0,0,4,1,16,1,2,3,0,0,0,0,12,4,0,2,2,23
"Ant186",6,7,6,0,3,0,2,4,4,1,1,2,1,0,4,10,2,6,0,6,3,4,5,9,1,13,1,4,9,1,9,0,3,10,0,1,0,5,1,11,2,0,9,3,6,0,4,3,2,5,0,1,0,5,0,6,9,5,0,2,5,0,0,6,8,18,7,2,6,2,6,2,0,1,1,0,6,2,0
"Ant190",5,12,8,1,3,2,5,1,1,14,0,4,0,6,2,11,1,2,11,1,3,0,1,3,1,3,2,0,0,2,4,0,9,3,1,2,0,3,0,2,0,6,9,0,3,4,0,10,1,13,2,6,4,0,1,3,3,4,0,1,10,11,0,7,1,1,3,1,4,13,8,3,6,7,6,0,5,17,2
"Ant198",11,18,6,0,15,51,1,6,5,2,9,1,20,0,1,38,8,15,2,11,18,22,0,2,3,6,1,4,10,0,3,0,12,7,21,1,2,8,8,2,0,9,0,11,0,3,10,0,31,5,2,15,0,16,0,2,6,15,1,13,7,16,0,2,25,1,3,12,8,22,12,2,4,0,1,26,5,17,0
"Ant207",7,9,2,0,5,37,0,10,37,1,14,0,19,0,0,38,6,9,2,4,11,23,0,2,2,3,0,12,16,3,0,0,9,1,7,1,1,7,10,3,0,11,7,13,0,2,1,31,0,12,0,8,0,7,0,5,2,2,0,3,1,39,0,1,24,0,6,3,6,28,10,15,6,1,0,9,7,6,0
"Ant215",6,18,28,8,18,22,2,6,55,0,3,4,6,1,3,41,6,10,6,11,5,11,2,4,7,3,9,12,10,4,8,2,21,12,8,12,2,10,8,3,0,7,11,5,4,5,13,5,12,0,4,26,4,8,0,6,8,13,3,3,13,34,0,13,14,8,4,18,15,20,10,16,6,5,0,9,7,11,4
"Ant217",0,1,2,5,0,0,9,2,0,12,0,2,0,4,10,4,0,1,8,1,0,1,3,4,0,0,7,0,1,5,0,16,4,5,1,9,2,0,0,1,8,0,0,0,3,0,2,2,0,4,0,1,19,0,4,0,0,0,5,2,4,0,7,4,0,14,6,2,1,1,1,0,1,15,9,0,0,0,3
"Ant218",5,14,11,0,9,44,1,6,10,1,0,0,16,2,6,27,5,7,1,7,14,7,1,7,3,0,1,2,3,0,6,1,9,5,14,0,0,6,14,2,1,3,1,7,2,1,6,15,8,26,1,0,0,9,0,3,4,13,0,0,4,14,0,1,5,0,4,5,15,33,11,7,4,1,3,18,10,7,1
"Ant219",0,0,2,42,1,0,9,0,0,9,0,9,2,8,5,0,0,0,9,1,1,0,21,2,0,0,26,0,0,36,6,5,1,6,1,23,16,1,0,0,14,0,8,0,23,0,4,0,0,4,19,0,0,0,5,0,9,0,8,5,7,0,6,3,0,18,4,0,0,0,8,1,0,31,17,0,0,0,3
"Ant238",4,5,4,1,17,19,0,18,3,1,11,1,2,0,1,19,5,5,0,2,7,8,0,1,7,2,1,9,4,0,1,0,6,0,12,0,0,0,3,1,0,3,2,11,0,5,0,16,7,8,0,9,0,0,0,2,0,5,0,4,1,18,0,4,7,1,2,12,10,11,8,4,9,1,0,10,4,2,0
"Ant242",0,0,4,3,0,0,3,0,0,6,0,16,0,4,15,0,0,0,10,0,0,0,2,0,1,0,4,0,0,39,0,5,0,2,0,7,13,0,0,0,8,0,0,0,4,0,1,0,0,0,4,0,5,0,0,0,0,0,20,1,3,0,8,0,0,8,4,0,0,0,0,0,2,9,9,0,0,0,18
"Ant243",3,8,10,0,1,0,6,3,0,1,2,1,1,5,2,3,0,7,4,0,0,0,0,4,5,2,2,3,5,6,3,1,2,9,1,3,6,2,4,0,0,1,11,4,4,6,3,2,5,6,0,3,0,2,0,0,3,1,0,3,12,11,0,6,0,6,8,1,1,0,7,10,0,1,1,2,3,13,2
"Ant255",3,11,3,2,1,0,8,4,5,0,0,1,2,7,1,4,2,0,3,0,1,0,2,5,4,7,3,2,9,3,1,4,2,9,0,1,0,12,0,0,1,2,3,0,0,9,3,6,2,8,0,4,9,0,0,3,0,1,0,9,8,3,0,3,2,0,4,0,1,0,11,0,0,3,0,4,1,2,1
"Ant263",9,12,13,0,7,40,0,0,19,0,5,0,12,0,3,8,8,5,3,17,11,6,0,0,3,0,0,4,3,0,0,0,2,2,7,0,0,17,2,0,0,3,5,6,0,5,4,15,2,13,0,13,0,5,0,1,1,0,0,4,2,22,0,0,6,0,1,8,8,11,3,3,2,0,0,37,14,6,0
"Ant289",0,0,1,5,0,0,7,2,2,8,0,23,0,4,22,0,0,0,6,0,1,0,3,4,0,0,38,1,0,18,0,14,1,1,0,3,13,0,0,0,10,0,0,0,6,0,0,1,0,3,5,0,8,0,20,0,0,0,0,8,1,0,25,8,0,0,1,0,0,0,0,0,1,14,6,0,0,0,7
"Ant298",0,0,0,3,5,0,8,0,1,13,4,6,1,33,4,2,0,4,5,0,1,0,1,0,0,9,23,0,1,13,13,16,0,4,0,10,6,0,2,0,1,1,5,5,12,2,1,13,3,3,2,0,5,4,1,3,9,4,8,0,6,0,1,8,8,0,4,3,1,0,10,0,0,11,2,0,5,4,2
"Ant324",2,5,5,1,1,2,1,1,6,0,1,5,2,9,8,2,0,1,7,0,3,0,1,7,0,4,9,1,2,1,12,10,16,9,5,3,3,5,1,3,9,2,4,2,12,5,10,7,1,13,4,4,7,1,3,12,8,2,1,6,0,3,2,8,5,4,28,2,0,2,2,0,3,7,10,0,1,7,7
"Ant342",14,15,3,0,17,27,2,16,53,2,4,0,8,0,0,49,12,34,5,8,13,28,1,5,11,6,0,19,20,0,3,0,22,2,21,0,0,20,26,19,0,9,8,12,0,0,11,16,39,34,0,14,0,18,0,11,3,22,0,0,3,0,0,2,13,0,11,24,7,23,54,19,12,0,4,32,8,3,0
"Ant347",1,0,0,9,0,0,0,4,0,9,0,25,1,7,9,1,0,0,13,1,0,0,0,1,1,0,36,0,0,27,1,12,0,1,0,8,8,0,0,0,28,0,3,0,0,0,0,0,0,0,7,0,6,0,8,0,0,0,25,1,2,0,0,3,0,3,0,0,0,1,1,0,0,3,2,0,0,0,13
"Ant356",7,3,2,0,1,0,16,0,0,23,2,1,1,16,5,2,0,2,13,5,0,0,3,6,4,0,24,0,6,15,4,5,6,2,1,4,5,7,1,2,7,0,2,3,4,6,7,2,1,13,4,1,3,4,0,6,3,0,8,8,8,2,3,0,1,1,8,6,0,0,0,0,1,4,4,0,3,3,2
"Ant380",7,24,3,0,11,9,0,10,3,0,6,0,7,0,2,22,7,8,1,6,14,5,3,1,3,7,0,1,7,0,4,0,9,2,3,1,0,5,8,2,0,11,2,12,1,8,1,25,24,14,0,5,0,7,0,0,2,6,0,8,5,13,0,1,0,0,7,17,13,14,7,10,11,0,0,10,9,7,0
"Ant390",0,0,1,22,0,0,0,0,1,14,0,12,0,52,6,0,0,0,4,3,0,2,22,13,1,0,21,0,0,20,6,9,4,6,0,7,10,0,0,0,2,0,5,0,16,18,1,1,0,8,14,0,18,1,8,6,0,0,0,0,4,0,3,1,0,0,6,1,0,0,0,0,0,10,6,0,2,0,10
"Ant394",6,8,3,6,1,1,7,1,0,5,8,0,5,2,7,9,4,2,15,2,11,1,1,7,5,3,1,0,3,4,9,8,9,6,5,1,6,5,2,1,0,4,6,6,1,7,3,3,6,4,6,4,4,2,4,8,4,1,1,4,28,11,0,8,7,6,0,3,0,4,6,5,4,4,3,1,4,12,3
"Ant395",4,3,4,0,5,13,1,7,6,0,10,0,11,3,5,9,13,0,6,7,7,9,1,1,5,6,2,5,8,0,1,0,2,5,8,1,0,6,6,0,0,2,1,10,2,2,1,12,3,18,2,5,0,12,0,1,0,8,0,3,2,24,0,6,17,1,3,0,9,10,5,3,4,0,1,9,2,8,1
"Ant437",8,13,10,0,1,8,6,3,4,0,0,1,1,0,0,10,6,13,0,3,4,5,0,0,4,5,0,2,7,2,4,1,13,4,17,1,0,3,7,3,1,13,8,8,3,6,4,8,6,15,1,15,0,10,0,1,1,8,0,1,0,7,0,0,13,0,0,9,0,11,14,4,0,0,0,17,11,3,0
"Ant458",15,37,1,0,14,29,0,12,0,0,1,0,33,0,0,56,3,13,4,20,26,2,0,0,1,12,0,5,9,0,1,0,12,0,5,1,0,5,3,0,0,3,0,15,0,2,13,22,28,20,1,33,0,11,0,0,0,11,0,0,2,23,1,0,14,0,4,10,11,0,5,7,0,2,0,13,1,0,3
"Ant462",7,4,18,1,6,7,22,5,22,0,3,0,6,5,0,24,7,18,0,3,10,0,1,4,5,17,0,15,11,0,4,0,5,7,6,3,0,23,15,19,0,10,18,6,0,6,8,12,10,10,1,11,8,8,0,7,11,3,0,10,2,54,1,0,7,0,6,5,14,5,0,1,1,3,0,5,7,20,0
"Ant475",10,11,5,0,2,7,1,5,10,0,5,0,14,1,0,10,7,5,1,4,6,1,2,0,1,2,0,8,1,0,4,5,5,6,2,1,0,5,5,0,0,3,3,15,0,2,3,2,15,16,0,7,1,4,0,10,0,3,0,0,0,19,0,0,10,0,5,3,4,7,1,0,0,3,0,12,7,6,0
"Ant482",3,4,13,0,3,3,0,0,5,0,0,0,3,0,1,4,0,6,1,3,0,0,0,1,1,2,0,5,4,0,5,0,3,0,0,0,0,2,7,5,0,7,4,1,0,0,6,4,6,6,1,4,0,9,2,0,0,2,1,0,3,12,0,1,11,0,4,4,0,0,1,0,0,1,0,0,4,7,1
"Ant492",1,4,2,6,4,0,7,0,3,8,0,6,0,9,12,0,1,0,5,1,0,1,9,1,1,1,9,3,1,16,11,13,5,4,0,12,9,1,2,2,20,0,8,1,12,1,7,0,1,5,15,1,31,1,9,1,3,0,14,11,7,0,3,4,0,10,4,0,0,2,3,3,1,0,6,0,2,3,6
"Ant501",0,0,1,9,0,0,3,1,0,9,0,3,0,10,10,0,0,0,4,1,0,1,0,1,0,0,5,0,0,5,5,12,2,1,2,2,14,0,0,0,2,0,0,1,4,1,6,1,0,0,9,3,17,0,9,1,0,0,6,2,10,4,2,4,0,6,3,1,0,0,0,0,0,6,0,0,0,1,7
"Ant530",11,14,0,0,3,24,2,1,3,0,40,0,12,0,0,36,12,3,3,47,20,43,0,0,2,0,0,7,3,0,2,0,4,0,15,0,0,4,0,3,2,13,2,7,0,0,0,26,9,9,0,18,0,10,0,2,4,37,0,0,0,32,0,0,10,0,1,9,17,13,5,12,0,0,0,0,1,1,0
"Ant538",3,43,8,1,5,4,2,14,20,0,6,2,16,2,1,8,6,7,3,2,6,1,0,1,8,1,2,13,0,2,2,2,12,5,8,1,0,9,9,4,1,4,13,19,2,6,5,5,7,7,0,10,0,4,0,3,1,14,0,5,1,8,0,3,9,2,4,2,11,1,7,7,4,2,0,1,0,10,2
"Ant560",41,12,35,1,8,2,4,2,5,0,12,1,1,1,4,19,1,9,5,3,2,0,0,1,1,2,0,8,1,19,1,2,21,16,2,4,1,4,7,4,0,1,16,2,2,2,17,17,6,11,0,7,0,2,0,13,2,6,0,4,7,3,0,3,7,0,12,8,3,0,20,6,7,3,1,1,10,0,1
"Ant564",1,1,2,3,1,0,4,0,4,4,0,10,0,4,10,0,0,0,5,0,1,0,5,3,1,1,11,0,1,27,7,4,1,2,1,12,3,1,0,0,25,0,0,1,23,0,2,0,0,4,3,1,3,0,18,2,1,0,7,2,7,0,13,2,0,10,3,1,0,3,0,0,1,6,7,0,2,1,0
