"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant196",10,20,26,3,14,10,24,2,14,4,1,0,21,0,16,1,1,33,2,3,25,4,8,12,0,6,0,20,4,4,0,2,16,0,4,36,0,56,2,14,31,36,1
"Ant252",0,12,7,0,11,0,2,1,14,0,0,21,0,0,5,3,0,4,0,1,3,0,9,7,1,0,0,9,0,0,1,2,6,0,0,30,0,13,0,1,10,10,1
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",5,6,9,0,1,0,4,0,14,0,0,16,5,0,0,0,1,8,0,0,11,1,3,12,0,0,0,7,0,0,1,0,10,1,0,25,0,16,0,5,7,6,0
"Ant13",0,2,7,1,0,1,7,12,2,6,14,1,3,0,0,0,1,2,21,3,6,17,0,0,0,7,4,0,1,3,15,2,5,5,9,6,4,0,5,1,1,0,0
"Ant23",0,7,1,4,0,0,21,22,2,13,0,1,0,0,1,1,0,0,31,14,4,9,0,0,0,17,5,0,0,2,4,3,1,4,6,5,1,0,0,1,1,0,0
"Ant27",17,14,15,0,1,2,1,0,7,0,0,33,4,0,8,2,0,0,1,7,2,1,5,6,0,0,0,4,0,2,3,0,13,0,3,22,0,33,0,6,12,13,0
"Ant43",0,0,1,8,4,0,1,0,0,8,0,2,0,0,0,21,31,1,0,3,0,5,0,0,19,2,0,0,0,0,0,18,0,2,0,5,21,0,0,0,3,0,0
"Ant97",0,8,10,2,0,5,22,17,6,12,6,3,1,0,0,3,14,7,3,0,14,7,0,1,1,9,17,0,2,6,5,4,24,8,8,2,3,1,7,2,0,1,10
"Ant109",0,14,25,1,3,14,24,5,6,4,0,25,3,0,11,6,4,2,0,14,0,1,13,8,0,7,0,0,0,15,14,1,12,4,5,13,0,4,6,6,5,12,0
"Ant115",0,1,3,6,0,7,9,16,2,31,10,4,0,0,1,17,9,1,5,7,1,0,1,1,3,16,13,0,0,2,10,1,1,5,18,2,0,1,2,3,2,0,4
"Ant117",3,17,1,0,3,0,4,0,10,0,0,8,9,0,3,0,0,5,0,0,13,1,0,6,0,0,0,17,0,0,0,4,4,1,1,19,0,10,0,1,3,9,0
"Ant124",3,4,10,0,0,2,8,4,17,0,0,12,7,0,12,0,0,6,0,1,8,1,6,0,0,0,0,21,0,5,1,0,22,0,0,30,0,13,0,19,18,13,0
"Ant137",0,0,0,6,0,0,0,3,0,35,0,0,1,0,0,0,0,0,19,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"Ant159",0,0,0,38,0,1,4,2,0,31,0,6,0,0,0,7,17,0,2,9,7,16,0,0,0,0,2,0,0,1,10,0,1,3,0,4,0,0,0,0,0,0,0
"Ant178",0,0,3,10,0,1,3,1,8,16,2,0,0,0,0,4,5,0,0,17,0,13,0,0,0,2,0,0,0,6,3,23,3,14,3,0,0,0,4,1,0,0,4
"Ant186",2,1,9,0,6,1,3,0,7,0,0,20,9,0,7,0,0,4,0,0,0,0,17,21,0,0,0,0,0,0,0,0,16,0,0,32,0,19,0,20,7,6,0
"Ant190",0,0,0,0,0,3,1,0,1,0,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,1,5,0,11,10,0,0,6,2,0,0,1
"Ant215",0,4,1,1,1,0,3,12,3,1,3,4,0,0,0,3,2,2,0,6,15,2,0,5,0,1,6,0,7,0,10,3,7,5,11,5,0,0,31,4,0,0,0
"Ant219",0,1,0,7,0,0,1,5,17,8,3,0,1,0,1,15,4,3,0,5,14,10,0,1,0,10,3,0,0,10,0,3,2,6,14,0,3,0,6,0,2,0,3
"Ant242",0,0,2,3,0,1,1,6,0,16,3,2,2,0,0,2,3,0,18,4,1,1,4,0,0,0,23,0,1,3,3,0,1,0,5,2,7,0,0,1,1,0,5
"Ant243",10,17,16,0,5,3,3,4,18,1,4,16,6,0,10,5,1,13,0,24,12,1,4,22,0,1,3,16,5,7,2,1,0,1,6,17,2,17,4,10,12,22,0
"Ant289",0,0,2,4,0,0,0,1,5,1,6,0,0,0,1,5,4,0,2,8,4,5,1,0,0,3,14,0,0,5,6,0,1,0,3,0,0,0,1,0,0,0,10
"Ant324",0,1,4,2,7,1,2,13,1,0,8,4,0,0,0,9,6,3,0,8,5,18,1,0,0,0,3,0,11,11,14,5,6,3,0,16,0,0,23,5,4,0,0
"Ant342",45,9,21,6,5,9,6,4,29,0,3,36,30,0,25,6,5,22,5,2,13,2,19,30,0,4,0,32,10,5,0,2,17,0,16,0,2,60,3,11,18,30,2
"Ant347",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,21,3,0,0,0,0,2,0,0,0,0,0,3,7,2,0,0,2,0,0,0,0,0,0,0
"Ant380",37,5,6,0,3,2,1,0,10,0,0,56,13,0,16,0,0,33,0,1,4,1,10,13,0,0,0,19,0,0,0,0,17,0,0,60,0,0,0,10,8,17,0
"Ant390",0,0,0,0,1,0,0,4,1,3,7,2,0,0,0,5,0,0,0,7,6,2,0,0,0,0,4,0,6,31,6,0,4,1,23,3,0,0,0,1,0,0,6
"Ant475",0,1,11,0,2,6,0,1,2,0,3,14,1,0,5,1,1,6,0,2,6,3,1,19,0,0,1,20,2,4,0,1,10,0,5,11,0,10,1,0,4,1,0
"Ant482",4,14,16,1,9,12,9,0,7,4,0,31,10,0,7,1,1,12,3,0,5,2,3,18,0,0,0,7,0,0,2,1,12,0,4,18,0,8,0,4,0,14,0
"Ant560",19,3,10,0,1,5,5,0,8,0,1,36,10,0,6,0,0,13,0,1,12,0,9,13,0,0,0,6,0,0,0,0,22,0,0,30,0,17,0,1,14,0,0
"Ant564",0,0,0,0,0,0,0,2,0,2,3,1,1,0,0,0,0,0,0,10,0,4,0,0,1,0,4,0,1,0,3,5,0,10,0,2,0,0,6,0,0,0,0
