"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant191",0,6,8,17,0,1,3,8,10,7,0,0,4,0,1,5,17,0,0,13,3,10,2,1,3,30,11,0,5,11,3,3,0,9,8,3,0,1,5,0,2,0,7
"Ant196",27,33,8,0,15,20,11,9,5,0,0,0,15,0,4,3,5,29,1,6,8,6,8,5,0,11,0,4,9,8,0,0,6,0,2,18,0,19,7,7,18,25,1
"Ant252",2,10,3,6,6,6,32,7,6,0,4,15,0,0,5,2,0,18,2,5,11,2,12,8,0,7,0,16,3,11,0,1,11,1,0,14,1,5,1,0,8,9,5
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",6,7,6,1,6,0,2,0,0,0,1,4,5,0,0,0,0,4,0,0,4,0,5,9,0,0,0,4,0,3,1,0,5,0,0,16,0,3,1,5,8,3,0
"Ant13",0,12,0,4,0,2,2,18,5,13,5,3,2,0,0,0,3,2,13,17,1,9,0,0,6,4,6,0,1,5,3,0,8,6,12,0,2,2,3,0,0,1,3
"Ant23",0,2,11,5,0,2,0,34,7,34,17,5,0,0,0,3,0,0,2,11,1,9,0,0,2,64,19,0,5,47,4,6,2,1,6,0,1,0,0,1,0,2,14
"Ant27",4,11,7,0,2,15,8,4,13,0,0,29,18,0,4,2,0,0,1,15,14,1,13,4,0,7,1,13,0,5,1,0,3,0,0,9,0,4,8,6,35,20,0
"Ant43",0,5,0,7,0,3,0,5,0,0,0,1,2,0,0,13,2,1,0,1,0,0,0,0,5,0,0,0,0,0,5,0,1,0,16,0,0,2,0,0,1,0,1
"Ant97",0,8,13,38,1,4,13,9,56,9,13,6,5,0,0,17,11,15,1,0,16,25,13,1,2,19,20,2,13,5,8,11,26,13,20,0,4,0,7,2,3,8,7
"Ant109",1,5,8,0,1,9,16,5,11,4,3,8,11,0,4,1,1,14,0,16,0,11,13,1,0,18,6,22,1,4,0,0,4,1,1,4,0,1,4,3,8,5,0
"Ant115",0,2,2,29,0,2,4,7,19,18,10,6,2,0,0,9,9,1,0,25,11,0,6,1,2,18,7,3,3,9,8,4,2,13,3,1,0,0,19,0,1,2,0
"Ant117",1,13,7,0,0,4,7,1,13,0,2,8,12,0,5,0,0,13,0,13,13,6,0,8,0,2,1,19,2,10,5,0,9,0,0,6,0,8,2,5,3,8,0
"Ant124",2,15,17,0,26,3,8,0,0,0,1,5,8,0,9,0,0,4,0,1,1,1,8,0,0,5,0,2,2,7,1,0,4,0,0,34,0,7,0,10,0,0,0
"Ant137",0,1,3,6,0,2,0,4,3,0,3,0,0,0,0,6,2,0,5,2,0,2,0,0,0,3,2,0,4,0,1,15,2,24,1,0,28,0,1,0,1,0,19
"Ant159",0,3,7,6,0,11,14,10,4,1,30,11,7,0,0,4,64,7,0,19,18,18,2,5,3,0,13,1,5,6,1,1,4,4,1,1,0,4,24,7,7,12,0
"Ant178",0,4,7,1,0,5,0,20,3,14,11,0,0,0,0,6,19,1,0,20,6,7,1,0,2,13,0,0,0,9,0,6,0,6,0,0,2,0,0,0,6,0,3
"Ant186",0,8,0,3,2,14,4,3,2,0,0,4,16,0,4,0,0,13,0,2,22,3,19,2,0,1,0,0,0,3,0,0,5,0,0,11,0,12,4,0,10,2,0
"Ant190",0,8,15,1,2,2,0,15,10,0,5,9,3,0,0,1,5,0,0,13,1,3,2,2,4,5,0,0,0,5,1,4,2,2,5,0,0,0,0,0,1,0,4
"Ant215",0,13,22,16,1,22,6,5,6,6,11,8,11,0,3,5,47,5,0,5,4,9,10,7,0,6,9,3,5,0,2,2,15,2,2,10,0,1,9,0,2,3,3
"Ant219",0,0,2,1,0,0,0,1,9,4,3,0,0,0,1,3,4,1,5,8,0,8,5,1,1,1,0,0,1,2,0,0,0,10,10,0,0,0,2,1,1,0,6
"Ant242",0,0,0,9,0,6,0,10,4,31,3,0,1,0,0,0,6,0,0,11,0,4,0,0,15,1,6,0,4,2,0,0,0,6,0,0,21,0,3,0,1,2,34
"Ant243",13,31,11,4,18,6,8,3,17,3,0,6,11,0,5,8,2,3,1,26,4,2,9,4,2,4,0,5,2,15,0,0,0,1,3,36,0,15,1,6,14,12,2
"Ant289",0,2,0,16,0,1,1,4,4,10,9,0,1,0,0,6,1,0,0,13,1,13,0,0,24,4,6,0,2,2,10,6,1,0,3,0,2,0,1,0,1,0,3
"Ant324",0,0,0,6,0,8,0,1,6,0,8,2,0,0,0,12,6,0,16,20,1,3,0,0,1,1,0,0,5,2,10,0,3,3,0,0,0,1,3,0,0,0,3
"Ant342",32,14,4,1,37,7,2,1,3,0,3,18,14,0,16,0,0,9,0,0,4,1,6,34,0,1,0,11,0,10,0,0,36,0,0,0,0,10,0,17,10,8,0
"Ant347",0,0,0,2,0,1,0,6,1,4,0,0,1,0,0,2,1,0,0,4,0,0,0,0,28,0,2,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0
"Ant380",10,21,6,0,13,14,4,0,0,1,1,19,5,0,3,2,0,4,2,0,1,0,8,7,0,4,0,12,0,1,0,0,15,0,1,10,0,0,0,9,7,9,0
"Ant390",0,3,4,0,1,5,2,3,2,0,5,7,1,0,1,3,0,8,0,7,4,19,2,0,1,24,0,4,0,9,2,3,1,1,3,0,0,0,0,0,2,4,0
"Ant475",14,18,1,0,7,0,1,0,2,0,0,7,0,0,5,0,1,6,0,2,3,0,5,10,0,7,0,0,0,0,1,0,6,0,0,17,0,9,0,0,2,3,0
"Ant482",1,8,1,0,7,9,14,1,12,0,2,18,8,0,8,0,0,35,1,3,8,1,3,0,1,7,6,10,1,2,1,1,14,1,0,10,0,7,2,2,0,14,0
"Ant560",11,26,9,0,9,5,6,1,0,0,0,25,9,0,3,1,2,20,0,8,5,2,8,0,0,12,0,2,0,3,0,2,12,0,0,8,0,9,4,3,14,0,0
"Ant564",0,0,0,1,0,1,1,1,0,0,7,1,5,0,0,3,14,0,1,7,0,0,0,0,19,0,3,0,4,3,6,34,2,3,3,0,0,0,0,0,0,0,0
