"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant43",0,1,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7,0,0,0,4,0,0,0,0
"Ant97",0,13,4,6,6,8,0,8,40,18,0,2,3,0,0,3,3,6,0,0,14,35,9,3,0,7,22,5,10,17,5,3,4,5,2,8,0,9,3,0,1,1,6
"Ant109",4,0,27,0,0,10,3,11,11,0,0,8,3,0,0,1,0,5,0,14,0,6,3,1,0,2,0,11,5,28,1,1,18,0,1,0,0,3,3,3,5,1,0
"Ant115",4,2,1,13,1,9,1,9,21,10,10,10,3,0,4,2,6,2,0,35,6,0,1,21,1,4,26,2,6,19,5,3,5,2,10,2,0,10,0,4,0,1,5
"Ant117",17,25,11,2,9,0,0,0,28,0,0,26,1,0,2,1,0,6,0,9,3,1,0,6,0,1,1,10,3,8,0,1,10,0,6,13,0,15,2,12,0,9,0
"Ant124",20,49,14,3,19,0,0,1,0,0,5,55,6,0,4,6,0,21,0,3,1,21,6,0,0,28,2,18,3,12,0,0,10,0,1,22,0,20,0,7,6,12,4
"Ant137",0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,1,0,0,20,0,2,0,0,0,0
"Ant159",5,10,3,3,4,12,1,2,9,5,3,6,6,0,0,1,0,10,0,7,2,4,1,28,0,0,2,3,0,8,0,1,7,0,2,0,4,9,1,0,3,11,1
"Ant178",0,3,1,7,0,0,0,2,4,10,6,0,2,0,0,13,1,2,0,22,0,26,1,2,0,2,0,0,1,3,0,3,1,2,8,0,0,1,3,0,2,1,5
"Ant186",5,23,21,0,3,6,0,7,6,0,1,27,14,0,11,0,0,31,0,5,11,2,10,18,0,3,0,0,0,9,0,0,9,0,17,8,0,15,1,3,15,20,1
"Ant190",1,10,0,1,6,10,0,12,1,2,1,8,0,0,3,3,0,11,0,10,5,6,3,3,0,0,1,0,0,4,1,0,1,1,1,2,0,7,0,1,8,6,0
"Ant215",18,3,21,0,6,6,0,13,12,0,5,10,8,0,4,2,0,42,0,17,28,19,8,12,0,8,3,9,4,0,5,0,4,1,6,1,0,20,10,3,1,6,1
"Ant219",1,0,0,2,0,0,1,7,2,1,1,0,0,0,0,10,2,0,1,5,1,5,0,0,16,0,0,0,1,5,0,5,0,5,2,0,1,0,7,1,0,0,6
"Ant242",0,0,0,10,0,2,4,23,2,7,1,1,1,0,0,20,20,0,0,3,1,3,1,0,0,1,3,0,0,0,5,0,3,1,3,1,0,0,5,1,6,0,9
"Ant243",6,17,5,2,7,2,3,6,14,2,0,37,7,0,8,0,0,13,1,4,18,5,10,10,0,7,1,9,1,4,0,3,0,0,11,18,0,26,3,6,6,9,0
"Ant289",0,0,0,0,1,2,2,1,4,7,0,0,1,0,1,1,0,0,0,5,0,2,0,0,1,0,2,0,1,1,5,1,0,0,9,0,1,0,2,0,1,1,0
"Ant324",3,7,2,0,0,3,6,7,3,8,2,4,4,0,0,0,1,4,7,2,1,10,6,1,0,2,8,17,1,6,2,3,11,9,0,0,3,8,15,2,1,8,1
"Ant342",33,26,0,1,13,2,5,6,0,0,1,40,7,0,17,2,0,12,0,8,0,2,13,22,0,0,0,8,2,1,0,1,18,0,0,0,0,22,0,12,13,11,0
"Ant347",0,1,0,0,1,0,0,5,4,6,19,0,0,0,0,1,4,0,0,0,0,0,0,0,20,4,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,8
"Ant380",56,45,2,0,19,9,8,1,2,1,0,74,12,0,15,3,0,34,0,9,3,10,15,20,0,9,1,15,7,20,0,0,26,0,8,22,0,0,2,16,17,30,0
"Ant390",0,2,13,4,1,0,7,13,7,0,3,0,2,0,0,9,0,0,4,3,3,0,2,0,2,1,3,1,0,10,7,5,3,2,15,0,1,2,0,1,1,0,0
"Ant475",7,34,2,0,10,0,2,3,7,0,1,33,2,0,0,2,0,8,0,0,3,4,12,7,0,0,0,3,1,3,1,1,6,0,2,12,0,16,1,0,0,6,1
"Ant482",16,12,5,0,10,5,2,0,6,1,0,11,3,0,12,0,0,10,0,1,5,0,0,6,0,3,2,15,8,1,0,6,6,1,1,13,0,17,1,0,0,5,2
"Ant560",8,20,41,0,18,2,0,5,1,0,0,10,20,0,18,0,0,19,0,1,1,1,9,12,0,11,1,20,6,6,0,0,9,1,8,11,0,30,0,6,5,0,0
"Ant564",0,1,0,1,0,0,0,1,0,3,80,1,0,0,0,37,9,0,0,6,0,5,0,4,0,1,5,1,0,1,6,9,0,0,1,0,8,0,0,1,2,0,0
