"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant196",37,33,27,9,5,10,23,5,12,1,2,0,26,0,24,19,1,33,7,4,11,3,13,32,0,2,3,12,10,26,2,0,22,0,8,46,1,69,4,27,49,38,2
"Ant252",2,15,21,2,2,8,18,0,9,7,6,26,0,0,9,5,1,12,4,4,15,1,3,3,0,10,3,4,2,20,3,0,10,2,5,22,1,0,1,1,4,4,1
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",8,14,3,0,6,2,2,0,6,4,0,24,9,0,0,0,0,16,0,1,5,0,0,17,0,0,0,8,1,1,0,0,5,0,0,58,0,7,2,1,6,8,0
"Ant13",0,2,1,1,0,0,5,1,12,10,11,19,5,0,0,0,0,2,0,5,4,4,7,0,2,9,8,0,2,12,1,1,5,0,13,1,1,1,0,0,0,0,1
"Ant23",0,0,9,2,0,4,18,5,0,7,3,1,1,0,0,0,0,0,7,3,5,13,1,0,4,14,5,0,0,0,4,9,3,30,16,1,6,0,12,0,1,0,1
"Ant27",17,41,10,1,3,6,5,3,5,3,4,33,12,0,16,2,0,0,3,4,20,4,11,27,1,4,0,1,3,16,0,1,9,0,4,13,0,25,9,4,45,24,0
"Ant43",0,1,0,11,0,2,2,4,1,1,16,7,4,0,0,0,7,3,0,5,3,14,0,0,3,3,18,0,0,5,7,17,3,0,5,1,3,0,1,0,0,0,0
"Ant97",0,5,6,3,1,9,6,10,45,8,9,4,4,0,1,5,3,4,5,0,3,10,0,0,4,16,3,2,2,20,4,14,39,1,19,3,5,4,9,3,2,2,5
"Ant109",1,14,9,2,3,12,22,2,10,5,7,11,15,0,5,4,5,20,3,3,0,5,2,10,4,13,2,8,4,21,2,0,10,9,4,13,1,4,13,5,13,3,2
"Ant115",1,1,4,3,0,3,1,11,6,5,21,3,1,0,0,4,13,4,14,10,5,0,3,0,2,5,6,0,8,14,8,9,2,8,28,0,2,1,6,0,0,0,6
"Ant117",1,14,4,1,0,2,2,2,3,0,4,13,3,0,0,7,1,11,0,0,2,3,0,3,1,4,5,2,3,8,1,1,8,3,2,4,0,5,2,7,5,5,0
"Ant124",12,54,0,0,4,0,2,0,2,0,3,32,3,0,17,0,0,27,0,0,10,0,3,0,0,0,0,10,0,1,0,0,6,1,0,68,0,31,1,11,20,20,1
"Ant137",0,1,0,13,0,2,0,8,0,16,3,0,0,0,0,2,4,1,3,4,4,2,1,0,0,2,6,2,0,0,4,6,3,0,5,0,5,0,0,0,0,0,7
"Ant159",0,3,26,6,1,8,5,18,3,5,13,2,10,0,0,9,14,4,3,16,13,5,4,0,2,0,3,4,1,11,15,5,6,6,11,2,4,2,5,2,4,4,3
"Ant178",0,0,0,4,0,4,1,4,8,0,17,3,3,0,0,8,5,0,18,3,2,6,5,0,6,3,0,0,13,5,3,2,2,2,7,0,0,0,2,0,0,0,9
"Ant186",1,2,8,0,0,7,10,1,5,2,0,12,4,0,8,0,0,1,0,2,8,0,2,10,2,4,0,0,0,7,1,0,5,0,0,15,0,9,4,13,12,1,0
"Ant190",0,0,6,1,0,3,0,9,5,1,2,10,2,0,1,2,0,3,0,2,4,8,3,0,0,1,13,0,0,17,1,0,11,0,8,0,1,0,0,0,1,0,2
"Ant215",0,6,27,0,8,6,28,4,11,0,11,26,20,0,1,12,0,16,5,20,21,14,8,1,0,11,5,7,17,0,3,0,9,3,21,6,0,8,6,8,6,0,4
"Ant219",1,0,2,2,0,5,1,6,1,3,6,2,3,0,0,1,4,0,7,4,2,8,1,0,4,15,3,1,1,3,0,3,4,1,6,2,19,1,12,0,1,0,3
"Ant242",0,0,4,9,0,0,3,5,1,8,5,0,0,0,0,1,9,1,17,14,0,9,1,0,6,5,2,0,0,0,3,0,1,2,1,2,8,0,2,0,0,0,0
"Ant243",8,8,5,4,2,2,12,7,20,2,6,22,10,0,5,5,3,9,3,39,10,2,8,6,3,6,2,5,11,9,4,1,0,3,6,17,2,17,11,6,15,8,2
"Ant289",0,0,11,2,0,3,2,8,3,14,3,0,2,0,0,0,30,0,0,1,9,8,3,1,0,6,2,0,0,3,1,2,3,0,2,0,0,0,5,0,1,1,0
"Ant324",3,1,2,1,0,5,9,12,6,2,2,8,5,0,0,13,16,4,5,19,4,28,2,0,5,11,7,0,8,21,6,1,6,2,0,1,2,1,13,1,0,0,9
"Ant342",26,33,14,0,16,3,18,0,11,2,2,46,22,0,58,1,1,13,1,3,13,0,4,68,0,2,0,15,0,6,2,2,17,0,1,0,2,57,1,19,18,32,1
"Ant347",0,0,1,7,0,0,0,2,1,7,1,1,1,0,0,1,6,0,3,5,1,2,0,0,5,4,0,0,1,0,19,8,2,0,2,2,0,0,13,0,0,0,4
"Ant380",12,88,2,0,4,2,3,0,4,0,0,69,0,0,7,1,0,25,0,4,4,1,5,31,0,2,0,9,0,8,1,0,17,0,1,57,0,0,4,17,28,27,0
"Ant390",1,1,8,1,1,16,7,0,2,7,3,4,1,0,2,0,12,9,1,9,13,6,2,1,0,5,2,4,0,6,12,2,11,5,13,1,13,4,0,0,3,0,0
"Ant475",5,23,5,0,0,0,1,0,19,0,2,27,1,0,1,0,0,4,0,3,5,0,7,11,0,2,0,13,0,8,0,0,6,0,1,19,0,17,0,0,4,5,0
"Ant482",40,74,5,0,13,3,2,1,2,2,1,49,4,0,6,0,1,45,0,2,13,0,5,20,0,4,0,12,1,6,1,0,15,1,0,18,0,28,3,4,0,28,1
"Ant560",16,63,5,0,5,6,10,1,7,0,0,38,4,0,8,0,0,24,0,2,3,0,5,20,0,4,0,1,0,0,0,0,8,1,0,32,0,27,0,5,28,0,0
"Ant564",0,1,0,15,0,0,0,5,5,2,0,2,1,0,0,1,1,0,0,5,2,6,0,1,7,3,9,0,2,4,3,0,2,0,9,1,4,0,0,0,1,0,0
