"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant158",0,4,0,1,3,13,0,5,8,2,0,2,10,4,3,3,8,0,2,3,1,0,5,3,4,11,3,0,0,10,0,2,7,9,0,5,1,9,7,0,14,4,0,8,5,21,6,6,7,7,5,10,4,6,0,6,2,3,6,6,3,5,0,13,3,1,6,10,5,8,8,0,7,7,0
"Ant191",9,9,0,2,0,1,5,2,0,7,2,0,0,0,15,6,3,4,16,2,1,10,8,2,4,7,0,6,1,9,0,2,0,3,3,1,4,0,1,2,3,11,0,0,3,1,3,0,3,0,5,1,23,10,9,0,4,7,6,24,0,0,4,9,7,0,0,3,2,0,2,0,2,2,0
"Ant196",23,0,0,1,12,10,3,6,2,12,10,0,0,1,9,1,0,7,12,16,1,1,4,3,14,7,4,51,8,2,10,4,25,4,1,0,2,0,2,7,3,1,0,12,3,7,17,3,13,4,11,21,3,8,1,6,5,12,3,12,8,2,2,10,6,2,1,13,9,4,21,0,8,8,0
"Ant202",0,1,0,0,16,3,0,3,46,0,4,0,1,0,0,0,0,1,0,3,0,0,5,0,6,5,42,0,4,0,12,0,13,14,2,1,0,33,1,2,3,0,54,19,4,13,0,36,1,13,0,7,0,9,0,17,0,0,2,0,8,42,0,5,0,12,44,4,2,25,3,61,1,2,35
"Ant209",0,1,0,12,2,1,13,6,1,9,3,15,9,0,0,14,16,0,4,0,0,6,0,15,1,1,0,0,3,10,0,3,1,2,11,2,22,0,0,0,5,3,0,0,2,2,20,0,10,0,0,27,8,1,8,0,8,7,1,10,2,0,2,7,11,0,0,0,5,0,4,0,4,6,0
"Ant268",0,1,0,0,1,3,3,4,1,3,3,6,1,0,14,0,3,1,4,0,0,0,0,7,0,10,7,1,12,8,2,1,4,9,4,3,1,0,3,0,0,11,1,0,1,8,7,2,22,0,5,12,1,2,0,6,0,1,3,1,1,0,2,7,8,6,3,0,11,1,15,0,5,4,0
"Ant308",0,9,0,0,2,0,0,2,1,20,8,3,0,0,16,3,0,7,10,0,0,4,1,2,3,0,0,1,0,10,0,4,3,0,12,3,2,0,1,0,3,14,0,1,8,0,20,0,17,0,9,6,2,2,3,0,2,5,0,14,11,0,0,7,3,0,0,1,1,1,10,0,7,1,0
"Ant620",0,1,0,1,0,1,0,15,2,0,0,4,7,1,0,1,7,0,12,1,0,0,0,12,0,5,1,0,24,4,0,2,11,17,2,10,0,0,10,0,7,8,0,6,4,10,2,3,3,5,3,62,4,4,0,0,3,0,4,1,3,0,1,6,6,8,2,16,25,14,21,0,12,19,0
"Ant13",4,2,0,4,4,3,13,9,0,6,2,16,12,0,4,4,10,12,0,2,3,0,23,11,5,10,0,3,6,9,4,3,4,11,4,6,1,0,5,0,1,18,0,4,5,3,12,1,9,0,11,54,12,6,3,0,2,3,8,21,9,1,5,9,1,1,0,2,7,4,13,0,7,8,0
"Ant27",12,2,13,0,1,4,1,0,2,3,3,2,16,3,0,0,0,1,2,0,1,0,0,0,3,7,0,72,1,9,5,1,11,4,5,0,0,0,2,19,6,0,0,2,0,0,2,0,2,1,7,0,10,29,0,1,0,8,0,0,0,1,0,0,0,1,0,2,1,1,0,0,2,1,0
"Ant29",34,3,8,0,5,0,0,0,1,3,1,1,1,0,0,0,0,0,3,1,0,11,0,4,2,3,0,27,0,10,1,5,4,1,0,0,12,0,2,12,4,11,0,0,1,0,0,0,9,0,2,0,2,17,6,0,3,20,0,0,0,0,3,7,3,0,0,0,2,0,1,0,6,0,0
"Ant32",9,16,1,10,1,0,2,0,1,5,0,10,1,0,6,0,4,0,0,0,11,0,0,9,4,2,0,4,0,5,8,10,2,1,14,2,1,0,1,1,5,1,0,0,5,3,2,0,23,0,6,3,2,10,2,3,7,2,0,6,2,1,13,9,13,0,0,0,7,2,0,0,3,0,0
"Ant42",2,0,6,0,2,9,1,5,10,7,5,8,4,5,0,0,1,0,23,0,0,0,0,3,16,8,10,0,3,26,7,12,12,13,8,3,2,0,1,5,56,3,0,4,12,3,0,15,11,3,15,3,0,7,6,7,2,2,18,3,8,15,1,1,0,1,4,5,6,12,14,0,3,6,0
"Ant43",1,6,7,3,8,1,2,3,0,8,3,2,3,0,15,7,2,12,11,0,4,9,3,0,2,4,2,32,5,12,0,3,1,11,2,6,0,0,6,1,4,3,0,4,2,5,15,7,4,4,3,15,1,0,8,0,8,7,2,5,5,2,1,6,8,0,9,6,10,5,10,0,4,6,0
"Ant44",0,6,1,0,17,14,1,2,3,4,4,4,14,6,1,0,3,0,5,3,2,4,16,2,0,7,23,0,2,1,19,11,5,4,1,4,4,8,4,2,30,12,4,10,14,10,3,12,4,16,19,2,1,23,10,17,7,4,1,18,4,19,2,6,0,10,14,21,7,15,9,0,1,2,0
"Ant50",7,12,12,8,4,13,6,9,6,10,11,7,7,5,1,10,0,5,10,7,3,2,8,4,7,0,7,14,5,21,8,5,16,16,13,2,3,10,11,15,15,5,2,8,18,5,19,4,2,9,11,21,3,8,0,14,1,9,2,9,9,5,5,10,9,5,4,5,9,5,16,0,6,3,0
"Ant55",0,2,1,0,16,15,1,1,14,5,3,0,4,42,0,7,0,1,0,0,0,0,10,2,23,7,0,0,14,1,5,5,21,14,3,4,0,28,2,1,27,0,12,25,12,14,0,21,4,13,0,2,0,3,1,24,1,1,6,3,17,30,0,2,0,31,35,8,13,31,6,7,0,0,15
"Ant91",31,25,103,6,0,0,1,7,0,4,0,6,51,0,0,1,1,0,3,72,27,4,0,32,0,14,0,0,0,33,0,35,11,0,15,0,2,0,7,22,1,0,0,0,0,0,1,0,0,0,8,0,21,3,1,0,0,30,0,0,0,0,20,5,0,0,0,0,13,0,2,0,2,0,0
"Ant97",0,0,3,0,17,8,5,9,6,3,0,1,8,4,3,12,0,24,6,1,0,0,3,5,2,5,14,0,0,11,8,6,3,49,6,5,2,0,9,0,25,2,1,19,4,17,6,5,6,12,1,31,0,4,2,22,3,3,5,7,4,12,0,4,4,19,12,14,19,14,18,0,9,3,0
"Ant100",10,29,11,2,3,1,3,3,0,13,10,9,2,0,10,8,10,4,9,9,10,5,26,12,1,21,1,33,11,0,0,25,6,8,16,7,2,0,8,15,3,10,0,0,22,5,53,3,18,0,10,11,6,12,6,0,21,5,4,25,11,1,7,19,7,2,0,3,14,6,17,0,7,7,0
"Ant113",12,32,1,0,9,16,0,1,1,12,0,0,10,12,0,2,0,0,4,5,1,8,7,0,19,8,5,0,8,0,0,7,47,0,5,1,0,0,0,8,7,3,0,18,9,4,0,2,0,1,0,0,0,4,1,21,0,0,2,3,1,8,1,4,0,2,7,5,4,6,1,0,4,0,0
"Ant117",5,29,15,8,1,11,1,2,5,9,2,2,4,0,3,1,4,2,3,1,5,10,12,3,11,5,5,35,6,25,7,0,2,1,4,1,7,0,1,22,9,7,0,0,2,0,0,0,10,0,7,1,1,10,25,7,2,7,0,1,4,1,22,11,2,0,2,1,3,3,7,0,3,2,0
"Ant137",8,17,8,4,3,5,2,10,8,5,7,0,25,13,1,4,3,11,4,11,4,2,12,1,5,16,21,11,3,6,47,2,0,5,1,2,1,16,19,9,28,6,0,25,23,11,13,11,1,2,7,6,2,6,4,28,9,3,1,3,13,13,5,8,1,3,13,6,5,2,7,0,2,0,1
"Ant139",0,0,0,0,22,10,0,15,7,5,9,3,4,14,2,9,0,17,11,4,1,1,13,11,4,16,14,0,49,8,0,1,5,0,3,14,1,7,1,1,14,3,2,12,2,21,11,14,5,6,1,28,0,1,0,18,1,1,17,7,14,4,0,6,8,16,4,5,8,32,19,0,3,9,0
"Ant142",2,10,1,4,2,11,0,16,0,6,0,3,1,2,11,4,12,2,4,5,0,14,8,2,1,13,3,15,6,16,5,4,1,3,0,8,5,0,2,1,3,0,0,0,39,3,9,0,1,9,22,20,6,0,13,3,6,0,1,13,0,0,2,5,26,0,7,0,9,2,1,0,10,1,0
"Ant149",0,0,0,1,6,7,4,4,2,0,5,1,0,1,2,3,3,10,6,0,0,2,3,6,4,2,4,0,5,7,1,1,2,14,8,0,1,0,25,1,12,5,3,1,4,6,9,14,6,3,4,10,1,8,1,1,4,1,10,17,4,3,1,1,5,1,1,5,11,6,12,0,12,10,0
"Ant153",5,4,0,16,0,0,8,1,0,4,1,4,2,0,22,1,2,0,1,0,12,1,2,0,4,3,0,2,2,2,0,7,1,1,5,1,0,0,0,3,1,14,0,0,4,2,6,0,0,0,0,3,7,3,18,0,1,11,0,3,0,1,21,13,1,0,0,0,3,0,0,0,2,0,0
"Ant156",0,2,0,0,8,5,0,5,24,0,9,0,0,33,0,0,0,0,0,0,0,0,0,0,8,10,28,0,0,0,0,0,16,7,0,0,0,0,1,0,15,0,17,3,2,11,1,19,0,11,0,0,0,2,0,14,0,0,0,0,11,35,0,0,0,34,59,0,2,12,1,12,0,3,8
"Ant159",0,2,0,2,7,3,1,6,3,7,7,1,2,1,0,3,1,10,5,2,2,1,1,6,4,11,2,7,9,8,0,1,19,1,2,25,0,1,0,0,0,9,1,1,0,9,17,4,2,2,11,23,4,1,2,1,3,0,4,7,8,4,3,5,3,3,0,3,9,6,6,0,8,6,0
"Ant169",18,19,11,1,0,1,0,1,2,9,0,2,7,2,0,0,0,0,0,19,12,1,5,1,2,15,1,22,0,15,8,22,9,1,1,1,3,0,0,0,4,10,0,7,1,4,0,1,14,2,12,0,11,8,0,3,0,4,0,2,4,4,5,16,4,0,4,4,0,1,3,0,1,0,0
"Ant173",3,7,3,1,11,16,2,3,22,0,14,3,3,3,5,0,3,7,1,6,4,5,56,4,30,15,27,1,25,3,7,9,28,14,3,12,1,15,0,4,0,7,11,31,21,8,7,29,25,18,4,9,4,17,1,57,6,1,0,3,20,13,0,5,1,28,14,30,4,34,4,9,6,0,3
"Ant176",2,1,0,1,0,4,14,4,5,7,4,11,1,0,3,11,14,8,18,0,11,1,3,3,12,5,0,0,2,10,3,7,6,3,0,5,14,0,9,10,7,0,0,3,4,4,7,1,11,4,20,31,7,12,13,1,14,13,2,10,0,0,10,14,5,7,2,15,6,0,12,0,13,2,0
"Ant178",0,1,1,0,5,5,0,2,32,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,4,2,12,0,1,0,0,0,0,2,0,3,0,17,1,0,11,0,0,0,2,8,0,20,2,9,0,2,2,1,0,0,0,0,0,1,0,24,0,0,0,13,45,0,0,2,0,54,2,1,69
"Ant186",0,1,0,0,13,6,1,4,16,0,8,0,12,19,0,0,1,6,4,2,0,0,4,4,10,8,25,0,19,0,18,0,25,12,0,1,0,3,1,7,31,3,0,0,5,23,0,23,7,24,1,12,0,4,4,41,0,0,4,7,15,17,0,5,3,6,12,16,3,5,5,0,7,2,0
"Ant195",0,18,1,2,8,9,0,6,3,0,5,3,3,4,2,1,8,4,5,0,1,5,12,2,14,18,12,0,4,22,9,2,23,2,39,4,4,2,0,1,21,4,2,5,0,4,2,4,6,16,7,16,2,11,0,4,2,0,1,1,18,5,1,4,8,0,1,3,3,14,0,0,4,4,0
"Ant198",0,2,0,0,8,6,5,13,9,11,21,1,7,13,2,8,0,10,3,0,0,3,3,5,10,5,14,0,17,5,4,0,11,21,3,6,2,11,9,4,8,4,8,23,4,0,8,7,4,10,8,15,0,1,0,5,2,2,5,5,9,21,0,6,1,13,16,7,14,9,2,0,4,12,0
"Ant207",0,24,0,6,3,0,2,2,0,7,6,3,17,0,20,7,20,2,12,2,0,2,0,15,3,19,0,1,6,53,0,0,13,11,9,9,6,1,17,0,7,7,0,0,2,8,0,1,9,2,8,20,0,2,17,4,1,3,8,22,21,3,1,12,5,3,1,10,8,2,9,0,9,14,0
"Ant217",0,2,0,0,15,16,0,4,19,3,6,0,3,36,0,2,0,3,1,0,0,0,15,7,12,4,21,0,5,3,2,0,11,14,0,14,0,19,4,1,29,1,20,23,4,7,1,0,5,13,1,2,1,2,1,20,1,0,2,4,17,27,0,1,0,23,15,3,1,8,2,29,3,4,43
"Ant218",3,8,4,0,3,8,12,4,2,1,7,3,13,1,10,22,17,3,9,2,9,23,11,4,4,2,4,0,6,18,0,10,1,5,1,6,0,0,2,14,25,11,2,7,6,4,9,5,0,2,3,9,3,3,18,14,3,0,1,19,6,5,0,0,10,2,4,12,6,5,7,0,8,3,0
"Ant219",0,1,2,0,2,6,0,9,6,0,7,0,4,13,0,0,0,5,0,1,0,0,3,4,16,9,13,0,12,0,1,0,2,6,9,3,0,11,2,2,18,4,9,24,16,10,2,13,2,0,2,1,1,5,0,22,1,1,1,1,12,8,0,1,1,5,23,2,1,16,1,1,4,0,5
"Ant232",0,1,0,11,3,18,12,3,3,0,5,5,11,0,0,5,9,3,11,7,2,6,15,3,19,11,0,8,1,10,0,7,7,1,22,4,0,0,11,12,4,20,0,1,7,8,8,1,3,2,0,7,8,14,5,3,10,20,3,6,10,3,13,10,5,1,4,11,2,6,6,0,4,6,0
"Ant238",0,0,0,8,4,4,4,35,2,13,10,1,21,7,27,12,6,62,54,0,0,3,3,15,2,21,2,0,31,11,0,1,6,28,20,10,3,0,23,0,9,31,2,12,16,15,20,2,9,1,7,0,16,7,1,2,15,7,11,7,8,1,2,14,13,12,2,3,19,7,54,0,28,20,0
"Ant242",4,7,2,5,2,3,8,1,1,4,4,23,3,0,8,1,2,4,12,10,2,2,0,1,1,3,0,21,0,6,0,1,2,0,6,1,7,0,4,11,4,7,2,0,2,0,0,1,3,1,8,16,0,3,9,0,13,9,1,9,6,0,11,7,8,0,2,0,13,2,2,0,2,2,0
"Ant243",3,4,9,0,5,20,4,1,20,5,6,10,8,9,1,2,2,4,6,29,17,10,7,0,23,8,3,3,4,12,4,10,6,1,0,8,3,2,1,8,17,12,1,4,11,1,2,2,3,5,14,7,3,0,8,5,4,3,3,13,4,9,2,9,11,3,0,4,4,5,4,0,8,0,0
"Ant255",0,8,0,5,2,2,6,0,0,4,0,9,1,0,8,0,3,0,3,0,6,2,6,8,10,0,1,1,2,6,1,25,4,0,13,1,18,0,2,0,1,13,0,4,0,0,17,1,18,0,5,1,9,8,0,0,1,2,0,9,3,1,0,9,1,4,1,0,1,2,2,0,3,0,0
"Ant257",0,4,4,0,29,15,0,2,9,1,6,0,6,17,0,6,0,0,0,1,0,3,7,0,17,14,24,0,22,0,21,7,28,18,3,1,0,14,1,3,57,1,0,41,4,5,4,20,14,22,3,2,0,5,0,0,0,1,2,2,19,61,0,0,1,17,34,10,0,25,4,0,1,0,2
"Ant263",0,1,2,9,2,3,14,3,0,2,2,4,5,0,8,0,2,3,2,0,3,7,2,8,7,1,1,0,3,21,0,2,9,1,6,4,1,0,3,0,6,14,0,0,2,2,1,1,3,1,10,15,13,4,1,0,0,7,1,13,1,0,3,4,7,1,3,1,8,0,0,0,10,1,0
"Ant294",5,6,9,11,2,1,6,6,2,1,3,7,12,0,7,1,5,0,3,8,20,2,2,7,4,9,1,30,3,5,0,7,3,1,0,1,11,0,0,4,1,13,0,0,0,2,3,0,0,1,20,7,9,3,2,1,7,0,0,5,1,0,7,10,0,0,0,1,7,0,2,0,3,0,0
"Ant318",0,1,0,0,1,7,0,6,3,1,6,6,3,2,1,3,0,4,8,0,0,0,18,2,1,2,6,0,5,4,2,0,1,17,1,10,0,0,4,0,0,2,0,4,1,5,8,2,1,1,3,11,1,3,0,2,1,0,0,2,1,0,0,0,0,4,5,6,4,5,1,0,5,9,0
"Ant332",0,0,3,0,1,7,2,3,1,6,6,24,12,0,10,1,14,1,21,0,0,6,3,5,18,9,3,0,7,25,3,1,3,7,13,17,3,0,7,2,3,10,1,7,1,5,22,4,19,1,6,7,9,13,9,2,13,5,2,0,7,1,0,5,11,0,7,16,17,6,5,0,18,7,0
"Ant342",0,0,0,1,16,14,0,8,14,6,3,0,8,8,2,1,11,3,9,0,0,2,8,5,4,9,17,0,4,11,1,4,13,14,0,4,0,11,8,4,20,0,0,15,18,9,21,17,6,12,10,8,6,4,3,19,1,1,1,7,0,16,0,7,0,13,7,8,11,14,14,0,16,1,0
"Ant347",0,0,0,1,20,17,0,3,6,0,5,0,2,42,0,0,0,0,1,1,0,1,15,2,19,5,30,0,12,1,8,1,13,4,0,3,1,35,4,4,13,0,24,17,5,21,3,27,5,8,3,1,0,9,1,61,0,0,0,1,16,0,0,0,2,19,50,7,2,20,4,32,1,1,31
"Ant353",2,15,3,19,0,0,2,2,0,0,0,4,2,0,2,2,0,1,5,0,3,13,1,1,2,5,0,20,0,7,1,22,5,0,2,1,21,0,3,5,0,10,0,0,1,0,1,0,0,0,13,2,11,2,0,0,3,7,0,0,0,0,0,3,0,0,1,0,1,0,1,0,5,0,0
"Ant356",2,6,0,0,1,4,12,4,1,6,13,9,10,5,7,7,7,6,9,0,7,9,1,6,6,10,2,5,4,19,4,11,8,6,5,1,13,0,5,16,5,14,0,5,4,6,12,1,0,1,10,14,7,9,9,0,4,10,0,5,7,0,3,0,2,4,1,0,3,1,3,0,5,1,0
"Ant387",0,1,2,0,2,2,2,3,0,4,3,7,6,0,11,8,3,6,1,0,3,13,0,8,0,9,0,0,4,7,0,2,1,8,26,5,1,0,3,4,1,5,0,3,8,1,5,0,10,1,5,13,8,11,1,1,7,0,0,11,0,2,0,2,0,0,3,2,17,1,7,0,7,2,0
"Ant390",0,0,0,0,18,14,0,7,11,3,1,0,2,12,0,6,0,8,1,1,0,0,1,0,10,5,31,0,19,2,2,0,3,16,0,1,0,34,3,0,28,7,13,6,0,13,3,23,2,5,1,12,0,3,4,17,1,0,4,0,13,19,0,4,0,0,16,2,13,43,8,7,1,9,4
"Ant394",0,2,0,0,11,6,4,6,36,4,6,0,1,44,0,3,0,2,0,0,0,0,4,9,14,4,35,0,12,0,7,2,13,4,7,1,0,59,0,4,14,2,45,12,1,16,1,15,4,23,4,2,2,0,1,34,3,0,5,7,7,50,1,1,3,16,0,3,4,22,7,43,2,0,28
"Ant395",0,0,0,1,3,9,4,2,3,8,10,3,13,4,0,0,1,16,2,2,0,0,5,6,21,5,8,0,14,3,5,1,6,5,0,5,0,0,3,4,30,15,0,16,3,7,10,3,12,2,11,3,0,4,0,10,1,1,6,16,8,7,0,0,2,2,3,0,4,6,15,0,12,5,0
"Ant437",0,2,1,1,1,3,7,13,1,11,5,2,9,2,5,11,1,25,7,1,2,7,6,10,7,9,13,13,19,14,4,3,5,8,9,11,3,2,9,0,4,6,0,3,3,14,8,1,6,1,2,19,13,4,1,0,8,7,4,17,11,2,1,3,17,13,4,4,0,5,13,0,3,7,0
"Ant475",0,0,1,1,9,23,1,10,9,1,8,0,4,25,0,1,1,14,4,1,0,2,12,5,15,5,31,0,14,6,6,3,2,32,2,6,0,12,6,1,34,0,2,5,14,9,2,8,5,16,6,7,2,5,2,25,0,0,5,6,14,20,0,1,1,43,22,6,5,0,6,7,6,1,3
"Ant492",2,2,1,10,3,5,3,13,1,7,8,2,21,3,4,15,10,21,13,0,1,0,14,10,9,16,6,2,18,17,1,7,7,19,1,12,0,1,6,3,4,12,0,5,0,2,9,2,7,1,6,54,2,4,2,4,0,2,1,5,14,4,1,3,7,8,7,15,13,6,0,0,15,9,0
"Ant501",0,0,0,0,2,0,0,0,30,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,54,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,7,43,0,0,7,0,0,0,0,46
"Ant527",3,6,0,2,1,6,2,8,2,5,7,2,8,1,4,5,7,12,7,2,6,3,3,4,1,6,0,2,9,7,4,3,2,3,10,12,2,0,8,1,6,13,2,7,4,4,9,3,8,4,4,28,2,8,3,1,10,3,5,18,16,1,5,5,7,1,2,12,3,6,15,0,0,7,0
"Ant552",0,1,0,0,2,5,0,9,3,1,7,2,8,2,6,4,1,19,8,1,0,0,6,6,2,3,0,0,3,7,0,2,0,9,1,10,0,3,6,0,0,2,1,2,4,12,14,4,3,0,6,20,2,0,0,0,1,0,9,7,1,1,0,1,2,9,0,5,7,1,9,0,7,0,0
"Ant593",0,0,0,0,2,0,0,0,47,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,8,0,0,3,0,69,0,0,0,0,43,0,5,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,4,28,0,0,3,0,46,0,0,0
